player_id,web_name,position,cost,next_mu,horizon_u,p_start,delta,tag,incoming,strategy,as_of
498,Senesi,DEF,58,2.0532,10.2418,0.45,3.9959,essential,"Egan, Horníček, O'Reilly, O.Dango, Thomas",balanced,2026-09-18T12:45:57.935920+00:00
439,Šeško,FWD,70,2.796,12.6063,0.72,2.9444,essential,"B.Fernandes, Isidor, Thomas",balanced,2026-09-18T12:45:57.935920+00:00
627,Barcola,MID,80,3.1436,14.0083,0.72,2.731,essential,"B.Fernandes, Egan, O.Dango",balanced,2026-09-18T12:45:57.935920+00:00
647,Osorio,MID,55,2.7604,12.4754,0.45,1.732,marginal,"Egan, O.Dango",balanced,2026-09-18T12:45:57.935920+00:00
16,Madueke,MID,62,2.4204,10.6845,0.45,1.2216,marginal,"Egan, Horníček, O.Dango",balanced,2026-09-18T12:45:57.935920+00:00
200,Lacroix,DEF,60,1.4792,7.4081,0.28,1.1622,marginal,"Egan, Horníček, O'Reilly, O.Dango, Thomas",balanced,2026-09-18T12:45:57.935920+00:00
616,Bouaddi,MID,55,2.6528,12.1015,0.45,1.1622,marginal,"Egan, Horníček, O'Reilly, O.Dango, Thomas",balanced,2026-09-18T12:45:57.935920+00:00
108,Wilson,FWD,55,1.94,9.0902,0.45,1.0229,marginal,"Egan, Horníček, Solanke",balanced,2026-09-18T12:45:57.935920+00:00
199,Benitez,GKP,45,3.0112,13.4451,0.85,0.8511,marginal,"Egan, Horníček",balanced,2026-09-18T12:45:57.935920+00:00
389,Matheus N.,DEF,59,2.186,10.3152,0.45,0.6707,marginal,"Egan, O'Reilly",balanced,2026-09-18T12:45:57.935920+00:00
411,Haaland,FWD,156,3.0052,13.1778,0.28,0.5716,marginal,"B.Fernandes, O'Reilly, Raya, Solanke",balanced,2026-09-18T12:45:57.935920+00:00
28,Martinez,GKP,50,3.2352,15.7847,0.75,0.2859,interchangeable,"Raya, Thomas",balanced,2026-09-18T12:45:57.935920+00:00
145,Fofana,DEF,50,1.4292,6.9084,0.28,0.1316,interchangeable,Muharemović,balanced,2026-09-18T12:45:57.935920+00:00
12,Saka,MID,95,2.6852,11.646,0.28,-0.2045,interchangeable,"B.Fernandes, Egan, Tosin",balanced,2026-09-18T12:45:57.935920+00:00
588,Khalaili,DEF,50,1.526,6.6816,0.28,-0.5862,interchangeable,Richards,balanced,2026-09-18T12:45:57.935920+00:00
