gw,player_id,web_name,team_id,position,now_cost,mu,sigma,p_start,p_sub,p_60,p_10_plus,n_fixtures,actual_points,actual_minutes,did_start,captured_at,scored_at
5,1,Raya,1,GKP,60,3.5876,2.5039,0.85,0.012,0.7915,0.0032,1,1,90,1,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,2,Arrizabalaga,1,GKP,49,0.404,1.3124,0.08,0.0736,0.0803,0.0008,1,0,0,0,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,3,Meslier,1,GKP,49,0.4504,1.3718,0.08,0.0736,0.0803,0.0004,1,0,0,0,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,4,Gabriel,1,DEF,80,1.788,2.9982,0.28,0.2016,0.2765,0.0264,1,1,90,1,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,5,J.Timber,1,DEF,65,0.8684,1.9367,0.12,0.2464,0.1313,0.0088,1,0,59,1,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,6,Saliba,1,DEF,59,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,7,Lewis-Skelly,1,MID,55,1.1932,1.8971,0.28,0.2016,0.2765,0.0056,1,0,0,0,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,8,Calafiori,1,DEF,58,1.7132,2.8111,0.28,0.2016,0.2765,0.0216,1,1,90,1,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,9,Hincapie,1,DEF,53,1.1208,2.2758,0.18,0.1804,0.1818,0.0104,1,0,0,0,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,10,White,1,DEF,55,1.4512,2.505,0.28,0.2016,0.2765,0.0128,1,0,0,0,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,11,Mosquera,1,DEF,53,1.0548,2.0907,0.18,0.1804,0.1818,0.0048,1,0,0,0,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,12,Saka,1,MID,95,2.6536,4.2852,0.28,0.2016,0.2765,0.0928,1,2,80,1,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,13,Rice,1,MID,74,1.736,2.8458,0.28,0.2016,0.2765,0.0292,1,1,90,1,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,14,Eze,1,MID,63,2.0292,2.6596,0.45,0.154,0.4308,0.0204,1,1,17,0,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,15,Ødegaard,1,MID,68,1.6792,2.6641,0.28,0.2016,0.2765,0.0228,1,2,72,1,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,16,Madueke,1,MID,62,2.3536,2.9658,0.45,0.154,0.4308,0.0372,1,0,0,0,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,17,Merino,1,MID,58,2.196,2.8185,0.45,0.154,0.4308,0.026,1,1,30,0,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
5,18,Martinelli,1,MID,63,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-09-18T12:45:59.041240+00:00,2026-09-21T21:42:12.492547+00:00
