gw,model,n,mae,rmse,bias,spearman,xi_points,captain_points
1,B0_xp,573,1.4487,2.2685,-0.1604,0.4164,48.0,1
1,B1_season_pts,573,1.3926,2.4014,0.1479,0.3263,59.0,12
1,B2_pp90,573,1.842,2.7764,-0.5022,0.3942,60.0,12
1,B3_v1,573,1.2989,2.3377,0.3907,0.4323,43.0,5
2,B0_xp,581,0.9325,1.6096,0.0575,0.7687,114.0,14
2,B1_season_pts,581,13.5425,30.6502,-12.1507,0.0333,7.0,0
2,B2_pp90,581,1.9042,2.8807,-0.3874,0.4854,8.0,0
2,B3_v1,581,1.4512,2.7155,0.7028,0.3859,26.0,0
3,B0_xp,592,1.0194,1.7442,0.0258,0.7029,103.0,13
3,B1_season_pts,592,5.7927,13.2994,-4.6587,0.1994,10.0,0
3,B2_pp90,592,1.8358,2.7992,-0.4244,0.4859,9.0,0
3,B3_v1,592,1.3344,2.5719,0.7085,0.4069,17.0,2
4,B0_xp,601,1.0388,1.7955,0.0567,0.7395,134.0,17
4,B1_season_pts,601,3.8694,8.3205,-2.6066,0.2391,5.0,0
4,B2_pp90,601,1.7939,2.7733,-0.3998,0.4531,5.0,0
4,B3_v1,601,1.3548,2.6006,0.7361,0.4034,37.0,0
5,B0_xp,608,1.0183,1.6561,-0.0475,0.7011,79.0,17
5,B1_season_pts,608,2.8319,5.8836,-1.8393,0.3035,0.0,0
5,B2_pp90,608,1.7281,2.6366,-0.5366,0.4343,1.0,0
5,B3_v1,608,1.16,2.2418,0.629,0.4962,12.0,0
6,B0_xp,624,1.0699,1.8466,0.0096,0.7671,99.0,9
6,B1_season_pts,624,2.4711,4.8052,-1.3171,0.3695,13.0,1
6,B2_pp90,624,1.7738,2.7652,-0.4408,0.469,4.0,1
6,B3_v1,624,1.2245,2.4441,0.6936,0.507,13.0,1
7,B0_xp,0,nan,nan,nan,nan,0.0,0
7,B1_season_pts,0,nan,nan,nan,nan,0.0,0
7,B2_pp90,0,nan,nan,nan,nan,0.0,0
7,B3_v1,0,nan,nan,nan,nan,0.0,0
8,B0_xp,440,0.9464,1.7238,0.1491,0.7488,82.0,6
8,B1_season_pts,440,1.8398,3.4461,-0.4372,0.3978,9.0,0
8,B2_pp90,440,1.7298,2.7207,-0.2116,0.4429,1.0,0
8,B3_v1,440,1.3077,2.5922,0.7916,0.4953,27.0,2
9,B0_xp,638,0.7376,1.437,0.0702,0.8349,160.0,23
9,B1_season_pts,638,1.8682,3.3633,-0.4222,0.4026,35.0,0
9,B2_pp90,638,1.8143,2.9573,-0.3434,0.4907,10.0,0
9,B3_v1,638,1.3121,2.7415,0.7654,0.5131,19.0,2
10,B0_xp,641,0.8409,1.5175,-0.0259,0.7606,72.0,11
10,B1_season_pts,641,1.582,2.8299,-0.3643,0.4314,19.0,0
10,B2_pp90,641,1.6189,2.5635,-0.4354,0.4955,1.0,0
10,B3_v1,641,1.177,2.4098,0.6773,0.4948,25.0,2
11,B0_xp,643,0.9118,1.6904,0.0736,0.816,67.0,2
11,B1_season_pts,643,1.4752,2.6029,-0.2207,0.5067,25.0,2
11,B2_pp90,643,1.7054,2.6268,-0.3594,0.5028,4.0,0
11,B3_v1,643,1.2154,2.369,0.746,0.51,19.0,0
12,B0_xp,585,1.3932,2.7559,1.3726,0.3754,21.0,0
12,B1_season_pts,585,1.5044,2.5817,-0.0844,0.4816,13.0,0
12,B2_pp90,585,1.7958,2.7703,-0.278,0.4461,12.0,2
12,B3_v1,585,1.2477,2.3847,0.7683,0.4927,44.0,10
