gw,player_id,web_name,team_id,position,now_cost,mu,sigma,p_start,p_sub,p_60,p_10_plus,n_fixtures,actual_points,actual_minutes,did_start,captured_at,scored_at
6,3,Xhaka,1,MID,50,0.8688,1.3152,0.28,0.1584,0.2731,0.0012,1,2,90,1,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,4,Elneny,1,MID,44,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,5,Holding,1,DEF,43,0.504,1.2104,0.1,0.198,0.1088,0.0004,1,0,0,0,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,6,Partey,1,MID,49,0.6304,1.1038,0.18,0.1804,0.1818,0.0004,1,0,0,0,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,7,Ødegaard,1,MID,66,1.0472,1.5944,0.28,0.2016,0.2765,0.0012,1,2,73,1,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,8,Tierney,1,DEF,49,0.6916,1.4282,0.18,0.1804,0.1818,0.0,1,0,0,0,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,9,Pépé,1,MID,53,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,10,White,1,DEF,45,0.724,1.3792,0.22,0.1716,0.2183,0.0,1,1,79,1,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,11,Nketiah,1,FWD,66,1.4488,1.8013,0.45,0.154,0.4308,0.0044,1,1,16,0,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,12,Smith Rowe,1,MID,57,1.4668,1.843,0.45,0.154,0.4308,0.0032,1,1,16,0,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,13,Saka,1,MID,78,0.8928,1.855,0.14,0.2408,0.1495,0.0092,1,7,90,1,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,14,Tomiyasu,1,DEF,42,0,0,0.0,0.0,0.0,0,1,1,10,0,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,15,Ramsdale,1,GKP,50,2.4144,1.9488,0.88,0.0096,0.8192,0.0004,1,2,90,1,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,16,Gabriel,1,DEF,51,1.0484,1.7983,0.28,0.1584,0.2731,0.0004,1,1,90,1,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,17,Tavares,1,DEF,45,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,19,Martinelli,1,MID,65,0,0,0.0,0.0,0.0,0,1,2,90,1,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,20,Pablo Marí,1,DEF,45,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
6,22,Torreira,1,MID,45,0,0,0.0,0.0,0.0,0,1,0,0,0,2026-08-19T06:20:08.480595+00:00,2026-08-19T06:20:53.127717+00:00
