season,split,bucket,n,start_pct,zero_min_pct,avg_pts
2022-23,all,0.90-1.00,563,84.01,14.56,3.529
2022-23,all,0.80-0.90,884,71.49,23.3,2.859
2022-23,all,0.70-0.80,178,67.98,18.54,3.427
2022-23,all,0.60-0.70,1009,69.47,19.33,2.966
2022-23,all,<0.60,22323,27.99,61.06,1.058
2022-23,established,0.90-1.00,232,90.09,8.19,3.513
2022-23,established,0.80-0.90,249,85.14,10.44,3.353
2022-23,established,0.70-0.80,26,76.92,11.54,2.385
2022-23,established,0.60-0.70,287,66.2,21.95,2.861
2022-23,established,<0.60,4773,30.53,58.39,1.136
2022-23,new_club,0.90-1.00,331,79.76,19.03,3.541
2022-23,new_club,0.80-0.90,635,66.14,28.35,2.665
2022-23,new_club,0.70-0.80,152,66.45,19.74,3.605
2022-23,new_club,0.60-0.70,722,70.78,18.28,3.008
2022-23,new_club,<0.60,17550,27.3,61.78,1.036
