gw,n,mae,rmse,bias,spearman,scored_at
1,573,1.2989,2.3377,0.3907,0.4323,2026-08-19T06:20:53.005118+00:00
2,581,1.4512,2.7155,0.7028,0.3859,2026-08-19T06:20:53.030671+00:00
3,592,1.3344,2.5719,0.7085,0.4069,2026-08-19T06:20:53.059240+00:00
4,601,1.3548,2.6006,0.7361,0.4034,2026-08-19T06:20:53.086890+00:00
5,608,1.16,2.2418,0.629,0.4962,2026-08-19T06:20:53.114261+00:00
6,624,1.2245,2.4441,0.6936,0.507,2026-08-19T06:20:53.141977+00:00
8,440,1.3077,2.5922,0.7916,0.4953,2026-08-19T06:20:53.172488+00:00
9,638,1.3121,2.7415,0.7654,0.5131,2026-08-19T06:20:53.200797+00:00
10,641,1.177,2.4098,0.6773,0.4948,2026-08-19T06:20:53.228451+00:00
11,643,1.2154,2.369,0.746,0.51,2026-08-19T06:20:53.255928+00:00
12,585,1.2477,2.3847,0.7683,0.4927,2026-08-19T06:20:53.282481+00:00
13,648,1.1942,2.4044,0.686,0.5306,2026-08-19T06:20:53.311975+00:00
14,656,1.2068,2.4291,0.6925,0.4976,2026-08-19T06:20:53.340328+00:00
15,661,1.1287,2.41,0.5688,0.504,2026-08-19T06:20:53.367850+00:00
16,667,1.1395,2.3827,0.5882,0.5109,2026-08-19T06:20:53.394188+00:00
17,675,1.1277,2.3784,0.6138,0.5242,2026-08-19T06:20:53.421658+00:00
18,678,1.1055,2.1701,0.5443,0.4884,2026-08-19T06:20:53.449059+00:00
19,689,1.201,2.4117,0.5867,0.4899,2026-08-19T06:20:53.477599+00:00
20,699,1.2049,2.3979,0.5523,0.5357,2026-08-19T06:20:53.508016+00:00
21,707,1.1231,2.1765,0.544,0.5101,2026-08-19T06:20:53.535307+00:00
22,740,1.1218,2.2456,0.4266,0.5051,2026-08-19T06:20:53.563811+00:00
23,745,1.0023,2.0614,0.3238,0.5315,2026-08-19T06:20:53.593147+00:00
24,746,1.0006,2.0349,0.4025,0.5497,2026-08-19T06:20:53.627829+00:00
25,602,1.2988,2.8023,0.5487,0.5616,2026-08-19T06:20:53.655172+00:00
26,747,1.1092,2.3183,0.4188,0.5345,2026-08-19T06:20:53.683509+00:00
27,750,1.169,2.2916,0.4565,0.5443,2026-08-19T06:20:53.714027+00:00
28,539,0.9902,2.0617,0.2713,0.5068,2026-08-19T06:20:53.737627+00:00
29,754,1.4441,2.693,0.4456,0.5696,2026-08-19T06:20:53.772145+00:00
30,754,0.9891,1.9719,0.2388,0.5243,2026-08-19T06:20:53.802753+00:00
31,759,1.0279,2.1713,0.2797,0.5667,2026-08-19T06:20:53.834142+00:00
32,611,1.013,2.1171,0.2829,0.5565,2026-08-19T06:20:53.861650+00:00
33,761,0.9898,2.0103,0.202,0.5775,2026-08-19T06:20:53.893350+00:00
34,762,1.2059,2.4136,0.267,0.5949,2026-08-19T06:20:53.926138+00:00
35,763,1.0119,2.1425,0.2506,0.6116,2026-08-19T06:20:53.960756+00:00
36,765,1.1089,2.3146,0.2423,0.6341,2026-08-19T06:20:53.992396+00:00
37,775,1.0927,2.1849,0.1466,0.6763,2026-08-19T06:20:54.025984+00:00
38,778,0.9488,1.9639,0.1277,0.6269,2026-08-19T06:20:54.057690+00:00
12,585,1.2477,2.3847,0.7683,0.4927,2026-08-19T06:32:08.863874+00:00
