season,gw,n,spearman,mae,bias,leakage_flag
2023-24,1,658,0.4819,1.2935,-0.1959,0
2023-24,2,595,0.7848,0.7529,-0.0319,1
2023-24,3,685,0.7338,0.8426,0.0099,1
2023-24,4,703,0.7193,0.8949,0.0442,1
2023-24,5,717,0.7475,0.8721,0.0127,1
2023-24,6,718,0.7118,0.8795,0.0896,1
2023-24,7,722,0.7182,0.8211,0.0643,1
2023-24,8,725,0.7273,0.764,0.0109,1
2023-24,9,730,0.6789,0.8007,0.0412,0
2023-24,10,731,0.7434,0.7349,0.0531,1
2023-24,11,733,0.7687,0.8614,0.0327,1
2023-24,12,743,0.7051,0.8392,0.0373,1
2023-24,13,747,0.7194,0.7624,0.0451,1
2023-24,14,753,0.7533,0.8121,0.0676,1
2023-24,15,757,0.7165,0.9238,0.1383,1
2023-24,16,758,0.7121,0.8704,0.0678,1
2023-24,17,686,0.7082,0.8644,0.158,1
2023-24,18,700,0.7142,0.873,-0.0039,1
2023-24,19,771,0.7069,0.8949,0.0706,1
2023-24,20,773,0.6835,0.9247,0.105,0
2023-24,21,787,0.7756,0.7248,0.138,1
2023-24,22,799,0.7759,0.6668,-0.0213,1
2023-24,23,809,0.7446,0.7446,-0.0267,1
2023-24,24,814,0.7647,0.7467,0.0211,1
2023-24,25,823,0.7079,0.8262,0.0017,1
2023-24,26,649,0.4124,1.0832,1.0524,0
2023-24,27,832,0.7038,0.7928,0.0863,1
2023-24,28,838,0.7385,0.7625,-0.0253,1
2023-24,29,344,0.6811,0.7962,-0.0108,0
2023-24,30,842,0.7519,0.6974,0.0249,1
2023-24,31,844,0.7603,0.6624,0.0414,1
2023-24,32,846,0.7012,0.7967,0.0409,1
2023-24,33,851,0.6826,0.8172,0.0557,0
2023-24,34,815,0.7243,0.9787,0.1109,1
2023-24,35,859,0.7245,0.7977,-0.0116,1
2023-24,36,859,0.7435,0.7695,0.1073,1
2023-24,37,861,0.7529,0.7589,-0.0137,1
2023-24,38,865,0.6507,0.8462,0.0486,0
