season,gw,evaluation_status,structural_flags,n_fixtures,n_actual_rows,n_unique_actuals,n_duplicate_ids,n_with_minutes,n_snapshot,inspect_v1_lt_15,inspect_b0_gt_80,b0_xi_cap,v1_xi_cap,v1_gw1_xi_cap,hindsight_oracle_cap,squad_overlap,xi_overlap,hindsight_squad_regret,hindsight_xi_regret,hindsight_cap_regret,vs_b0_gap,solver_error
2023-24,1,clean,,10,658,658,0,302,865,0,0,41.0,45.0,47.0,141.0,2,2,84.0,12.0,0.0,-4.0,
2023-24,2,flagged,bgw_or_short,9,595,595,0,273,865,0,1,88.0,23.0,27.0,135.0,1,1,99.0,6.0,7.0,65.0,
2023-24,3,clean,,10,685,685,0,297,865,0,1,102.0,26.0,24.0,146.0,0,0,102.0,8.0,10.0,76.0,
2023-24,4,clean,,10,703,703,0,304,865,0,1,96.0,15.0,19.0,158.0,1,0,113.0,24.0,6.0,81.0,
2023-24,5,clean,,10,717,717,0,303,865,0,0,77.0,15.0,27.0,121.0,0,0,95.0,3.0,8.0,62.0,
2023-24,6,clean,,10,718,718,0,297,865,0,1,111.0,34.0,34.0,155.0,1,0,115.0,6.0,0.0,77.0,
2023-24,7,flagged,duplicate_gw_rows;dgw_or_long,11,804,722,82,310,865,0,1,129.0,20.0,14.0,164.0,4,1,112.0,21.0,11.0,109.0,
2023-24,8,clean,,10,725,725,0,295,865,0,1,91.0,38.0,23.0,148.0,4,3,95.0,2.0,13.0,53.0,
2023-24,9,clean,,10,730,730,0,303,865,0,1,107.0,49.0,49.0,154.0,4,2,87.0,2.0,16.0,58.0,
2023-24,10,clean,,10,731,731,0,301,865,0,1,120.0,48.0,44.0,149.0,3,3,86.0,5.0,10.0,72.0,
2023-24,11,clean,,10,733,733,0,297,865,0,0,72.0,23.0,26.0,169.0,2,2,137.0,7.0,2.0,49.0,
2023-24,12,clean,,10,743,743,0,293,865,0,1,117.0,28.0,44.0,156.0,1,1,113.0,1.0,14.0,89.0,
2023-24,13,clean,,10,747,747,0,296,865,0,1,95.0,19.0,24.0,145.0,0,0,117.0,4.0,5.0,76.0,
2023-24,14,clean,,10,753,753,0,294,865,0,0,64.0,45.0,29.0,131.0,2,2,73.0,1.0,12.0,19.0,
2023-24,15,clean,,10,757,757,0,291,865,0,1,97.0,40.0,35.0,159.0,2,2,101.0,17.0,1.0,57.0,
2023-24,16,clean,,10,758,758,0,305,865,0,1,81.0,58.0,58.0,142.0,2,1,72.0,4.0,8.0,23.0,
2023-24,17,flagged,bgw_or_short,9,686,686,0,267,865,0,1,89.0,28.0,21.0,154.0,3,1,111.0,9.0,6.0,61.0,
2023-24,18,flagged,bgw_or_short,9,700,700,0,265,865,0,0,64.0,64.0,66.0,134.0,3,3,53.0,7.0,10.0,0.0,
2023-24,19,clean,,10,771,771,0,296,865,0,1,84.0,34.0,32.0,151.0,3,3,99.0,15.0,3.0,50.0,
2023-24,20,clean,,10,773,773,0,295,865,0,0,78.0,69.0,71.0,155.0,5,5,84.0,2.0,0.0,9.0,
2023-24,21,clean,,10,787,787,0,292,865,0,1,126.0,31.0,34.0,150.0,2,1,99.0,8.0,12.0,95.0,
2023-24,22,clean,,10,799,799,0,302,865,0,1,140.0,39.0,37.0,171.0,1,1,117.0,2.0,13.0,101.0,
2023-24,23,clean,,10,809,809,0,303,865,0,1,105.0,40.0,28.0,167.0,2,1,101.0,6.0,20.0,65.0,
2023-24,24,clean,,10,814,814,0,301,865,0,1,85.0,25.0,35.0,160.0,2,2,107.0,15.0,13.0,60.0,
2023-24,25,flagged,duplicate_gw_rows;dgw_or_long,12,982,823,159,306,865,0,1,113.0,61.0,59.0,163.0,2,2,94.0,6.0,2.0,52.0,
2023-24,26,flagged,bgw_or_short,8,649,649,0,242,865,0,0,18.0,73.0,75.0,158.0,0,0,60.0,10.0,15.0,-55.0,
2023-24,27,clean,,10,832,832,0,301,865,0,1,110.0,39.0,54.0,153.0,4,2,71.0,30.0,13.0,71.0,
2023-24,28,flagged,duplicate_gw_rows;dgw_or_long,11,924,838,86,305,865,0,1,101.0,38.0,55.0,151.0,6,3,74.0,39.0,0.0,63.0,
2023-24,29,flagged,bgw_or_short,4,344,344,0,119,865,1,0,45.0,13.0,31.0,108.0,4,4,86.0,8.0,1.0,32.0,
2023-24,30,clean,,10,842,842,0,299,865,0,1,93.0,54.0,53.0,158.0,1,1,91.0,5.0,8.0,39.0,
2023-24,31,clean,,10,844,844,0,298,865,0,1,129.0,43.0,55.0,155.0,2,1,87.0,5.0,20.0,86.0,
2023-24,32,clean,,10,846,846,0,302,865,0,0,71.0,55.0,61.0,144.0,4,3,85.0,1.0,3.0,16.0,
2023-24,33,clean,,10,851,851,0,305,865,0,1,155.0,66.0,70.0,187.0,3,3,89.0,8.0,24.0,89.0,
2023-24,34,flagged,duplicate_gw_rows;dgw_or_long,13,1099,815,284,303,865,0,1,182.0,63.0,99.0,237.0,2,2,154.0,7.0,13.0,119.0,
2023-24,35,flagged,duplicate_gw_rows;dgw_or_long,11,960,859,101,299,865,0,1,117.0,65.0,61.0,165.0,3,2,93.0,4.0,3.0,52.0,
2023-24,36,clean,,10,859,859,0,301,865,0,1,100.0,75.0,84.0,179.0,3,2,94.0,10.0,0.0,25.0,
2023-24,37,flagged,duplicate_gw_rows;dgw_or_long,13,1132,861,271,316,865,0,1,140.0,88.0,88.0,180.0,3,3,90.0,2.0,0.0,52.0,
2023-24,38,clean,,10,865,865,0,308,865,0,1,109.0,52.0,52.0,185.0,3,3,121.0,3.0,9.0,57.0,
