season,gw,evaluation_status,player_id,web_name,position,now_cost,in_b0_xi,in_v1_xi,in_b0_squad,in_v1_squad,is_v1_captain,is_b0_captain,actual_points,v1_mu,b0_mu,v1_horizon_u,v1_p_start,horizon_flag,minutes_flag,fixture_flag,price_value_flag,captain_flag,projection_rank_flag
2025-26,1,clean,5,Gabriel,DEF,60,1,0,1,0,0,0,6.0,1.5032,4.5,7.5649,0.45,0,0,0,0,0,1
2025-26,1,clean,6,Saliba,DEF,60,1,0,1,0,0,0,9.0,1.5276,4.5,7.641,0.45,0,0,0,0,0,1
2025-26,1,clean,16,Saka,MID,100,0,1,0,1,0,0,3.0,3.492,3.5,17.3418,0.72,1,0,0,0,0,0
2025-26,1,clean,66,Neto,GKP,45,0,1,0,1,0,0,0.0,3.4516,0.0,17.099,0.88,1,0,0,1,0,0
2025-26,1,clean,81,Kluivert,MID,70,0,1,0,1,0,0,0.0,2.9224,0.0,14.3893,0.72,1,0,0,0,0,0
2025-26,1,clean,97,Evanilson,FWD,70,0,1,0,1,0,0,1.0,2.1532,1.3,10.4518,0.72,1,0,0,0,0,1
2025-26,1,clean,225,James,DEF,55,0,1,0,1,0,0,5.0,1.7748,3.8,7.8057,0.45,1,1,0,0,0,0
2025-26,1,clean,235,Palmer,MID,105,1,0,1,0,0,0,3.0,4.0608,3.6,17.9831,0.72,0,0,0,0,0,0
2025-26,1,clean,256,Muñoz,DEF,55,0,1,0,1,0,0,5.0,1.484,2.8,7.6116,0.45,1,1,0,0,0,0
2025-26,1,clean,366,A.Becker,GKP,55,1,0,1,0,0,1,1.0,3.1568,5.0,13.7725,0.88,0,0,0,0,1,0
2025-26,1,clean,370,Frimpong,DEF,60,1,0,1,0,0,0,1.0,1.7908,5.0,7.8477,0.45,0,0,0,0,0,0
2025-26,1,clean,373,Virgil,DEF,60,1,0,1,0,0,0,3.0,1.7208,5.0,7.6269,0.45,0,0,0,0,0,1
2025-26,1,clean,381,M.Salah,MID,145,0,1,0,1,1,0,8.0,5.0704,5.0,22.2741,0.72,1,0,0,0,1,0
2025-26,1,clean,389,Elliott,MID,55,1,0,1,0,0,0,0.0,1.5756,3.0,7.1449,0.45,0,0,0,0,0,0
2025-26,1,clean,402,Aït-Nouri,DEF,60,1,0,1,0,0,0,9.0,1.4512,4.5,7.6704,0.45,0,0,0,0,0,1
2025-26,1,clean,406,Khusanov,DEF,55,0,1,0,1,0,0,1.0,1.5072,3.8,7.6419,0.45,1,1,0,0,0,0
2025-26,1,clean,414,Foden,MID,80,1,0,1,0,0,0,0.0,2.7644,3.1,13.1595,0.72,0,0,0,0,0,0
2025-26,1,clean,430,Haaland,FWD,140,1,0,1,0,0,0,13.0,3.6076,4.5,18.5697,0.72,0,0,0,0,0,1
2025-26,1,clean,449,B.Fernandes,MID,90,0,1,0,1,0,0,2.0,3.922,2.3,17.2132,0.72,1,0,0,0,0,1
2025-26,1,clean,485,Gordon,MID,75,1,1,1,1,0,0,3.0,2.8988,3.0,14.6894,0.72,0,0,0,0,0,0
2025-26,1,clean,525,Wood,FWD,75,0,1,0,1,0,0,13.0,2.9576,2.4,12.8228,0.72,1,0,0,0,0,0
2025-26,2,clean,6,Saliba,DEF,60,1,0,1,0,0,0,6.0,2.3012,8.5,10.5343,0.45,0,0,0,0,0,1
