season,gw,movement,player_id,web_name,position,v1_p_start,v1_bucket,actual_minutes,blank,actual_points
2022-23,1,left,227,Bamford,FWD,0.72,0.70-0.80,83.0,0,5
2022-23,1,entered,191,Calvert-Lewin,FWD,0.72,0.70-0.80,0.0,1,0
2022-23,2,left,301,De Bruyne,MID,0.72,0.70-0.80,90.0,0,14
2022-23,2,entered,575,Cornet,MID,0.68,0.60-0.70,5.0,0,1
2022-23,3,left,301,De Bruyne,MID,0.72,0.70-0.80,90.0,0,5
2022-23,3,left,303,Mahrez,MID,0.72,0.70-0.80,0.0,1,0
2022-23,3,entered,465,Bowen,MID,0.72,0.70-0.80,90.0,0,2
2022-23,3,entered,283,Salah,MID,0.72,0.70-0.80,90.0,0,8
2022-23,4,left,428,Son,MID,0.72,0.70-0.80,73.0,0,3
2022-23,4,left,110,Maupay,FWD,0.82,0.80-0.90,0.0,1,0
2022-23,4,left,303,Mahrez,MID,0.72,0.70-0.80,60.0,0,2
2022-23,4,left,81,Raya,GKP,0.88,0.80-0.90,90.0,0,6
2022-23,4,left,465,Bowen,MID,0.72,0.70-0.80,90.0,0,3
2022-23,4,left,309,Laporte,DEF,0.45,<0.60,0.0,1,0
2022-23,4,entered,426,Forster,GKP,0.9,0.90-1.00,0.0,1,0
2022-23,4,entered,154,McArthur,MID,0.68,0.60-0.70,0.0,1,0
2022-23,4,entered,283,Salah,MID,0.72,0.70-0.80,90.0,0,3
2022-23,4,entered,349,Shelvey,MID,0.68,0.60-0.70,0.0,1,0
2022-23,4,entered,285,Alexander-Arnold,DEF,0.72,0.70-0.80,82.0,0,17
2022-23,4,entered,318,Haaland,FWD,0.72,0.70-0.80,83.0,0,17
2022-23,5,left,356,Wilson,FWD,0.72,0.70-0.80,0.0,1,0
2022-23,5,left,261,Maddison,MID,0.72,0.70-0.80,90.0,0,1
2022-23,5,left,426,Forster,GKP,0.9,0.90-1.00,0.0,1,0
2022-23,5,left,300,Gündogan,MID,0.72,0.70-0.80,90.0,0,3
2022-23,5,left,276,Matip,DEF,0.45,<0.60,0.0,1,0
2022-23,5,left,309,Laporte,DEF,0.45,<0.60,0.0,1,0
2022-23,5,entered,256,Ricardo,DEF,0.22,<0.60,0.0,1,0
2022-23,5,entered,2,Leno,GKP,0.88,0.80-0.90,90.0,0,2
2022-23,5,entered,701,Weghorst,FWD,0.68,0.60-0.70,0.0,1,
2022-23,5,entered,154,McArthur,MID,0.68,0.60-0.70,0.0,1,0
2022-23,5,entered,349,Shelvey,MID,0.68,0.60-0.70,0.0,1,0
2022-23,5,entered,222,Ayling,DEF,0.22,<0.60,0.0,1,0
2022-23,6,left,448,Perišić,DEF,0.45,<0.60,6.0,0,1
2022-23,6,left,81,Raya,GKP,0.88,0.80-0.90,90.0,0,2
2022-23,6,left,356,Wilson,FWD,0.72,0.70-0.80,0.0,1,0
2022-23,6,left,309,Laporte,DEF,0.45,<0.60,0.0,1,0
2022-23,6,entered,426,Forster,GKP,0.9,0.90-1.00,0.0,1,0
2022-23,6,entered,139,Chilwell,DEF,0.225,<0.60,18.0,0,10
2022-23,6,entered,484,Kilman,DEF,0.22,<0.60,90.0,0,6
2022-23,6,entered,701,Weghorst,FWD,0.68,0.60-0.70,0.0,1,
2022-23,8,left,448,Perišić,DEF,0.45,<0.60,54.0,0,2
2022-23,8,left,139,Chilwell,DEF,0.225,<0.60,0.0,1,
2022-23,8,left,81,Raya,GKP,0.88,0.80-0.90,90.0,0,2
2022-23,8,left,276,Matip,DEF,0.45,<0.60,0.0,1,
2022-23,8,left,309,Laporte,DEF,0.45,<0.60,0.0,1,0
2022-23,8,entered,516,Collins,DEF,0.22,<0.60,32.0,0,-3
2022-23,8,entered,484,Kilman,DEF,0.22,<0.60,90.0,0,1
2022-23,8,entered,426,Forster,GKP,0.9,0.90-1.00,0.0,1,0
2022-23,8,entered,428,Son,MID,0.28,<0.60,31.0,0,19
2022-23,8,entered,301,De Bruyne,MID,0.28,<0.60,71.0,0,10
2022-23,9,left,81,Raya,GKP,0.88,0.80-0.90,90.0,0,6
2022-23,9,left,276,Matip,DEF,0.45,<0.60,90.0,0,1
2022-23,9,left,454,Richarlison,FWD,0.72,0.70-0.80,70.0,0,5
2022-23,9,entered,73,Kelly,DEF,0.22,<0.60,0.0,1,0
2022-23,9,entered,426,Forster,GKP,0.9,0.90-1.00,0.0,1,0
2022-23,9,entered,701,Weghorst,FWD,0.68,0.60-0.70,0.0,1,
2022-23,10,left,276,Matip,DEF,0.45,<0.60,68.0,0,1
2022-23,10,left,454,Richarlison,FWD,0.72,0.70-0.80,20.0,0,1
2022-23,10,entered,73,Kelly,DEF,0.22,<0.60,0.0,1,0
2022-23,10,entered,701,Weghorst,FWD,0.68,0.60-0.70,0.0,1,
2022-23,11,left,2,Leno,GKP,0.88,0.80-0.90,90.0,0,2
2022-23,11,left,357,Trippier,DEF,0.28,<0.60,90.0,0,6
2022-23,11,left,16,Gabriel,DEF,0.48,<0.60,90.0,0,8
2022-23,11,left,465,Bowen,MID,0.48,<0.60,90.0,0,2
2022-23,11,left,276,Matip,DEF,0.45,<0.60,0.0,1,0
2022-23,11,entered,516,Collins,DEF,0.22,<0.60,0.0,1,0
2022-23,11,entered,484,Kilman,DEF,0.22,<0.60,90.0,0,6
2022-23,11,entered,39,Mings,DEF,0.22,<0.60,90.0,0,1
2022-23,11,entered,426,Forster,GKP,0.9,0.90-1.00,0.0,1,0
2022-23,11,entered,283,Salah,MID,0.28,<0.60,89.0,0,8
2022-23,12,left,280,Van Dijk,DEF,0.48,<0.60,90.0,0,7
2022-23,12,left,690,João Félix,FWD,0.72,0.70-0.80,0.0,1,
2022-23,12,left,116,Mac Allister,MID,0.48,<0.60,90.0,0,2
2022-23,12,left,342,Dalot,DEF,0.48,<0.60,90.0,0,6
2022-23,12,entered,256,Ricardo,DEF,0.22,<0.60,0.0,1,0
2022-23,12,entered,73,Kelly,DEF,0.22,<0.60,0.0,1,0
2022-23,12,entered,283,Salah,MID,0.28,<0.60,90.0,0,3
2022-23,12,entered,701,Weghorst,FWD,0.68,0.60-0.70,0.0,1,
2022-23,13,left,484,Kilman,DEF,0.48,<0.60,90.0,0,0
2022-23,13,left,357,Trippier,DEF,0.48,<0.60,90.0,0,2
2022-23,13,left,16,Gabriel,DEF,0.48,<0.60,90.0,0,2
2022-23,13,left,81,Raya,GKP,0.9,0.90-1.00,90.0,0,2
2022-23,13,left,283,Salah,MID,0.48,<0.60,90.0,0,2
2022-23,13,left,318,Haaland,FWD,0.48,<0.60,79.0,0,13
2022-23,13,entered,448,Perišić,DEF,0.28,<0.60,29.0,0,1
2022-23,13,entered,128,Thiago Silva,DEF,0.28,<0.60,90.0,0,2
2022-23,13,entered,516,Collins,DEF,0.22,<0.60,90.0,0,0
2022-23,13,entered,301,De Bruyne,MID,0.28,<0.60,90.0,0,9
2022-23,13,entered,701,Weghorst,FWD,0.68,0.60-0.70,0.0,1,
2022-23,13,entered,478,Sá,GKP,0.9,0.90-1.00,90.0,0,0
2022-23,14,left,128,Thiago Silva,DEF,0.48,<0.60,90.0,0,0
2022-23,14,left,690,João Félix,FWD,0.72,0.70-0.80,0.0,1,
2022-23,14,left,2,Leno,GKP,0.9,0.90-1.00,90.0,0,10
2022-23,14,left,258,Castagne,DEF,0.48,<0.60,90.0,0,2
2022-23,14,entered,256,Ricardo,DEF,0.22,<0.60,0.0,1,0
2022-23,14,entered,73,Kelly,DEF,0.22,<0.60,0.0,1,0
2022-23,14,entered,701,Weghorst,FWD,0.68,0.60-0.70,0.0,1,
2022-23,14,entered,81,Raya,GKP,0.9,0.90-1.00,90.0,0,3
2022-23,15,left,128,Thiago Silva,DEF,0.48,<0.60,90.0,0,2
2022-23,15,left,258,Castagne,DEF,0.48,<0.60,90.0,0,6
2022-23,15,left,357,Trippier,DEF,0.48,<0.60,79.0,0,12
2022-23,15,left,426,Forster,GKP,0.9,0.90-1.00,0.0,1,0
2022-23,15,left,428,Son,MID,0.48,<0.60,0.0,1,0
2022-23,15,entered,448,Perišić,DEF,0.28,<0.60,90.0,0,1
2022-23,15,entered,516,Collins,DEF,0.22,<0.60,90.0,0,0
2022-23,15,entered,520,Koulibaly,DEF,0.28,<0.60,0.0,1,0
2022-23,15,entered,182,Pickford,GKP,0.9,0.90-1.00,90.0,0,3
2022-23,15,entered,446,Kulusevski,MID,0.28,<0.60,22.0,0,4
2022-23,16,left,16,Gabriel,DEF,0.48,<0.60,90.0,0,5
2022-23,16,left,428,Son,MID,0.48,<0.60,0.0,1,0
2022-23,16,left,342,Dalot,DEF,0.48,<0.60,0.0,1,0
2022-23,16,entered,448,Perišić,DEF,0.28,<0.60,90.0,0,1
2022-23,16,entered,73,Kelly,DEF,0.22,<0.60,0.0,1,0
2022-23,16,entered,283,Salah,MID,0.48,<0.60,90.0,0,2
2022-23,17,left,2,Leno,GKP,0.9,0.90-1.00,90.0,0,6
2022-23,17,left,314,Foden,MID,0.48,<0.60,17.0,0,1
2022-23,17,left,342,Dalot,DEF,0.48,<0.60,0.0,1,0
2022-23,17,entered,256,Ricardo,DEF,0.22,<0.60,0.0,1,0
2022-23,17,entered,81,Raya,GKP,0.9,0.90-1.00,90.0,0,3
2022-23,17,entered,283,Salah,MID,0.48,<0.60,90.0,0,12
2022-23,18,left,7,Ødegaard,MID,0.48,<0.60,86.0,0,13
