season,gw,movement,player_id,web_name,position,ctrl_p_start,ctrl_mu,treat_mu,mu_delta,had_club_prior,actual_minutes,blank,actual_points
2022-23,1,left,356,Wilson,FWD,0.72,2.8608,3.4592,0.5984,1,89.0,0,6
2022-23,1,left,428,Son,MID,0.72,4.1008,5.6048,1.504,1,90.0,0,5
2022-23,1,left,13,Saka,MID,0.72,3.1804,3.8156,0.6352,1,90.0,0,6
2022-23,1,left,306,Cancelo,DEF,0.72,2.3396,2.76,0.4204,1,90.0,0,7
2022-23,1,left,345,Martial,FWD,0.72,2.7476,2.7476,0.0,0,0.0,1,0
2022-23,1,entered,261,Maddison,MID,0.72,2.9508,4.6712,1.7204,1,90.0,0,5
2022-23,1,entered,139,Chilwell,DEF,0.45,1.564,2.8804,1.3164,1,64.0,0,9
2022-23,1,entered,303,Mahrez,MID,0.72,2.6808,4.7044,2.0236,1,2.0,0,1
2022-23,1,entered,446,Kulusevski,MID,0.72,2.8276,4.9052,2.0776,1,85.0,0,13
2022-23,1,entered,255,Vardy,FWD,0.72,2.842,4.2408,1.3988,1,90.0,0,5
2022-23,2,left,475,Coady,DEF,0.85,2.8648,2.8648,0.0,0,80.0,0,2
2022-23,2,left,454,Richarlison,FWD,0.82,3.4296,3.4296,0.0,0,33.0,0,1
2022-23,2,entered,285,Alexander-Arnold,DEF,0.72,2.7108,3.5096,0.7988,1,90.0,0,3
2022-23,2,entered,303,Mahrez,MID,0.72,2.9688,5.5728,2.604,1,90.0,0,3
2022-23,3,left,585,Dennis,FWD,0.82,3.6232,3.6232,0.0,0,0.0,1,0
2022-23,3,left,283,Salah,MID,0.72,3.3772,4.5632,1.186,1,90.0,0,8
2022-23,3,left,465,Bowen,MID,0.72,2.9608,4.3044,1.3436,1,90.0,0,2
2022-23,3,left,110,Maupay,FWD,0.82,3.3596,3.3596,0.0,0,0.0,1,0
2022-23,3,entered,255,Vardy,FWD,0.72,2.778,4.028,1.25,1,64.0,0,2
2022-23,3,entered,261,Maddison,MID,0.72,2.7584,4.2416,1.4832,1,90.0,0,7
2022-23,3,entered,446,Kulusevski,MID,0.72,2.746,4.3672,1.6212,1,85.0,0,3
2022-23,3,entered,303,Mahrez,MID,0.72,2.6608,4.6048,1.944,1,0.0,1,0
2022-23,4,left,81,Raya,GKP,0.85,3.3496,3.338,-0.0116,1,90.0,0,6
2022-23,4,left,300,Gündogan,MID,0.72,2.62,3.492,0.872,1,29.0,0,4
2022-23,4,left,301,De Bruyne,MID,0.72,3.5448,4.3688,0.824,1,88.0,0,2
2022-23,4,left,110,Maupay,FWD,0.82,2.9136,2.9136,0.0,0,0.0,1,0
2022-23,4,entered,465,Bowen,MID,0.72,2.5748,3.5792,1.0044,1,90.0,0,3
2022-23,4,entered,314,Foden,MID,0.72,2.6844,3.5488,0.8644,1,90.0,0,4
2022-23,4,entered,446,Kulusevski,MID,0.72,2.4184,3.604,1.1856,1,82.0,0,6
2022-23,4,entered,518,Hennessey,GKP,0.85,3.3136,3.3136,0.0,0,0.0,1,0
2022-23,5,left,288,Diogo Jota,FWD,0.55,3.03,3.03,0.0,1,0.0,1,0
2022-23,5,left,257,Amartey,DEF,0.72,2.3476,2.128,-0.2196,1,0.0,1,0
2022-23,5,left,258,Castagne,DEF,0.72,2.3148,2.2412,-0.0736,1,0.0,1,0
2022-23,5,left,301,De Bruyne,MID,0.72,3.414,4.176,0.762,1,21.0,0,1
2022-23,5,left,210,Mitrović,FWD,0.72,2.5264,2.5264,0.0,0,90.0,0,9
2022-23,5,left,116,Mac Allister,MID,0.72,2.3984,2.7676,0.3692,1,90.0,0,10
2022-23,5,left,156,Ward,DEF,0.72,2.308,2.1672,-0.1408,1,90.0,0,2
2022-23,5,left,318,Haaland,FWD,0.72,3.56,3.56,0.0,0,68.0,0,17
2022-23,5,entered,261,Maddison,MID,0.72,2.5856,4.028,1.4424,1,90.0,0,1
2022-23,5,entered,357,Trippier,DEF,0.72,2.0768,3.154,1.0772,1,90.0,0,0
2022-23,5,entered,303,Mahrez,MID,0.72,2.6836,5.2708,2.5872,1,35.0,0,4
2022-23,5,entered,16,Gabriel,DEF,0.72,2.3096,2.736,0.4264,1,90.0,0,2
2022-23,5,entered,465,Bowen,MID,0.72,2.724,3.8672,1.1432,1,90.0,0,2
2022-23,5,entered,279,Firmino,FWD,0.72,2.3972,3.5044,1.1072,1,90.0,0,9
2022-23,5,entered,285,Alexander-Arnold,DEF,0.72,2.6452,3.2212,0.576,1,70.0,0,2
2022-23,5,entered,255,Vardy,FWD,0.72,2.5452,3.7528,1.2076,1,86.0,0,2
2022-23,6,left,480,Neves,MID,0.72,2.608,2.768,0.16,1,90.0,0,2
2022-23,6,left,288,Diogo Jota,FWD,0.55,2.8292,2.8292,0.0,1,10.0,0,1
2022-23,6,left,516,Collins,DEF,0.72,2.5984,2.5984,0.0,0,90.0,0,9
2022-23,6,left,104,Groß,MID,0.72,2.8824,3.1112,0.2288,1,90.0,0,5
2022-23,6,left,106,Dunk,DEF,0.72,2.632,2.66,0.028,1,90.0,0,1
2022-23,6,left,427,Kane,FWD,0.72,3.2404,3.5756,0.3352,1,77.0,0,9
2022-23,6,left,210,Mitrović,FWD,0.72,2.6796,2.6796,0.0,0,90.0,0,5
2022-23,6,entered,356,Wilson,FWD,0.72,2.5984,3.3292,0.7308,1,0.0,1,0
2022-23,6,entered,261,Maddison,MID,0.72,2.3492,3.4236,1.0744,1,90.0,0,2
