season,cap_gate,gw,movement,player_id,web_name,position,club_transition,n_comp,recent4,demotion,demoted,ctrl_p_start,treat_p_start,p_start_delta,ctrl_mu,treat_mu,actual_minutes,blank,actual_points
2022-23,FAIL,1,left,227,Bamford,FWD,1,0,0,n_comp_0,0,0.72,0.72,0.0,2.8148,2.8148,83.0,0,5.0
2022-23,FAIL,1,left,306,Cancelo,DEF,1,2,0,cap_0.48,1,0.72,0.48,-0.24,2.3396,1.6676,90.0,0,7.0
2022-23,FAIL,1,left,345,Martial,FWD,1,1,0,cap_0.68,1,0.72,0.68,-0.04,2.7476,2.6616,0.0,1,0.0
2022-23,FAIL,1,left,284,Robertson,DEF,1,3,0,cap_0.48,1,0.72,0.48,-0.24,2.2988,1.618,90.0,0,1.0
2022-23,FAIL,1,left,285,Alexander-Arnold,DEF,1,3,0,cap_0.48,1,0.72,0.48,-0.24,2.3944,1.6588,90.0,0,1.0
2022-23,FAIL,1,entered,448,Perišić,DEF,1,5,0,cap_0.48,1,0.45,0.45,0.0,1.682,1.682,24.0,0,1.0
2022-23,FAIL,1,entered,129,Alonso,DEF,0,0,0,none,0,0.45,0.45,0.0,1.5156,1.5156,0.0,1,0.0
2022-23,FAIL,1,entered,427,Kane,FWD,1,0,0,n_comp_0,0,0.72,0.72,0.0,3.82,3.82,90.0,0,2.0
2022-23,FAIL,1,entered,302,Stones,DEF,1,3,0,cap_0.48,1,0.45,0.45,0.0,1.5564,1.5564,0.0,1,0.0
2022-23,FAIL,1,entered,191,Calvert-Lewin,FWD,0,0,0,none,0,0.72,0.72,0.0,3.0024,3.0024,0.0,1,0.0
2022-23,FAIL,2,left,264,Barnes,MID,1,3,0,cap_0.48,1,0.82,0.48,-0.34,4.2192,2.5688,0.0,1,0.0
2022-23,FAIL,2,left,475,Coady,DEF,1,4,0,cap_0.48,1,0.85,0.48,-0.37,2.8648,1.6908,80.0,0,2.0
2022-23,FAIL,2,left,301,De Bruyne,MID,1,5,0,cap_0.48,1,0.72,0.48,-0.24,3.784,2.6952,90.0,0,14.0
2022-23,FAIL,2,left,454,Richarlison,FWD,1,1,0,cap_0.68,1,0.82,0.68,-0.14,3.4296,2.8568,33.0,0,1.0
2022-23,FAIL,2,entered,482,Semedo,DEF,0,0,0,none,0,0.82,0.82,0.0,2.8388,2.8388,12.0,0,1.0
2022-23,FAIL,2,entered,428,Son,MID,1,1,0,cap_0.68,1,0.72,0.68,-0.04,3.3824,3.2328,78.0,0,2.0
2022-23,FAIL,2,entered,318,Haaland,FWD,1,0,0,n_comp_0,0,0.72,0.72,0.0,3.5172,3.5172,73.0,0,5.0
2022-23,FAIL,2,entered,503,Moutinho,MID,0,0,0,none,0,0.85,0.85,0.0,2.5544,2.5544,0.0,1,0.0
2022-23,FAIL,3,left,283,Salah,MID,1,2,0,cap_0.48,1,0.72,0.48,-0.24,3.3772,2.448,90.0,0,8.0
2022-23,FAIL,3,left,110,Maupay,FWD,1,0,0,n_comp_0,0,0.82,0.82,0.0,3.3596,3.3596,0.0,1,0.0
2022-23,FAIL,3,entered,427,Kane,FWD,1,0,0,n_comp_0,0,0.72,0.72,0.0,3.4352,3.4352,90.0,0,6.0
2022-23,FAIL,3,entered,503,Moutinho,MID,0,0,0,none,0,0.85,0.85,0.0,2.366,2.366,57.0,0,1.0
2022-23,FAIL,4,left,300,Gündogan,MID,1,5,0,cap_0.48,1,0.72,0.48,-0.24,2.62,1.8588,29.0,0,4.0
2022-23,FAIL,4,left,110,Maupay,FWD,1,0,0,n_comp_0,0,0.82,0.82,0.0,2.9136,2.9136,0.0,1,0.0
2022-23,FAIL,4,left,303,Mahrez,MID,1,6,0,cap_0.48,1,0.72,0.48,-0.24,2.8124,1.954,60.0,0,2.0
2022-23,FAIL,4,left,81,Raya,GKP,1,0,0,none,0,0.85,0.85,0.0,3.3496,3.3496,90.0,0,6.0
2022-23,FAIL,4,left,283,Salah,MID,1,2,0,cap_0.48,1,0.72,0.48,-0.24,3.5716,2.5192,90.0,0,3.0
2022-23,FAIL,4,left,285,Alexander-Arnold,DEF,1,3,0,cap_0.48,1,0.72,0.48,-0.24,2.546,1.8036,82.0,0,17.0
2022-23,FAIL,4,entered,518,Hennessey,GKP,1,0,0,none,0,0.85,0.85,0.0,3.3136,3.3136,0.0,1,0.0
2022-23,FAIL,4,entered,428,Son,MID,1,1,0,cap_0.68,1,0.72,0.68,-0.04,3.0988,2.9672,73.0,0,3.0
2022-23,FAIL,4,entered,465,Bowen,MID,0,0,0,none,0,0.72,0.72,0.0,2.5748,2.5748,90.0,0,3.0
2022-23,FAIL,4,entered,276,Matip,DEF,1,3,0,cap_0.48,1,0.45,0.45,0.0,1.7224,1.7224,0.0,1,0.0
2022-23,FAIL,4,entered,349,Shelvey,MID,1,0,0,n_comp_0,0,0.68,0.68,0.0,2.1556,2.1556,0.0,1,0.0
2022-23,FAIL,4,entered,318,Haaland,FWD,1,0,0,n_comp_0,0,0.72,0.72,0.0,3.592,3.592,83.0,0,17.0
2022-23,FAIL,8,left,454,Richarlison,FWD,1,1,120,cap_0.68,1,0.72,0.68,-0.04,2.5476,2.4188,58.0,0,1.0
2022-23,FAIL,8,left,303,Mahrez,MID,1,6,112,cap_0.48,1,0.72,0.48,-0.24,2.444,1.7624,18.0,0,1.0
2022-23,FAIL,8,entered,210,Mitrović,FWD,1,0,270,hot_skip,0,0.72,0.72,0.0,2.5116,2.5116,89.0,0,2.0
2022-23,FAIL,8,entered,445,Emerson Royal,DEF,1,4,270,hot_skip,0,0.72,0.72,0.0,2.4252,2.4252,35.0,0,1.0
2022-23,FAIL,9,left,680,Gakpo,MID,1,3,0,cap_0.48,1,0.72,0.48,-0.24,2.828,2.0052,0.0,1,0.0
2022-23,FAIL,9,left,303,Mahrez,MID,1,6,70,cap_0.48,1,0.72,0.48,-0.24,2.754,1.9428,15.0,0,1.0
2022-23,FAIL,9,entered,209,Tosin,DEF,1,1,270,hot_skip,0,0.72,0.72,0.0,2.4172,2.4172,90.0,0,0.0
2022-23,FAIL,9,entered,484,Kilman,DEF,0,0,270,none,0,0.72,0.72,0.0,2.3956,2.3956,90.0,0,1.0
2022-23,FAIL,10,left,680,Gakpo,MID,1,3,0,cap_0.48,1,0.72,0.48,-0.24,2.5736,1.8276,0.0,1,0.0
2022-23,FAIL,10,left,303,Mahrez,MID,1,6,50,cap_0.48,1,0.72,0.48,-0.24,2.6696,1.8232,70.0,0,8.0
2022-23,FAIL,10,entered,468,Soucek,MID,0,0,270,none,0,0.72,0.72,0.0,2.3772,2.3772,90.0,0,2.0
2022-23,FAIL,10,entered,199,Tarkowski,DEF,1,4,270,hot_skip,0,0.72,0.72,0.0,2.4856,2.4856,90.0,0,1.0
2022-23,FAIL,11,left,680,Gakpo,MID,1,3,0,cap_0.48,1,0.72,0.48,-0.24,2.8228,2.0124,0.0,1,0.0
2022-23,FAIL,11,entered,85,Henry,DEF,1,4,270,hot_skip,0,0.72,0.72,0.0,2.3132,2.3132,86.0,0,6.0
2022-23,FAIL,12,left,680,Gakpo,MID,1,3,0,cap_0.48,1,0.72,0.48,-0.24,2.7748,1.9364,0.0,1,0.0
2022-23,FAIL,12,entered,116,Mac Allister,MID,1,1,270,hot_skip,0,0.72,0.72,0.0,2.5092,2.5092,90.0,0,2.0
2022-23,FAIL,13,left,617,Aubameyang,FWD,1,1,140,cap_0.68,1,0.72,0.68,-0.04,2.708,2.5968,73.0,0,2.0
2022-23,FAIL,13,left,39,Mings,DEF,0,0,360,none,0,0.72,0.72,0.0,2.4232,2.4232,90.0,0,10.0
2022-23,FAIL,13,entered,104,Groß,MID,1,1,296,hot_skip,0,0.72,0.72,0.0,2.4368,2.4368,86.0,0,1.0
2022-23,FAIL,13,entered,169,Eze,MID,0,0,342,none,0,0.72,0.72,0.0,2.4812,2.4812,90.0,0,2.0
2022-23,FAIL,14,left,680,Gakpo,MID,1,3,0,cap_0.48,1,0.72,0.48,-0.24,2.8064,2.0208,0.0,1,0.0
2022-23,FAIL,14,entered,428,Son,MID,1,1,349,hot_skip,0,0.72,0.72,0.0,2.674,2.674,90.0,0,2.0
2022-23,FAIL,16,left,680,Gakpo,MID,1,3,0,cap_0.48,1,0.72,0.48,-0.24,2.774,1.9752,0.0,1,0.0
2022-23,FAIL,16,entered,576,Senesi,DEF,1,2,343,hot_skip,0,0.72,0.72,0.0,2.5132,2.5132,90.0,0,5.0
2022-23,FAIL,18,left,680,Gakpo,MID,1,3,0,cap_0.48,1,0.72,0.48,-0.24,2.7892,2.0044,0.0,1,0.0
2022-23,FAIL,18,entered,285,Alexander-Arnold,DEF,1,3,332,hot_skip,0,0.72,0.72,0.0,2.6832,2.6832,85.0,0,8.0
2022-23,FAIL,21,left,680,Gakpo,MID,1,3,90,cap_0.48,1,0.72,0.48,-0.24,2.91,2.0428,81.0,0,3.0
2022-23,FAIL,21,entered,357,Trippier,DEF,1,2,360,hot_skip,0,0.72,0.72,0.0,2.62,2.62,90.0,0,8.0
2022-23,FAIL,26,left,357,Trippier,DEF,1,2,243,cap_0.48,1,0.82,0.48,-0.34,3.0396,1.7796,90.0,0,1.0
2022-23,FAIL,26,entered,92,Pinnock,DEF,1,4,270,hot_skip,0,0.72,0.72,0.0,2.5408,2.5408,90.0,0,7.0
2022-23,FAIL,28,left,357,Trippier,DEF,1,2,243,cap_0.48,1,0.82,0.48,-0.34,3.1704,1.9188,90.0,0,2.0
2022-23,FAIL,28,entered,493,Gibbs-White,MID,1,3,360,hot_skip,0,0.82,0.82,0.0,2.674,2.674,90.0,0,1.0
2022-23,FAIL,29,left,333,Fernandes,MID,1,3,180,cap_0.48,1,0.82,0.48,-0.34,6.4416,3.872,180.0,0,4.0
2022-23,FAIL,29,left,366,Schär,DEF,1,1,180,cap_0.68,1,0.82,0.68,-0.14,5.6372,4.7976,180.0,0,11.0
2022-23,FAIL,29,left,335,Rashford,MID,1,4,174,cap_0.48,1,0.82,0.48,-0.34,7.4164,4.5968,180.0,0,12.0
