season,gw,movement,player_id,web_name,position,team,season_minutes,recent4_minutes,ctrl_p_start,ctrl_mu,treat_mu,mu_delta,had_prior_strength,new_club,actual_minutes,blank,actual_points
2022-23,1,left,160,Zaha,MID,Crystal Palace,0,0,0.72,3.1776,3.0104,-0.1672,1,0,90.0,0,2
2022-23,1,left,227,Bamford,FWD,Leeds,0,0,0.72,2.8148,2.4384,-0.3764,1,1,83.0,0,5
2022-23,1,left,356,Wilson,FWD,Newcastle,0,0,0.72,2.8608,2.66,-0.2008,1,1,89.0,0,6
2022-23,1,left,13,Saka,MID,Arsenal,0,0,0.72,3.1804,3.3304,0.15,1,0,90.0,0,6
2022-23,1,left,238,Meslier,GKP,Leeds,0,0,0.85,3.2572,2.99,-0.2672,1,1,90.0,0,3
2022-23,1,left,465,Bowen,MID,West Ham,0,0,0.72,3.1896,2.4288,-0.7608,1,0,90.0,0,2
2022-23,1,left,345,Martial,FWD,Man Utd,0,0,0.72,2.7476,2.7884,0.0408,1,1,0.0,1,0
2022-23,1,entered,680,Gakpo,MID,Liverpool,0,0,0.72,2.5484,3.5636,1.0152,1,1,0.0,1,
2022-23,1,entered,305,Grealish,MID,Man City,0,0,0.72,2.464,3.2796,0.8156,1,1,90.0,0,3
2022-23,1,entered,145,Havertz,FWD,Chelsea,0,0,0.72,2.7904,3.8616,1.0712,1,0,74.0,0,2
2022-23,1,entered,147,Mendy,GKP,Chelsea,0,0,0.85,2.4192,3.4292,1.01,1,0,90.0,0,7
2022-23,1,entered,690,João Félix,FWD,Chelsea,0,0,0.72,2.148,2.8272,0.6792,1,1,0.0,1,
2022-23,1,entered,311,Bernardo,MID,Man City,0,0,0.72,2.4356,3.3548,0.9192,1,1,12.0,0,1
2022-23,1,entered,446,Kulusevski,MID,Spurs,0,0,0.72,2.8276,3.9588,1.1312,1,1,85.0,0,13
2022-23,2,left,113,Sánchez,GKP,Brighton,90,90,0.85,3.6192,4.1516,0.5324,1,1,90.0,0,6
2022-23,2,left,475,Coady,DEF,Everton,3361,0,0.85,2.8648,2.2972,-0.5676,1,1,80.0,0,2
2022-23,2,left,454,Richarlison,FWD,Spurs,2522,0,0.82,3.4296,3.2868,-0.1428,1,1,33.0,0,1
2022-23,2,entered,289,Kelleher,GKP,Liverpool,180,0,0.85,3.112,4.1596,1.0476,1,1,0.0,1,0
2022-23,2,entered,482,Semedo,DEF,Wolves,2131,0,0.82,2.8388,3.0744,0.2356,1,0,12.0,0,1
2022-23,2,entered,318,Haaland,FWD,Man City,77,77,0.72,3.5172,5.7928,2.2756,1,1,73.0,0,5
2022-23,3,left,465,Bowen,MID,West Ham,174,174,0.72,2.9608,3.0096,0.0488,1,0,90.0,0,2
2022-23,3,left,459,Dawson,DEF,Wolves,2752,0,0.85,2.562,2.102,-0.46,1,1,0.0,1,0
2022-23,3,left,428,Son,MID,Spurs,168,168,0.72,3.7616,4.2716,0.51,1,1,75.0,0,3
2022-23,3,left,110,Maupay,FWD,Everton,2269,0,0.82,3.3596,3.1512,-0.2084,1,1,0.0,1,0
2022-23,3,entered,309,Laporte,DEF,Man City,2830,0,0.425,1.5136,2.6916,1.178,1,1,0.0,1,0
2022-23,3,entered,303,Mahrez,MID,Man City,92,92,0.72,2.6608,4.1772,1.5164,1,1,0.0,1,0
2022-23,3,entered,318,Haaland,FWD,Man City,150,150,0.72,3.298,5.5144,2.2164,1,1,90.0,0,6
2022-23,3,entered,135,Ziyech,MID,Chelsea,1311,0,0.48,2.3056,3.3692,1.0636,1,0,26.0,0,1
2022-23,4,left,81,Raya,GKP,Brentford,270,270,0.85,3.3496,3.4628,0.1132,1,1,90.0,0,6
2022-23,4,left,300,Gündogan,MID,Man City,231,231,0.72,2.62,3.382,0.762,1,1,29.0,0,4
2022-23,4,left,110,Maupay,FWD,Everton,2269,0,0.82,2.9136,2.8172,-0.0964,1,1,0.0,1,0
2022-23,4,entered,113,Sánchez,GKP,Brighton,270,270,0.85,3.0616,3.6968,0.6352,1,1,90.0,0,8
2022-23,4,entered,145,Havertz,FWD,Chelsea,253,253,0.72,2.8532,3.716,0.8628,1,0,90.0,0,1
2022-23,4,entered,309,Laporte,DEF,Man City,2830,0,0.425,1.926,2.7824,0.8564,1,1,0.0,1,0
2022-23,5,left,257,Amartey,DEF,Leicester,332,332,0.72,2.3476,2.0236,-0.324,1,1,0.0,1,0
2022-23,5,left,2,Leno,GKP,Fulham,180,180,0.85,3.4448,3.7396,0.2948,0,1,90.0,0,2
2022-23,5,left,258,Castagne,DEF,Leicester,360,360,0.72,2.3148,1.9368,-0.378,1,1,0.0,1,0
2022-23,5,left,301,De Bruyne,MID,Man City,355,355,0.72,3.414,5.0912,1.6772,1,1,21.0,0,1
2022-23,5,left,210,Mitrović,FWD,Fulham,360,360,0.72,2.5264,2.4228,-0.1036,0,1,90.0,0,9
2022-23,5,left,116,Mac Allister,MID,Brighton,360,360,0.72,2.3984,2.3332,-0.0652,1,1,90.0,0,10
2022-23,5,left,407,Ward-Prowse,MID,Southampton,360,360,0.72,3.0428,2.1952,-0.8476,1,1,90.0,0,1
2022-23,5,left,156,Ward,DEF,Crystal Palace,270,270,0.72,2.308,2.4764,0.1684,1,0,90.0,0,2
2022-23,5,entered,128,Thiago Silva,DEF,Chelsea,360,360,0.72,1.9332,2.932,0.9988,1,0,90.0,0,1
2022-23,5,entered,680,Gakpo,MID,Liverpool,0,0,0.72,2.8404,4.4192,1.5788,1,1,0.0,1,
2022-23,5,entered,73,Kelly,DEF,Bournemouth,270,270,0.72,2.2144,2.65,0.4356,0,1,90.0,0,6
2022-23,5,entered,299,Walker,DEF,Man City,351,351,0.72,2.3004,3.3184,1.018,1,1,90.0,0,6
2022-23,5,entered,303,Mahrez,MID,Man City,152,152,0.72,2.6836,3.9152,1.2316,1,1,35.0,0,4
2022-23,5,entered,145,Havertz,FWD,Chelsea,343,343,0.72,2.5484,3.5556,1.0072,1,0,65.0,0,2
