season,e024_gate,gw,movement,player_id,web_name,position,season_minutes,recent4_minutes,q,ctrl_mu,treat_mu,packaged_u,mu_delta,had_club_prior,new_club,was_ctrl_captain,was_treat_captain,actual_minutes,blank,actual_points,decision_utility
2022-23,FAIL,1,left,356,Wilson,FWD,0,0,1.0,2.8608,3.4592,3.4592,0.5984,1,1,0,0,89.0,0,6.0,3.4592
2022-23,FAIL,1,left,428,Son,MID,0,0,1.0,4.1008,5.6048,5.6048,1.504,1,1,1,0,90.0,0,5.0,5.6048
2022-23,FAIL,1,left,13,Saka,MID,0,0,1.0,3.1804,3.8156,3.8156,0.6352,1,0,0,0,90.0,0,6.0,3.8156
2022-23,FAIL,1,left,306,Cancelo,DEF,0,0,1.0,2.3396,2.76,2.76,0.4204,1,1,0,0,90.0,0,7.0,2.76
2022-23,FAIL,1,left,345,Martial,FWD,0,0,1.0,2.7476,2.7476,2.7476,0.0,0,1,0,0,0.0,1,0.0,2.7476
2022-23,FAIL,1,entered,261,Maddison,MID,0,0,1.0,2.9508,4.6712,4.6712,1.7204,1,1,0,0,90.0,0,5.0,4.6712
2022-23,FAIL,1,entered,139,Chilwell,DEF,0,0,1.0,1.564,2.8804,2.8804,1.3164,1,0,0,0,64.0,0,9.0,2.8804
2022-23,FAIL,1,entered,303,Mahrez,MID,0,0,1.0,2.6808,4.7044,4.7044,2.0236,1,1,0,0,2.0,0,1.0,4.7044
2022-23,FAIL,1,entered,446,Kulusevski,MID,0,0,1.0,2.8276,4.9052,4.9052,2.0776,1,1,0,1,85.0,0,13.0,4.9052
2022-23,FAIL,1,entered,255,Vardy,FWD,0,0,1.0,2.842,4.2408,4.2408,1.3988,1,1,0,0,90.0,0,5.0,4.2408
2022-23,FAIL,2,left,475,Coady,DEF,3361,0,1.0,2.8648,2.8648,2.8648,0.0,0,1,0,0,80.0,0,2.0,2.8648
2022-23,FAIL,2,left,454,Richarlison,FWD,2522,0,1.0,3.4296,3.4296,3.4296,0.0,0,1,0,0,33.0,0,1.0,3.4296
2022-23,FAIL,2,entered,285,Alexander-Arnold,DEF,90,90,1.0,2.7108,3.5096,3.5096,0.7988,1,1,0,0,90.0,0,3.0,3.5096
2022-23,FAIL,2,entered,303,Mahrez,MID,2,2,1.0,2.9688,5.5728,5.5728,2.604,1,1,0,0,90.0,0,3.0,5.5728
2022-23,FAIL,3,left,585,Dennis,FWD,2579,0,1.0,3.6232,3.6232,3.6232,0.0,0,1,0,0,0.0,1,0.0,3.6232
2022-23,FAIL,3,left,283,Salah,MID,180,180,1.0,3.3772,4.5632,4.5632,1.186,1,1,0,0,90.0,0,8.0,4.5632
2022-23,FAIL,3,left,465,Bowen,MID,174,174,1.0,2.9608,4.3044,4.3044,1.3436,1,0,0,0,90.0,0,2.0,4.3044
2022-23,FAIL,3,left,110,Maupay,FWD,2269,0,1.0,3.3596,3.3596,3.3596,0.0,0,1,0,0,0.0,1,0.0,3.3596
2022-23,FAIL,3,entered,255,Vardy,FWD,159,159,1.0,2.778,4.028,4.028,1.25,1,1,0,0,64.0,0,2.0,4.028
2022-23,FAIL,3,entered,261,Maddison,MID,180,180,1.0,2.7584,4.2416,4.2416,1.4832,1,1,0,0,90.0,0,7.0,4.2416
2022-23,FAIL,3,entered,446,Kulusevski,MID,175,175,1.0,2.746,4.3672,4.3672,1.6212,1,1,0,0,85.0,0,3.0,4.3672
2022-23,FAIL,3,entered,303,Mahrez,MID,92,92,1.0,2.6608,4.6048,4.6048,1.944,1,1,0,0,0.0,1,0.0,4.6048
2022-23,FAIL,4,left,81,Raya,GKP,270,270,1.0,3.3496,3.338,3.338,-0.0116,1,1,0,0,90.0,0,6.0,3.338
2022-23,FAIL,4,left,300,Gündogan,MID,231,231,1.0,2.62,3.492,3.492,0.872,1,1,0,0,29.0,0,4.0,3.492
2022-23,FAIL,4,left,301,De Bruyne,MID,267,267,1.0,3.5448,4.3688,4.3688,0.824,1,1,0,0,88.0,0,2.0,4.3688
2022-23,FAIL,4,left,110,Maupay,FWD,2269,0,1.0,2.9136,2.9136,2.9136,0.0,0,1,0,0,0.0,1,0.0,2.9136
2022-23,FAIL,4,entered,465,Bowen,MID,264,264,1.0,2.5748,3.5792,3.5792,1.0044,1,0,0,0,90.0,0,3.0,3.5792
2022-23,FAIL,4,entered,314,Foden,MID,222,222,1.0,2.6844,3.5488,3.5488,0.8644,1,1,0,0,90.0,0,4.0,3.5488
2022-23,FAIL,4,entered,446,Kulusevski,MID,260,260,1.0,2.4184,3.604,3.604,1.1856,1,1,0,0,82.0,0,6.0,3.604
2022-23,FAIL,4,entered,518,Hennessey,GKP,180,0,1.0,3.3136,3.3136,3.3136,0.0,0,1,0,0,0.0,1,0.0,3.3136
2022-23,FAIL,5,left,288,Diogo Jota,FWD,2357,0,0.0,3.03,3.03,3.03,0.0,1,1,0,0,0.0,1,0.0,3.03
2022-23,FAIL,5,left,257,Amartey,DEF,332,332,1.0,2.3476,2.128,2.128,-0.2196,1,1,0,0,0.0,1,0.0,2.128
2022-23,FAIL,5,left,258,Castagne,DEF,360,360,1.0,2.3148,2.2412,2.2412,-0.0736,1,1,0,0,0.0,1,0.0,2.2412
2022-23,FAIL,5,left,301,De Bruyne,MID,355,355,1.0,3.414,4.176,4.176,0.762,1,1,0,0,21.0,0,1.0,4.176
2022-23,FAIL,5,left,210,Mitrović,FWD,360,360,1.0,2.5264,2.5264,2.5264,0.0,0,1,0,0,90.0,0,9.0,2.5264
2022-23,FAIL,5,left,116,Mac Allister,MID,360,360,1.0,2.3984,2.7676,2.7676,0.3692,1,1,0,0,90.0,0,10.0,2.7676
2022-23,FAIL,5,left,156,Ward,DEF,270,270,1.0,2.308,2.1672,2.1672,-0.1408,1,0,0,0,90.0,0,2.0,2.1672
2022-23,FAIL,5,left,318,Haaland,FWD,323,323,1.0,3.56,3.56,3.56,0.0,0,1,1,0,68.0,0,17.0,3.56
2022-23,FAIL,5,entered,261,Maddison,MID,270,270,1.0,2.5856,4.028,4.028,1.4424,1,1,0,0,90.0,0,1.0,4.028
2022-23,FAIL,5,entered,357,Trippier,DEF,360,360,1.0,2.0768,3.154,3.154,1.0772,1,1,0,0,90.0,0,0.0,3.154
2022-23,FAIL,5,entered,457,Cresswell,DEF,360,360,1.0,2.2588,2.58,2.58,0.3212,1,0,0,0,71.0,0,2.0,2.58
2022-23,FAIL,5,entered,303,Mahrez,MID,152,152,1.0,2.6836,5.2708,5.2708,2.5872,1,1,0,1,35.0,0,4.0,5.2708
2022-23,FAIL,5,entered,465,Bowen,MID,354,354,1.0,2.724,3.8672,3.8672,1.1432,1,0,0,0,90.0,0,2.0,3.8672
2022-23,FAIL,5,entered,279,Firmino,FWD,208,208,1.0,2.3972,3.5044,3.5044,1.1072,1,1,0,0,90.0,0,9.0,3.5044
2022-23,FAIL,5,entered,285,Alexander-Arnold,DEF,352,352,1.0,2.6452,3.2212,3.2212,0.576,1,1,0,0,70.0,0,2.0,3.2212
2022-23,FAIL,5,entered,255,Vardy,FWD,313,313,1.0,2.5452,3.7528,3.7528,1.2076,1,1,0,0,86.0,0,2.0,3.7528
2022-23,FAIL,6,left,480,Neves,MID,450,360,1.0,2.608,2.768,2.768,0.16,1,0,0,0,90.0,0,2.0,2.768
2022-23,FAIL,6,left,288,Diogo Jota,FWD,2357,0,0.0,2.8292,2.8292,2.8292,0.0,1,1,0,0,10.0,0,1.0,2.8292
2022-23,FAIL,6,left,516,Collins,DEF,450,360,1.0,2.5984,2.5984,2.5984,0.0,0,1,0,0,90.0,0,9.0,2.5984
2022-23,FAIL,6,left,104,Groß,MID,450,360,1.0,2.8824,3.1112,3.1112,0.2288,1,1,0,0,90.0,0,5.0,3.1112
2022-23,FAIL,6,left,106,Dunk,DEF,450,360,1.0,2.632,2.66,2.66,0.028,1,1,0,0,90.0,0,1.0,2.66
2022-23,FAIL,6,left,427,Kane,FWD,450,360,1.0,3.2404,3.5756,3.5756,0.3352,1,1,0,0,77.0,0,9.0,3.5756
2022-23,FAIL,6,left,210,Mitrović,FWD,450,360,1.0,2.6796,2.6796,2.6796,0.0,0,1,0,0,90.0,0,5.0,2.6796
2022-23,FAIL,6,entered,356,Wilson,FWD,244,155,1.0,2.5984,3.3292,3.3292,0.7308,1,1,0,0,0.0,1,0.0,3.3292
2022-23,FAIL,6,entered,261,Maddison,MID,360,270,1.0,2.3492,3.4236,3.4236,1.0744,1,1,0,0,90.0,0,2.0,3.4236
2022-23,FAIL,6,entered,357,Trippier,DEF,450,360,1.0,2.3332,3.6916,3.6916,1.3584,1,1,0,0,90.0,0,8.0,3.6916
2022-23,FAIL,6,entered,303,Mahrez,MID,187,185,1.0,2.5668,4.3852,4.3852,1.8184,1,1,0,0,17.0,0,1.0,4.3852
2022-23,FAIL,6,entered,145,Havertz,FWD,408,334,1.0,2.6248,3.2212,3.2212,0.5964,1,0,0,0,18.0,0,6.0,3.2212
2022-23,FAIL,6,entered,477,Jonny,DEF,437,347,1.0,2.1752,2.7716,2.7716,0.5964,1,0,0,0,90.0,0,5.0,2.7716
2022-23,FAIL,6,entered,446,Kulusevski,MID,417,332,1.0,2.6268,3.9188,3.9188,1.292,1,1,0,0,12.0,0,1.0,3.9188
2022-23,FAIL,8,left,480,Neves,MID,540,270,1.0,2.4304,2.5668,2.5668,0.1364,1,0,0,0,90.0,0,1.0,2.5668
2022-23,FAIL,8,left,454,Richarlison,FWD,167,120,1.0,2.5476,2.5476,2.5476,0.0,0,1,0,0,58.0,0,1.0,2.5476
2022-23,FAIL,8,left,526,Mee,DEF,508,270,1.0,2.4876,2.4876,2.4876,0.0,0,1,0,0,90.0,0,1.0,2.4876
2022-23,FAIL,8,entered,477,Jonny,DEF,527,270,1.0,2.1892,2.5996,2.5996,0.4104,1,0,0,0,90.0,0,1.0,2.5996
2022-23,FAIL,8,entered,465,Bowen,MID,534,270,1.0,2.4008,3.3016,3.3016,0.9008,1,0,0,0,90.0,0,2.0,3.3016
2022-23,FAIL,8,entered,189,Gray,MID,530,270,1.0,2.396,2.9084,2.9084,0.5124,1,0,0,0,80.0,0,3.0,2.9084
