season,e024_gate,gw,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,du,dpts,enter_u,left_u,enter_pts,left_pts,enter_mins,left_mins,enter_mu_delta,both60,both_play,model_pref_enter,actual_pref_enter,tie_pts
2022-23,FAIL,1,261,Maddison,MID,356,Wilson,FWD,1.212,-1.0,4.6712,3.4592,5.0,6.0,90.0,89.0,1.7204,1,1,1,0,0
2022-23,FAIL,1,261,Maddison,MID,428,Son,MID,-0.9336,0.0,4.6712,5.6048,5.0,5.0,90.0,90.0,1.7204,1,1,0,0,1
2022-23,FAIL,1,261,Maddison,MID,13,Saka,MID,0.8556,-1.0,4.6712,3.8156,5.0,6.0,90.0,90.0,1.7204,1,1,1,0,0
2022-23,FAIL,1,261,Maddison,MID,306,Cancelo,DEF,1.9112,-2.0,4.6712,2.76,5.0,7.0,90.0,90.0,1.7204,1,1,1,0,0
2022-23,FAIL,1,261,Maddison,MID,345,Martial,FWD,1.9236,5.0,4.6712,2.7476,5.0,0.0,90.0,0.0,1.7204,0,0,1,1,0
2022-23,FAIL,1,139,Chilwell,DEF,356,Wilson,FWD,-0.5788,3.0,2.8804,3.4592,9.0,6.0,64.0,89.0,1.3164,1,1,0,1,0
2022-23,FAIL,1,139,Chilwell,DEF,428,Son,MID,-2.7244,4.0,2.8804,5.6048,9.0,5.0,64.0,90.0,1.3164,1,1,0,1,0
2022-23,FAIL,1,139,Chilwell,DEF,13,Saka,MID,-0.9352,3.0,2.8804,3.8156,9.0,6.0,64.0,90.0,1.3164,1,1,0,1,0
2022-23,FAIL,1,139,Chilwell,DEF,306,Cancelo,DEF,0.1204,2.0,2.8804,2.76,9.0,7.0,64.0,90.0,1.3164,1,1,1,1,0
2022-23,FAIL,1,139,Chilwell,DEF,345,Martial,FWD,0.1328,9.0,2.8804,2.7476,9.0,0.0,64.0,0.0,1.3164,0,0,1,1,0
2022-23,FAIL,1,303,Mahrez,MID,356,Wilson,FWD,1.2452,-5.0,4.7044,3.4592,1.0,6.0,2.0,89.0,2.0236,0,1,1,0,0
2022-23,FAIL,1,303,Mahrez,MID,428,Son,MID,-0.9004,-4.0,4.7044,5.6048,1.0,5.0,2.0,90.0,2.0236,0,1,0,0,0
2022-23,FAIL,1,303,Mahrez,MID,13,Saka,MID,0.8888,-5.0,4.7044,3.8156,1.0,6.0,2.0,90.0,2.0236,0,1,1,0,0
2022-23,FAIL,1,303,Mahrez,MID,306,Cancelo,DEF,1.9444,-6.0,4.7044,2.76,1.0,7.0,2.0,90.0,2.0236,0,1,1,0,0
2022-23,FAIL,1,303,Mahrez,MID,345,Martial,FWD,1.9568,1.0,4.7044,2.7476,1.0,0.0,2.0,0.0,2.0236,0,0,1,1,0
2022-23,FAIL,1,446,Kulusevski,MID,356,Wilson,FWD,1.446,7.0,4.9052,3.4592,13.0,6.0,85.0,89.0,2.0776,1,1,1,1,0
