season,e024_gate,gw,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,ctrl_mu_enter,ctrl_mu_left,d_ctrl,abs_ctrl_gap,gap_bucket,du,dpts,enter_mu_delta,both60,same_pos,model_pref_enter,actual_pref_enter,tie_pts,ctrl_pref_enter,ctrl_pref_left,rank_err
2022-23,FAIL,1,261,Maddison,MID,356,Wilson,FWD,2.9508,2.8608,0.09,0.09,near,1.212,-1.0,1.7204,1,0,1,0,0,1,0,1
2022-23,FAIL,1,261,Maddison,MID,428,Son,MID,2.9508,4.1008,-1.15,1.15,large,-0.9336,0.0,1.7204,1,1,0,0,1,0,1,0
2022-23,FAIL,1,261,Maddison,MID,13,Saka,MID,2.9508,3.1804,-0.2296,0.2296,near,0.8556,-1.0,1.7204,1,1,1,0,0,0,1,1
2022-23,FAIL,1,261,Maddison,MID,306,Cancelo,DEF,2.9508,2.3396,0.6112,0.6112,mid,1.9112,-2.0,1.7204,1,0,1,0,0,1,0,1
2022-23,FAIL,1,261,Maddison,MID,345,Martial,FWD,2.9508,2.7476,0.2032,0.2032,near,1.9236,5.0,1.7204,0,0,1,1,0,1,0,0
2022-23,FAIL,1,139,Chilwell,DEF,356,Wilson,FWD,1.564,2.8608,-1.2968,1.2968,large,-0.5788,3.0,1.3164,1,0,0,1,0,0,1,0
2022-23,FAIL,1,139,Chilwell,DEF,428,Son,MID,1.564,4.1008,-2.5368,2.5368,large,-2.7244,4.0,1.3164,1,0,0,1,0,0,1,0
2022-23,FAIL,1,139,Chilwell,DEF,13,Saka,MID,1.564,3.1804,-1.6164,1.6164,large,-0.9352,3.0,1.3164,1,0,0,1,0,0,1,0
2022-23,FAIL,1,139,Chilwell,DEF,306,Cancelo,DEF,1.564,2.3396,-0.7756,0.7756,large,0.1204,2.0,1.3164,1,1,1,1,0,0,1,0
2022-23,FAIL,1,139,Chilwell,DEF,345,Martial,FWD,1.564,2.7476,-1.1836,1.1836,large,0.1328,9.0,1.3164,0,0,1,1,0,0,1,0
2022-23,FAIL,1,303,Mahrez,MID,356,Wilson,FWD,2.6808,2.8608,-0.18,0.18,near,1.2452,-5.0,2.0236,0,0,1,0,0,0,1,1
2022-23,FAIL,1,303,Mahrez,MID,428,Son,MID,2.6808,4.1008,-1.42,1.42,large,-0.9004,-4.0,2.0236,0,1,0,0,0,0,1,0
2022-23,FAIL,1,303,Mahrez,MID,13,Saka,MID,2.6808,3.1804,-0.4996,0.4996,mid,0.8888,-5.0,2.0236,0,1,1,0,0,0,1,1
2022-23,FAIL,1,303,Mahrez,MID,306,Cancelo,DEF,2.6808,2.3396,0.3412,0.3412,mid,1.9444,-6.0,2.0236,0,0,1,0,0,1,0,1
2022-23,FAIL,1,303,Mahrez,MID,345,Martial,FWD,2.6808,2.7476,-0.0668,0.0668,near,1.9568,1.0,2.0236,0,0,1,1,0,0,1,0
2022-23,FAIL,1,446,Kulusevski,MID,356,Wilson,FWD,2.8276,2.8608,-0.0332,0.0332,near,1.446,7.0,2.0776,1,0,1,1,0,0,1,0
2022-23,FAIL,1,446,Kulusevski,MID,428,Son,MID,2.8276,4.1008,-1.2732,1.2732,large,-0.6996,8.0,2.0776,1,1,0,1,0,0,1,0
2022-23,FAIL,1,446,Kulusevski,MID,13,Saka,MID,2.8276,3.1804,-0.3528,0.3528,mid,1.0896,7.0,2.0776,1,1,1,1,0,0,1,0
2022-23,FAIL,1,446,Kulusevski,MID,306,Cancelo,DEF,2.8276,2.3396,0.488,0.488,mid,2.1452,6.0,2.0776,1,0,1,1,0,1,0,0
2022-23,FAIL,1,446,Kulusevski,MID,345,Martial,FWD,2.8276,2.7476,0.08,0.08,near,2.1576,13.0,2.0776,0,0,1,1,0,1,0,0
2022-23,FAIL,1,255,Vardy,FWD,356,Wilson,FWD,2.842,2.8608,-0.0188,0.0188,near,0.7816,-1.0,1.3988,1,1,1,0,0,0,1,1
2022-23,FAIL,1,255,Vardy,FWD,428,Son,MID,2.842,4.1008,-1.2588,1.2588,large,-1.364,0.0,1.3988,1,0,0,0,1,0,1,0
2022-23,FAIL,1,255,Vardy,FWD,13,Saka,MID,2.842,3.1804,-0.3384,0.3384,mid,0.4252,-1.0,1.3988,1,0,1,0,0,0,1,1
2022-23,FAIL,1,255,Vardy,FWD,306,Cancelo,DEF,2.842,2.3396,0.5024,0.5024,mid,1.4808,-2.0,1.3988,1,0,1,0,0,1,0,1
2022-23,FAIL,1,255,Vardy,FWD,345,Martial,FWD,2.842,2.7476,0.0944,0.0944,near,1.4932,5.0,1.3988,0,1,1,1,0,1,0,0
