season,e024_gate,season_gate,gw,swap_set,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,ctrl_margin,abs_ctrl_margin,gap_bucket,ctrl_rank_dist,treat_lift,ctrl_mu_enter,ctrl_mu_left,treat_mu_enter,enter_mins,left_mins,enter_pts,left_pts,both60,bad_swap,bound,gw_u0_slack,epsilon,globally_admissible
2022-23,FAIL,both,1,ctrl_treat,261,Maddison,MID,428,Son,MID,-1.15,1.15,large,20,1.7204,2.9508,4.1008,4.6712,90.0,90.0,5.0,5.0,1,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_treat,261,Maddison,MID,13,Saka,MID,-0.2296,0.2296,near,11,1.7204,2.9508,3.1804,4.6712,90.0,90.0,5.0,6.0,1,1,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_treat,303,Mahrez,MID,428,Son,MID,-1.42,1.42,large,32,2.0236,2.6808,4.1008,4.7044,2.0,90.0,1.0,5.0,0,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_treat,303,Mahrez,MID,13,Saka,MID,-0.4996,0.4996,mid,23,2.0236,2.6808,3.1804,4.7044,2.0,90.0,1.0,6.0,0,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_treat,446,Kulusevski,MID,428,Son,MID,-1.2732,1.2732,large,26,2.0776,2.8276,4.1008,4.9052,85.0,90.0,13.0,5.0,1,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_treat,446,Kulusevski,MID,13,Saka,MID,-0.3528,0.3528,mid,17,2.0776,2.8276,3.1804,4.9052,85.0,90.0,13.0,6.0,1,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_treat,139,Chilwell,DEF,306,Cancelo,DEF,-0.7756,0.7756,large,51,1.3164,1.564,2.3396,2.8804,64.0,90.0,9.0,7.0,1,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_treat,255,Vardy,FWD,356,Wilson,FWD,-0.0188,0.0188,near,1,1.3988,2.842,2.8608,4.2408,90.0,89.0,5.0,6.0,1,1,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_treat,255,Vardy,FWD,345,Martial,FWD,0.0944,0.0944,near,-5,1.3988,2.842,2.7476,4.2408,90.0,0.0,5.0,0.0,0,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_pack1,264,Barnes,MID,465,Bowen,MID,-0.516,0.516,mid,26,1.4948,2.6736,3.1896,4.1684,0.0,90.0,0.0,2.0,0,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_pack1,264,Barnes,MID,13,Saka,MID,-0.5068,0.5068,mid,25,1.4948,2.6736,3.1804,4.1684,0.0,90.0,0.0,6.0,0,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_pack1,261,Maddison,MID,465,Bowen,MID,-0.2388,0.2388,near,12,1.7204,2.9508,3.1896,4.6712,90.0,90.0,5.0,2.0,1,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_pack1,261,Maddison,MID,13,Saka,MID,-0.2296,0.2296,near,11,1.7204,2.9508,3.1804,4.6712,90.0,90.0,5.0,6.0,1,1,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_pack1,446,Kulusevski,MID,465,Bowen,MID,-0.362,0.362,mid,18,2.0776,2.8276,3.1896,4.9052,85.0,90.0,13.0,2.0,1,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,ctrl_pack1,446,Kulusevski,MID,13,Saka,MID,-0.3528,0.3528,mid,17,2.0776,2.8276,3.1804,4.9052,85.0,90.0,13.0,6.0,1,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,treat_pack1,264,Barnes,MID,465,Bowen,MID,-0.516,0.516,mid,26,1.4948,2.6736,3.1896,4.1684,0.0,90.0,0.0,2.0,0,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,treat_pack1,264,Barnes,MID,303,Mahrez,MID,-0.0072,0.0072,near,2,1.4948,2.6736,2.6808,4.1684,0.0,2.0,0.0,1.0,0,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,treat_pack1,428,Son,MID,465,Bowen,MID,0.9112,0.9112,large,-8,1.504,4.1008,3.1896,5.6048,90.0,90.0,5.0,2.0,1,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,treat_pack1,428,Son,MID,303,Mahrez,MID,1.42,1.42,large,-32,1.504,4.1008,2.6808,5.6048,90.0,2.0,5.0,1.0,0,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,treat_pack1,356,Wilson,FWD,255,Vardy,FWD,0.0188,0.0188,near,-1,0.5984,2.8608,2.842,3.4592,89.0,90.0,6.0,5.0,1,0,1,0.6512,0.79096,1
2022-23,FAIL,both,1,treat_pack1,306,Cancelo,DEF,139,Chilwell,DEF,0.7756,0.7756,large,-51,0.4204,2.3396,1.564,2.76,90.0,64.0,7.0,9.0,1,1,1,0.6512,0.79096,1
2022-23,FAIL,both,2,ctrl_treat,285,Alexander-Arnold,DEF,475,Coady,DEF,-0.154,0.154,near,9,0.7988,2.7108,2.8648,3.5096,90.0,80.0,3.0,2.0,1,0,1,0.4936,0.79096,1
2022-23,FAIL,both,2,treat_pack1,475,Coady,DEF,285,Alexander-Arnold,DEF,0.154,0.154,near,-9,0.0,2.8648,2.7108,2.8648,80.0,90.0,2.0,3.0,1,1,1,0.4936,0.79096,1
