season,e024_gate,gw,treatment_source,enter_id,enter_name,enter_pos,left_id,left_name,left_pos,ctrl_margin,abs_ctrl_margin,gap_bucket,treat_lift,ctrl_mu_enter,ctrl_mu_left,treat_mu_enter,enter_sigma,enter_p10,enter_p_start,enter_price,enter_recent4,enter_mins,left_mins,enter_pts,left_pts,dpts,both60,outcome
2022-23,FAIL,1,rates_v2b_packaged,261,Maddison,MID,428,Son,MID,-1.15,1.15,large,1.7204,2.9508,4.1008,4.6712,2.8187,0.0316,0.72,80,0,90.0,90.0,5.0,5.0,0.0,1,tie
2022-23,FAIL,1,rates_v2b_packaged,261,Maddison,MID,13,Saka,MID,-0.2296,0.2296,near,1.7204,2.9508,3.1804,4.6712,2.8187,0.0316,0.72,80,0,90.0,90.0,5.0,6.0,-1.0,1,bad
2022-23,FAIL,1,rates_v2b_packaged,303,Mahrez,MID,428,Son,MID,-1.42,1.42,large,2.0236,2.6808,4.1008,4.7044,2.5204,0.0184,0.72,80,0,2.0,90.0,1.0,5.0,-4.0,0,not_both60
2022-23,FAIL,1,rates_v2b_packaged,303,Mahrez,MID,13,Saka,MID,-0.4996,0.4996,mid,2.0236,2.6808,3.1804,4.7044,2.5204,0.0184,0.72,80,0,2.0,90.0,1.0,6.0,-5.0,0,not_both60
2022-23,FAIL,1,rates_v2b_packaged,446,Kulusevski,MID,428,Son,MID,-1.2732,1.2732,large,2.0776,2.8276,4.1008,4.9052,2.7196,0.0248,0.72,80,0,85.0,90.0,13.0,5.0,8.0,1,good
2022-23,FAIL,1,rates_v2b_packaged,446,Kulusevski,MID,13,Saka,MID,-0.3528,0.3528,mid,2.0776,2.8276,3.1804,4.9052,2.7196,0.0248,0.72,80,0,85.0,90.0,13.0,6.0,7.0,1,good
2022-23,FAIL,1,rates_v2b_packaged,139,Chilwell,DEF,306,Cancelo,DEF,-0.7756,0.7756,large,1.3164,1.564,2.3396,2.8804,2.1758,0.0068,0.45,60,0,64.0,90.0,9.0,7.0,2.0,1,good
2022-23,FAIL,1,rates_v2b_packaged,255,Vardy,FWD,356,Wilson,FWD,-0.0188,0.0188,near,1.3988,2.842,2.8608,4.2408,2.7791,0.0372,0.72,95,0,90.0,89.0,5.0,6.0,-1.0,1,bad
2022-23,FAIL,1,rates_v2b_packaged,255,Vardy,FWD,345,Martial,FWD,0.0944,0.0944,near,1.3988,2.842,2.7476,4.2408,2.7791,0.0372,0.72,95,0,90.0,0.0,5.0,0.0,5.0,0,not_both60
2022-23,FAIL,2,rates_v2b_packaged,285,Alexander-Arnold,DEF,475,Coady,DEF,-0.154,0.154,near,0.7988,2.7108,2.8648,3.5096,2.7295,0.0196,0.72,75,90,90.0,80.0,3.0,2.0,1.0,1,good
