season,e024_gate,gw,strategy,delta_u_pred,delta_xi_pts,delta_cap,delta_cap_bonus,delta_cap_oracle,squad_changed,xi_changed,captain_changed,captain_only_changed,sign_u,sign_xi,sign_cap,sign_bonus,u_pos_cap_neg,u_pos_xi_neg,u_pos_xi_pos_cap_neg,u_pos_xi_neg_cap_neg
2022-23,FAIL,1,balanced,11.8108,9.0,17.0,8.0,15.0,1,1,1,0,1,1,1,1,0,0,0,0
2022-23,FAIL,1,safe,7.6972,5.0,13.0,8.0,11.0,1,1,1,0,1,1,1,1,0,0,0,0
2022-23,FAIL,2,balanced,6.6064,3.0,5.0,2.0,3.0,1,1,1,0,1,1,1,1,0,0,0,0
2022-23,FAIL,2,safe,3.5055,2.0,4.0,2.0,2.0,1,1,1,0,1,1,1,1,0,0,0,0
2022-23,FAIL,3,balanced,6.196,2.0,3.0,1.0,1.0,1,1,1,0,1,1,1,1,0,0,0,0
2022-23,FAIL,3,safe,3.3714,-5.0,-5.0,0.0,-10.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2022-23,FAIL,4,balanced,7.6476,1.0,3.0,2.0,1.0,1,1,1,0,1,1,1,1,0,0,0,0
2022-23,FAIL,4,safe,4.8516,2.0,4.0,2.0,2.0,1,1,1,0,1,1,1,1,0,0,0,0
2022-23,FAIL,5,balanced,11.322,-17.0,-30.0,-13.0,-24.0,1,1,1,0,1,-1,-1,-1,1,1,0,1
2022-23,FAIL,5,safe,6.7325,-17.0,-15.0,2.0,-24.0,1,1,1,0,1,-1,-1,1,1,1,0,1
2022-23,FAIL,6,balanced,8.2484,-9.0,-8.0,1.0,-10.0,1,1,1,0,1,-1,-1,1,1,1,0,1
2022-23,FAIL,6,safe,3.8435,-23.0,-22.0,1.0,-29.0,1,1,1,0,1,-1,-1,1,1,1,0,1
2022-23,FAIL,8,balanced,5.6436,3.0,2.0,-1.0,3.0,1,1,1,0,1,1,1,-1,0,0,0,0
2022-23,FAIL,8,safe,2.5886,1.0,1.0,0.0,1.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,9,balanced,6.6437,-7.0,-12.0,-5.0,-7.0,1,1,1,0,1,-1,-1,-1,1,1,0,1
2022-23,FAIL,9,safe,2.6569,15.0,14.0,-1.0,19.0,1,1,1,0,1,1,1,-1,0,0,0,0
2022-23,FAIL,10,balanced,3.4423,0.0,6.0,6.0,0.0,0,1,1,0,1,0,1,1,0,0,0,0
2022-23,FAIL,10,safe,1.1762,2.0,2.0,0.0,2.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,11,balanced,3.9928,1.0,0.0,-1.0,1.0,1,1,1,0,1,1,0,-1,0,0,0,0
2022-23,FAIL,11,safe,2.1225,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
2022-23,FAIL,12,balanced,5.1,-13.0,-23.0,-10.0,-14.0,1,1,1,0,1,-1,-1,-1,1,1,0,1
2022-23,FAIL,12,safe,2.5876,1.0,1.0,0.0,1.0,1,1,0,0,1,1,1,0,0,0,0,0
2022-23,FAIL,13,balanced,4.4164,-35.0,-33.0,2.0,-44.0,1,1,1,0,1,-1,-1,1,1,1,0,1
2022-23,FAIL,13,safe,1.9936,-35.0,-35.0,0.0,-44.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2022-23,FAIL,14,balanced,5.4116,1.0,5.0,4.0,1.0,1,1,1,0,1,1,1,1,0,0,0,0
2022-23,FAIL,14,safe,2.2373,-16.0,-16.0,0.0,-17.0,1,1,0,0,1,-1,-1,0,1,1,0,1
2022-23,FAIL,15,balanced,3.9976,-6.0,-2.0,4.0,-6.0,1,1,1,0,1,-1,-1,1,1,1,0,1
2022-23,FAIL,15,safe,1.6624,-4.0,-4.0,0.0,0.0,1,1,0,0,1,-1,-1,0,1,1,0,1
