season,e024_gate,gw,strategy,delta_u_pred,delta_xi_picked,delta_xi_oracle,delta_mu_xi,delta_u_xi,treat_picked_regret,ctrl_picked_regret,squad_xi_agree,xi_changed,picked_eq_oracle_treat
2022-23,FAIL,1,balanced,11.8108,9.0,9.0,11.0064,11.0064,0.0,0.0,1,1,0
2022-23,FAIL,1,safe,7.6972,5.0,8.0,10.7864,7.125,-3.0,0.0,1,1,0
2022-23,FAIL,2,balanced,6.6064,3.0,1.0,5.6008,5.6008,-2.0,-4.0,1,1,0
2022-23,FAIL,2,safe,3.5055,2.0,0.0,4.956,3.0391,-3.0,-5.0,1,1,0
2022-23,FAIL,3,balanced,6.196,2.0,1.0,5.828,5.828,0.0,-1.0,1,1,0
2022-23,FAIL,3,safe,3.3714,-5.0,-5.0,5.486,3.3714,-1.0,-1.0,1,1,0
2022-23,FAIL,4,balanced,7.6476,1.0,2.0,6.7624,6.7624,-3.0,-2.0,1,1,0
2022-23,FAIL,4,safe,4.8516,2.0,0.0,6.8884,4.4604,0.0,-2.0,1,1,0
2022-23,FAIL,5,balanced,11.322,-17.0,-25.0,9.6112,9.6112,-3.0,-11.0,1,1,0
2022-23,FAIL,5,safe,6.7325,-17.0,-29.0,9.8128,5.8766,-3.0,-15.0,1,1,0
2022-23,FAIL,6,balanced,8.2484,-9.0,-1.0,7.3604,7.3604,-9.0,-1.0,1,1,0
2022-23,FAIL,6,safe,3.8435,-23.0,-11.0,7.2412,3.6459,-13.0,-1.0,1,1,0
2022-23,FAIL,8,balanced,5.6436,3.0,2.0,5.6764,5.0544,-11.0,-12.0,1,1,0
2022-23,FAIL,8,safe,2.5886,1.0,4.0,5.0212,2.5925,-13.0,-10.0,1,1,0
2022-23,FAIL,9,balanced,6.6437,-7.0,6.0,6.94,5.4135,-15.0,-2.0,1,1,0
2022-23,FAIL,9,safe,2.6569,15.0,21.0,5.678,2.3958,-16.0,-10.0,1,1,0
2022-23,FAIL,10,balanced,3.4423,0.0,0.0,4.7176,2.9296,-4.0,-4.0,1,1,0
2022-23,FAIL,10,safe,1.1762,2.0,0.0,3.8664,1.1903,-2.0,-4.0,1,1,0
2022-23,FAIL,11,balanced,3.9928,1.0,1.0,3.662,3.662,-9.0,-9.0,1,1,0
2022-23,FAIL,11,safe,2.1225,0.0,0.0,3.7788,2.1225,-20.0,-20.0,1,0,0
2022-23,FAIL,12,balanced,5.1,-13.0,-11.0,5.1216,5.1216,-9.0,-7.0,1,1,0
2022-23,FAIL,12,safe,2.5876,1.0,1.0,5.2216,2.6199,-16.0,-16.0,1,1,0
2022-23,FAIL,13,balanced,4.4164,-35.0,-17.0,4.1924,4.1924,-25.0,-7.0,1,1,0
2022-23,FAIL,13,safe,1.9936,-35.0,-22.0,4.4932,1.993,-23.0,-10.0,1,1,0
2022-23,FAIL,14,balanced,5.4116,1.0,-20.0,5.238,5.238,-6.0,-27.0,1,1,0
2022-23,FAIL,14,safe,2.2373,-16.0,-2.0,4.9424,2.3601,-29.0,-15.0,1,1,0
2022-23,FAIL,15,balanced,3.9976,-6.0,-11.0,3.672,3.672,-5.0,-10.0,1,1,0
2022-23,FAIL,15,safe,1.6624,-4.0,-4.0,3.55,1.6666,-7.0,-7.0,1,1,0
2022-23,FAIL,16,balanced,3.5728,-2.0,4.0,3.5656,3.5656,-11.0,-5.0,1,1,0
2022-23,FAIL,16,safe,1.8467,-15.0,-13.0,3.7988,1.8467,-11.0,-9.0,1,1,0
2022-23,FAIL,17,balanced,2.584,0.0,-6.0,2.5732,2.5732,-4.0,-10.0,1,1,0
2022-23,FAIL,17,safe,1.0178,-1.0,-2.0,2.1848,1.0052,-5.0,-6.0,1,1,0
2022-23,FAIL,18,balanced,2.4592,4.0,0.0,3.4884,2.4592,-4.0,-8.0,1,1,0
2022-23,FAIL,18,safe,1.0576,17.0,16.0,2.2572,1.0576,-7.0,-8.0,1,1,0
2022-23,FAIL,19,balanced,1.4332,0.0,0.0,1.4332,1.4332,-4.0,-4.0,1,1,0
2022-23,FAIL,19,safe,0.7188,0.0,1.0,1.5368,0.7188,-4.0,-3.0,1,1,0
2022-23,FAIL,20,balanced,3.4716,0.0,-11.0,3.2616,3.2616,-1.0,-12.0,1,1,0
2022-23,FAIL,20,safe,1.8487,-3.0,-14.0,2.9368,1.8681,-8.0,-19.0,1,1,0
2022-23,FAIL,21,balanced,4.1752,-1.0,10.0,3.2708,3.2708,-11.0,0.0,1,1,0
2022-23,FAIL,21,safe,2.2173,-2.0,8.0,3.4024,2.0082,-18.0,-8.0,1,1,0
2022-23,FAIL,22,balanced,2.6688,-1.0,0.0,2.5928,2.5928,-11.0,-10.0,1,1,0
2022-23,FAIL,22,safe,1.6059,13.0,14.0,2.59,1.6207,-10.0,-9.0,1,1,0
2022-23,FAIL,23,balanced,7.406,-11.0,-12.0,5.0524,5.0524,-3.0,-4.0,1,1,0
2022-23,FAIL,23,safe,4.9662,-11.0,-14.0,5.1152,3.4004,-3.0,-6.0,1,1,0
2022-23,FAIL,24,balanced,1.9092,-17.0,-21.0,1.8648,1.8648,-4.0,-8.0,1,1,0
2022-23,FAIL,24,safe,1.0273,-7.0,-4.0,1.894,1.0272,-5.0,-2.0,1,1,0
2022-23,FAIL,25,balanced,2.5148,-6.0,-4.0,2.6488,1.8364,-19.0,-17.0,1,1,0
2022-23,FAIL,25,safe,1.4052,-6.0,-3.0,2.6488,1.2052,-16.0,-13.0,1,1,0
2022-23,FAIL,26,balanced,1.4312,-15.0,4.0,1.4312,1.4312,-26.0,-7.0,1,1,0
2022-23,FAIL,26,safe,0.9153,0.0,-6.0,1.3988,0.9153,-8.0,-14.0,1,0,0
2022-23,FAIL,27,balanced,0.774,2.0,-5.0,0.774,0.774,-7.0,-14.0,1,1,0
2022-23,FAIL,27,safe,0.3488,0.0,-9.0,0.7428,0.3488,-5.0,-14.0,1,0,0
2022-23,FAIL,28,balanced,0.5452,0.0,-3.0,0.5452,0.5452,-5.0,-8.0,1,0,0
2022-23,FAIL,28,safe,0.3675,0.0,0.0,0.5644,0.3675,-2.0,-2.0,1,0,0
2022-23,FAIL,29,balanced,0.7024,-4.0,-4.0,0.5772,0.7024,-21.0,-21.0,1,1,0
2022-23,FAIL,29,safe,0.1685,1.0,4.0,0.4648,0.167,-14.0,-11.0,1,1,0
2022-23,FAIL,30,balanced,0.1936,1.0,-1.0,0.1936,0.1936,-7.0,-9.0,1,1,0
2022-23,FAIL,30,safe,0.0772,0.0,-3.0,-0.0764,0.0386,-6.0,-9.0,1,0,0
2022-23,FAIL,31,balanced,0.4576,0.0,0.0,0.2656,0.4576,-3.0,-3.0,1,0,0
2022-23,FAIL,31,safe,0.2793,0.0,0.0,0.168,0.2453,-8.0,-8.0,1,0,0
2022-23,FAIL,32,balanced,0.3152,11.0,11.0,0.3712,0.3152,-4.0,-4.0,1,1,0
2022-23,FAIL,32,safe,0.0834,0.0,11.0,0.2676,0.088,-16.0,-5.0,1,1,0
2022-23,FAIL,33,balanced,0.3364,-20.0,-5.0,0.3572,0.3364,-21.0,-6.0,1,1,0
2022-23,FAIL,33,safe,0.0658,0.0,0.0,0.214,0.0658,-10.0,-10.0,1,0,0
2022-23,FAIL,34,balanced,1.4176,0.0,0.0,1.4176,1.4176,0.0,0.0,1,0,1
2022-23,FAIL,34,safe,1.0715,0.0,0.0,1.4176,1.0715,-1.0,-1.0,1,0,0
2022-23,FAIL,35,balanced,0.3864,4.0,15.0,0.3628,0.3864,-13.0,-2.0,1,1,0
2022-23,FAIL,35,safe,0.3796,5.0,4.0,0.5404,0.3796,-6.0,-7.0,1,1,0
2022-23,FAIL,36,balanced,0.0496,18.0,23.0,0.0612,0.0496,-13.0,-8.0,1,1,0
2022-23,FAIL,36,safe,0.046,0.0,0.0,0.0116,0.023,-9.0,-9.0,1,0,0
2022-23,FAIL,37,balanced,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,1,0,0
2022-23,FAIL,37,safe,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,1,0,0
2022-23,FAIL,38,balanced,0.0,0.0,0.0,0.0,0.0,-17.0,-17.0,1,0,0
2022-23,FAIL,38,safe,0.0,0.0,0.0,0.0,0.0,-17.0,-17.0,1,0,0
2023-24,PASS,1,balanced,5.6388,-3.0,2.0,5.4332,5.4332,-5.0,0.0,1,1,0
2023-24,PASS,1,safe,3.2141,-2.0,3.0,5.5608,3.1018,-5.0,0.0,1,1,0
2023-24,PASS,2,balanced,2.6208,6.0,6.0,2.3188,2.3188,-6.0,-6.0,1,1,0
2023-24,PASS,2,safe,1.28,6.0,6.0,2.4336,1.1427,-7.0,-7.0,1,1,0
2023-24,PASS,3,balanced,3.5048,11.0,12.0,3.3276,3.3276,-4.0,-3.0,1,1,0
2023-24,PASS,3,safe,1.3508,5.0,10.0,2.9112,1.3508,-8.0,-3.0,1,1,0
2023-24,PASS,4,balanced,3.752,7.0,-3.0,3.3148,3.3148,-8.0,-18.0,1,1,0
2023-24,PASS,4,safe,1.8057,2.0,-4.0,3.0328,1.8057,-11.0,-17.0,1,1,0
2023-24,PASS,5,balanced,4.314,11.0,15.0,3.7224,3.7224,-7.0,-3.0,1,1,0
2023-24,PASS,5,safe,2.1414,1.0,-1.0,3.6064,2.0723,-3.0,-5.0,1,1,0
2023-24,PASS,6,balanced,1.5756,8.0,10.0,1.6532,1.6532,-4.0,-2.0,1,1,0
2023-24,PASS,6,safe,0.834,8.0,17.0,1.9348,0.8347,-10.0,-1.0,1,1,0
2023-24,PASS,7,balanced,1.9284,-5.0,-12.0,1.9284,1.9284,-3.0,-10.0,1,1,0
2023-24,PASS,7,safe,0.9393,-1.0,5.0,1.8344,0.9393,-16.0,-10.0,1,1,0
2023-24,PASS,8,balanced,2.4108,8.0,4.0,2.0744,2.0744,-4.0,-8.0,1,1,0
2023-24,PASS,8,safe,0.8205,-1.0,7.0,1.4212,0.8239,-13.0,-5.0,1,1,0
2023-24,PASS,9,balanced,2.9248,6.0,11.0,2.5388,2.5388,-6.0,-1.0,1,1,0
2023-24,PASS,9,safe,1.6914,15.0,11.0,2.9644,1.4303,-2.0,-6.0,1,1,0
2023-24,PASS,10,balanced,1.1884,-11.0,-13.0,0.9536,0.9536,-3.0,-5.0,1,1,0
2023-24,PASS,10,safe,0.9054,1.0,-2.0,1.2452,0.7529,-2.0,-5.0,1,1,0
2023-24,PASS,11,balanced,1.8944,13.0,12.0,1.8652,1.8652,-14.0,-15.0,1,1,0
2023-24,PASS,11,safe,1.0492,13.0,4.0,1.914,1.0842,-6.0,-15.0,1,1,0
2023-24,PASS,12,balanced,1.3912,-13.0,-14.0,1.144,1.144,-1.0,-2.0,1,1,0
2023-24,PASS,12,safe,1.1451,1.0,0.0,1.4636,0.9475,-1.0,-2.0,1,1,0
2023-24,PASS,13,balanced,1.1264,2.0,2.0,1.23,1.23,-10.0,-10.0,1,1,0
2023-24,PASS,13,safe,0.7141,0.0,-1.0,1.0988,0.7867,-9.0,-10.0,1,1,0
2023-24,PASS,14,balanced,0.726,-3.0,0.0,0.7204,0.7204,-10.0,-7.0,1,1,0
2023-24,PASS,14,safe,0.2094,-7.0,1.0,0.6932,0.3217,-10.0,-2.0,1,1,0
2023-24,PASS,15,balanced,1.4436,6.0,5.0,1.2892,1.2892,-1.0,-2.0,1,1,0
2023-24,PASS,15,safe,0.8345,5.0,9.0,1.4192,0.7357,-6.0,-2.0,1,1,0
2023-24,PASS,16,balanced,1.2736,4.0,3.0,1.24,1.24,-7.0,-8.0,1,1,0
2023-24,PASS,16,safe,0.6572,-6.0,-6.0,1.2984,0.6454,-7.0,-7.0,1,1,0
2023-24,PASS,17,balanced,1.06,0.0,1.0,0.874,0.874,-1.0,0.0,1,0,0
2023-24,PASS,17,safe,0.8335,5.0,7.0,0.9188,0.734,-4.0,-2.0,1,1,0
2023-24,PASS,18,balanced,1.2612,1.0,2.0,1.0416,1.0416,-3.0,-2.0,1,1,0
2023-24,PASS,18,safe,0.9323,0.0,0.0,1.1084,0.7519,-3.0,-3.0,1,0,0
2023-24,PASS,19,balanced,0.5448,7.0,13.0,0.4796,0.4796,-23.0,-17.0,1,1,0
2023-24,PASS,19,safe,0.3911,6.0,11.0,0.5076,0.3827,-21.0,-16.0,1,1,0
2023-24,PASS,20,balanced,0.4996,5.0,5.0,0.5216,0.5216,-12.0,-12.0,1,1,0
2023-24,PASS,20,safe,0.1974,5.0,5.0,0.5216,0.2395,-12.0,-12.0,1,1,0
2023-24,PASS,21,balanced,0.3036,-3.0,-4.0,0.2804,0.2804,-13.0,-14.0,1,1,0
2023-24,PASS,21,safe,0.2462,0.0,-2.0,0.3972,0.2463,-9.0,-11.0,1,0,0
2023-24,PASS,22,balanced,0.69,0.0,0.0,0.644,0.644,-7.0,-7.0,1,0,0
2023-24,PASS,22,safe,0.4024,-1.0,0.0,0.46,0.3716,-4.0,-3.0,1,1,0
2023-24,PASS,23,balanced,0.2928,0.0,15.0,0.2636,0.2636,-18.0,-3.0,1,1,0
2023-24,PASS,23,safe,0.2705,-2.0,-1.0,0.3344,0.2567,-7.0,-6.0,1,1,0
2023-24,PASS,24,balanced,0.4452,7.0,18.0,0.5456,0.5456,-11.0,0.0,1,1,0
