season,e024_gate,gw,strategy,squad_overlap,n_entered,n_left,mean_mu_lift_ent,mean_u_lift_ent,mean_v2b_lift_ent,mean_actual_ent,mean_mu_err_ent,mean_actual_lev,delta_xi_picked,delta_xi_cf_ctrl_pool,delta_xi_cf_treat_pool,xi_changed
2022-23,FAIL,1,balanced,7,8,8,1.24,1.24,1.24,4.25,1.0995,3.0,9.0,0.0,9.0,1
2022-23,FAIL,1,safe,7,8,8,1.0894,0.6999,1.0894,3.75,0.379,2.75,5.0,0.0,5.0,1
2022-23,FAIL,2,balanced,11,4,4,0.8686,0.8686,0.8686,1.5,-1.1638,1.25,3.0,0.0,2.0,1
2022-23,FAIL,2,safe,13,2,2,1.302,0.8565,1.302,1.5,-2.7394,1.5,2.0,0.0,-1.0,1
2022-23,FAIL,3,balanced,8,7,7,0.93,0.93,0.93,1.7143,-1.3241,1.5714,2.0,0.0,2.0,1
2022-23,FAIL,3,safe,11,4,4,0.933,0.5564,0.933,1.0,-1.9123,2.25,-5.0,0.0,-5.0,1
2022-23,FAIL,4,balanced,10,5,5,0.6114,0.6114,0.6114,2.8,-0.1509,2.4,1.0,0.0,-5.0,1
2022-23,FAIL,4,safe,13,2,2,0.5856,0.3659,0.5856,3.0,0.8836,3.0,2.0,0.0,2.0,1
2022-23,FAIL,5,balanced,4,11,11,0.9076,0.9076,0.9076,2.3636,-0.7905,4.5455,-17.0,8.0,-15.0,1
2022-23,FAIL,5,safe,4,11,11,0.9076,0.5518,0.9076,2.3636,-0.7889,4.9091,-17.0,14.0,-15.0,1
2022-23,FAIL,6,balanced,6,9,9,0.874,0.874,0.874,2.5556,-0.5439,2.8889,-9.0,0.0,-5.0,1
2022-23,FAIL,6,safe,7,8,8,0.8755,0.5308,0.8755,2.75,-0.6812,4.625,-23.0,0.0,-22.0,1
2022-23,FAIL,8,balanced,11,4,4,0.1539,0.1539,0.1539,2.25,-0.5239,2.25,3.0,3.0,3.0,1
2022-23,FAIL,8,safe,12,3,3,0.6603,0.3739,0.6603,2.6667,-0.4553,1.0,1.0,2.0,0.0,1
2022-23,FAIL,9,balanced,12,3,3,0.6028,0.6028,0.6028,4.3333,1.6223,2.3333,-7.0,-8.0,-4.0,1
2022-23,FAIL,9,safe,10,5,5,0.4073,0.2254,0.4073,6.4,3.6586,2.2,15.0,0.0,14.0,1
