season,e024_gate,gw,strategy,movement,player_id,mu_lift,u_lift,v2b_mu_lift,actual_pts,mu_error,treat_mu,ctrl_mu
2022-23,FAIL,1,balanced,entered,256,0.234,0.234,0.234,0.0,-0.7732,0.7732,0.5392
2022-23,FAIL,1,balanced,entered,196,0.1532,0.1532,0.1532,0.0,-0.6888,0.6888,0.5356
2022-23,FAIL,1,balanced,entered,261,1.7204,1.7204,1.7204,5.0,0.3288,4.6712,2.9508
2022-23,FAIL,1,balanced,entered,139,1.3164,1.3164,1.3164,9.0,6.1196,2.8804,1.564
2022-23,FAIL,1,balanced,entered,303,2.0236,2.0236,2.0236,1.0,-3.7044,4.7044,2.6808
2022-23,FAIL,1,balanced,entered,242,0.9964,0.9964,0.9964,1.0,-1.34,2.34,1.3436
2022-23,FAIL,1,balanced,entered,446,2.0776,2.0776,2.0776,13.0,8.0948,4.9052,2.8276
2022-23,FAIL,1,balanced,entered,255,1.3988,1.3988,1.3988,5.0,0.7592,4.2408,2.842
2022-23,FAIL,1,balanced,left,356,0.5984,0.5984,0.5984,6.0,2.5408,3.4592,2.8608
2022-23,FAIL,1,balanced,left,428,1.504,1.504,1.504,5.0,-0.6048,5.6048,4.1008
2022-23,FAIL,1,balanced,left,13,0.6352,0.6352,0.6352,6.0,2.1844,3.8156,3.1804
2022-23,FAIL,1,balanced,left,653,0.0,0.0,0.0,0.0,-0.4596,0.4596,0.4596
2022-23,FAIL,1,balanced,left,306,0.4204,0.4204,0.4204,7.0,4.24,2.76,2.3396
2022-23,FAIL,1,balanced,left,595,0.074,0.074,0.074,0.0,-0.574,0.574,0.5
2022-23,FAIL,1,balanced,left,345,0.0,0.0,0.0,0.0,-2.7476,2.7476,2.7476
2022-23,FAIL,1,balanced,left,637,0.0,0.0,0.0,0.0,-0.5512,0.5512,0.5512
2022-23,FAIL,1,safe,entered,261,1.7204,1.1183,1.7204,5.0,0.3288,4.6712,2.9508
2022-23,FAIL,1,safe,entered,264,1.4948,0.9763,1.4948,0.0,-4.1684,4.1684,2.6736
2022-23,FAIL,1,safe,entered,622,0.0,0.0,0.0,0.0,-0.5088,0.5088,0.5088
2022-23,FAIL,1,safe,entered,303,2.0236,1.2174,2.0236,1.0,-3.7044,4.7044,2.6808
2022-23,FAIL,1,safe,entered,596,0.0,0.0,0.0,0.0,-0.5952,0.5952,0.5952
2022-23,FAIL,1,safe,entered,376,0.0,0.0,0.0,6.0,2.8264,3.1736,3.1736
2022-23,FAIL,1,safe,entered,446,2.0776,1.3855,2.0776,13.0,8.0948,4.9052,2.8276
2022-23,FAIL,1,safe,entered,255,1.3988,0.902,1.3988,5.0,0.7592,4.2408,2.842
2022-23,FAIL,1,safe,left,160,1.0904,0.6493,1.0904,2.0,-2.268,4.268,3.1776
2022-23,FAIL,1,safe,left,356,0.5984,0.3715,0.5984,6.0,2.5408,3.4592,2.8608
2022-23,FAIL,1,safe,left,428,1.504,1.062,1.504,5.0,-0.6048,5.6048,4.1008
2022-23,FAIL,1,safe,left,13,0.6352,0.4165,0.6352,6.0,2.1844,3.8156,3.1804
2022-23,FAIL,1,safe,left,653,0.0,0.0,0.0,0.0,-0.4596,0.4596,0.4596
