season,e024_gate,gw,movement,player_id,web_name,position,price,season_minutes,recent4_minutes,p_start,q,ctrl_mu,treat_mu,mu_lift,ctrl_u,treat_u,u_lift,v2b_mu_lift,delta_u_boundary,delta_mu_boundary,small_boundary,best_excluded_u,had_club_prior,new_club,actual_minutes,blank,actual_pts,mu_error,good_60,bad_60,vs_mean_leaver_pts
2022-23,FAIL,1,entered,256,Ricardo,DEF,45,0,0,0.1,1.0,0.5392,0.7732,0.234,0.5392,0.7732,0.234,0.234,-4.8316,-4.8316,1,5.6048,1,1,0.0,1,0.0,-0.7732,0,0,-3.0
2022-23,FAIL,1,entered,196,Branthwaite,DEF,40,0,0,0.1,1.0,0.5356,0.6888,0.1532,0.5356,0.6888,0.1532,0.1532,-4.916,-4.916,1,5.6048,1,0,0.0,1,0.0,-0.6888,0,0,-3.0
2022-23,FAIL,1,entered,261,Maddison,MID,80,0,0,0.72,1.0,2.9508,4.6712,1.7204,2.9508,4.6712,1.7204,1.7204,-0.9336,-0.9336,1,5.6048,1,1,90.0,0,5.0,0.3288,1,0,2.0
2022-23,FAIL,1,entered,139,Chilwell,DEF,60,0,0,0.45,1.0,1.564,2.8804,1.3164,1.564,2.8804,1.3164,1.3164,-2.7244,-2.7244,1,5.6048,1,0,64.0,0,9.0,6.1196,1,0,6.0
2022-23,FAIL,1,entered,303,Mahrez,MID,80,0,0,0.72,1.0,2.6808,4.7044,2.0236,2.6808,4.7044,2.0236,2.0236,-0.9004,-0.9004,1,5.6048,1,1,2.0,0,1.0,-3.7044,0,0,-2.0
2022-23,FAIL,1,entered,242,Gelhardt,FWD,55,0,0,0.45,1.0,1.3436,2.34,0.9964,1.3436,2.34,0.9964,0.9964,-3.2648,-3.2648,1,5.6048,1,1,6.0,0,1.0,-1.34,0,0,-2.0
2022-23,FAIL,1,entered,446,Kulusevski,MID,80,0,0,0.72,1.0,2.8276,4.9052,2.0776,2.8276,4.9052,2.0776,2.0776,-0.6996,-0.6996,1,5.6048,1,1,85.0,0,13.0,8.0948,1,0,10.0
2022-23,FAIL,1,entered,255,Vardy,FWD,95,0,0,0.72,1.0,2.842,4.2408,1.3988,2.842,4.2408,1.3988,1.3988,-1.364,-1.364,1,5.6048,1,1,90.0,0,5.0,0.7592,1,0,2.0
2022-23,FAIL,1,left,356,Wilson,FWD,75,0,0,0.72,1.0,2.8608,3.4592,0.5984,2.8608,3.4592,0.5984,0.5984,,,,,1,1,89.0,0,6.0,2.5408,1,0,
2022-23,FAIL,1,left,428,Son,MID,120,0,0,0.72,1.0,4.1008,5.6048,1.504,4.1008,5.6048,1.504,1.504,,,,,1,1,90.0,0,5.0,-0.6048,1,0,
2022-23,FAIL,1,left,13,Saka,MID,80,0,0,0.72,1.0,3.1804,3.8156,0.6352,3.1804,3.8156,0.6352,0.6352,,,,,1,0,90.0,0,6.0,2.1844,1,0,
2022-23,FAIL,1,left,653,Hutchinson,MID,42,0,0,0.1,1.0,0.4596,0.4596,0.0,0.4596,0.4596,0.0,0.0,,,,,0,1,0.0,1,0.0,-0.4596,0,0,
2022-23,FAIL,1,left,306,Cancelo,DEF,70,0,0,0.72,1.0,2.3396,2.76,0.4204,2.3396,2.76,0.4204,0.4204,,,,,1,1,90.0,0,7.0,4.24,1,0,
2022-23,FAIL,1,left,595,Zanka,DEF,39,0,0,0.1,1.0,0.5,0.574,0.074,0.5,0.574,0.074,0.074,,,,,1,1,0.0,1,0.0,-0.574,0,0,
2022-23,FAIL,1,left,345,Martial,FWD,70,0,0,0.72,1.0,2.7476,2.7476,0.0,2.7476,2.7476,0.0,0.0,,,,,0,1,0.0,1,0.0,-2.7476,0,0,
2022-23,FAIL,1,left,637,John,DEF,39,0,0,0.1,1.0,0.5512,0.5512,0.0,0.5512,0.5512,0.0,0.0,,,,,0,1,0.0,1,0.0,-0.5512,0,0,
2022-23,FAIL,2,entered,595,Zanka,DEF,39,516,0,0.22,1.0,0.89,0.9616,0.0716,0.89,0.9616,0.0716,0.0716,-3.3992,-3.3992,1,4.3608,1,1,0.0,1,0.0,-0.9616,0,0,-1.25
2022-23,FAIL,2,entered,596,Ferguson,FWD,46,22,0,0.18,1.0,0.6112,0.6112,0.0,0.6112,0.6112,0.0,0.0,-3.7496,-3.7496,1,4.3608,0,1,0.0,1,0.0,-0.6112,0,0,-1.25
2022-23,FAIL,2,entered,285,Alexander-Arnold,DEF,75,90,90,0.72,1.0,2.7108,3.5096,0.7988,2.7108,3.5096,0.7988,0.7988,-0.8512,-0.8512,1,4.3608,1,1,90.0,0,3.0,-0.5096,1,0,1.75
2022-23,FAIL,2,entered,303,Mahrez,MID,80,2,2,0.72,1.0,2.9688,5.5728,2.604,2.9688,5.5728,2.604,2.604,1.212,1.212,0,4.3608,1,1,90.0,0,3.0,-2.5728,1,0,1.75
2022-23,FAIL,2,left,329,Varane,DEF,49,1829,0,0.68,1.0,2.2572,2.2572,0.0,2.2572,2.2572,0.0,0.0,,,,,1,1,45.0,0,1.0,-1.2572,0,0,
2022-23,FAIL,2,left,482,Semedo,DEF,50,2131,0,0.82,1.0,2.8388,2.8388,0.0,2.8388,2.8388,0.0,0.0,,,,,1,0,12.0,0,1.0,-1.8388,0,0,
2022-23,FAIL,2,left,406,Elyounoussi,MID,55,2039,0,0.82,1.0,3.1796,3.1796,0.0,3.1796,3.1796,0.0,0.0,,,,,1,1,60.0,0,2.0,-1.1796,1,0,
2022-23,FAIL,2,left,454,Richarlison,FWD,85,2522,0,0.82,1.0,3.4296,3.4296,0.0,3.4296,3.4296,0.0,0.0,,,,,0,1,33.0,0,1.0,-2.4296,0,0,
2022-23,FAIL,3,entered,261,Maddison,MID,80,180,180,0.72,1.0,2.7584,4.2416,1.4832,2.7584,4.2416,1.4832,1.4832,-0.3216,-0.3216,1,4.5632,1,1,90.0,0,7.0,2.7584,1,0,5.4286
2022-23,FAIL,3,entered,303,Mahrez,MID,79,92,92,0.72,1.0,2.6608,4.6048,1.944,2.6608,4.6048,1.944,1.944,0.0416,0.0416,1,4.5632,1,1,0.0,1,0.0,-4.6048,0,0,-1.5714
2022-23,FAIL,3,entered,595,Zanka,DEF,39,516,0,0.22,1.0,0.7096,0.9212,0.2116,0.7096,0.9212,0.2116,0.2116,-3.642,-3.642,1,4.5632,1,1,0.0,1,0.0,-0.9212,0,0,-1.5714
2022-23,FAIL,3,entered,343,B.Williams,DEF,40,2119,0,0.22,1.0,0.7532,0.7532,0.0,0.7532,0.7532,0.0,0.0,-3.81,-3.81,1,4.5632,0,1,0.0,1,0.0,-0.7532,0,0,-1.5714
2022-23,FAIL,3,entered,701,Weghorst,FWD,54,1448,0,0.68,1.0,2.3524,2.3524,0.0,2.3524,2.3524,0.0,0.0,-2.2108,-2.2108,1,4.5632,0,1,0.0,1,0.0,-2.3524,0,0,-1.5714
2022-23,FAIL,3,entered,446,Kulusevski,MID,82,175,175,0.72,1.0,2.746,4.3672,1.6212,2.746,4.3672,1.6212,1.6212,-0.196,-0.196,1,4.5632,1,1,85.0,0,3.0,-1.3672,1,0,1.4286
2022-23,FAIL,3,entered,255,Vardy,FWD,95,159,159,0.72,1.0,2.778,4.028,1.25,2.778,4.028,1.25,1.25,-0.5352,-0.5352,1,4.5632,1,1,64.0,0,2.0,-2.028,1,0,0.4286
2022-23,FAIL,3,left,439,Tanganga,DEF,40,735,0,0.22,1.0,0.7776,0.7792,0.0016,0.7776,0.7792,0.0016,0.0016,,,,,1,1,0.0,1,0.0,-0.7792,0,0,
2022-23,FAIL,3,left,585,Dennis,FWD,60,2579,0,0.82,1.0,3.6232,3.6232,0.0,3.6232,3.6232,0.0,0.0,,,,,0,1,0.0,1,0.0,-3.6232,0,0,
2022-23,FAIL,3,left,110,Maupay,FWD,63,2269,0,0.82,1.0,3.3596,3.3596,0.0,3.3596,3.3596,0.0,0.0,,,,,0,1,0.0,1,0.0,-3.3596,0,0,
2022-23,FAIL,3,left,465,Bowen,MID,84,174,174,0.72,1.0,2.9608,4.3044,1.3436,2.9608,4.3044,1.3436,1.3436,,,,,1,0,90.0,0,2.0,-2.3044,1,0,
2022-23,FAIL,3,left,180,Keane,DEF,44,2791,0,0.22,1.0,1.112,1.112,0.0,1.112,1.112,0.0,0.0,,,,,1,0,0.0,1,0.0,-1.112,0,0,
2022-23,FAIL,3,left,503,Moutinho,MID,49,2970,0,0.85,1.0,2.366,2.366,0.0,2.366,2.366,0.0,0.0,,,,,1,0,57.0,0,1.0,-1.366,0,0,
2022-23,FAIL,3,left,283,Salah,MID,130,180,180,0.72,1.0,3.3772,4.5632,1.186,3.3772,4.5632,1.186,1.186,,,,,1,1,90.0,0,8.0,3.4368,1,0,
2022-23,FAIL,4,entered,5,Holding,DEF,43,840,0,0.22,1.0,1.0016,1.004,0.0024,1.0016,1.004,0.0024,0.0024,-3.3648,-3.3648,1,4.3688,1,0,1.0,0,1.0,-0.004,0,0,-1.4
2022-23,FAIL,4,entered,426,Forster,GKP,40,1710,0,0.85,1.0,3.0184,3.0184,0.0,3.0184,3.0184,0.0,0.0,-1.3504,-1.3504,1,4.3688,0,1,0.0,1,0.0,-3.0184,0,0,-2.4
2022-23,FAIL,4,entered,465,Bowen,MID,83,264,264,0.72,1.0,2.5748,3.5792,1.0044,2.5748,3.5792,1.0044,1.0044,-0.7896,-0.7896,1,4.3688,1,0,90.0,0,3.0,-0.5792,1,0,0.6
2022-23,FAIL,4,entered,314,Foden,MID,80,222,222,0.72,1.0,2.6844,3.5488,0.8644,2.6844,3.5488,0.8644,0.8644,-0.82,-0.82,1,4.3688,1,1,90.0,0,4.0,0.4512,1,0,1.6
2022-23,FAIL,4,entered,446,Kulusevski,MID,82,260,260,0.72,1.0,2.4184,3.604,1.1856,2.4184,3.604,1.1856,1.1856,-0.7648,-0.7648,1,4.3688,1,1,82.0,0,6.0,2.396,1,0,3.6
2022-23,FAIL,4,left,489,Toti,DEF,40,360,0,0.22,1.0,0.814,0.8276,0.0136,0.814,0.8276,0.0136,0.0136,,,,,1,0,0.0,1,0.0,-0.8276,0,0,
2022-23,FAIL,4,left,300,Gündogan,MID,76,231,231,0.72,1.0,2.62,3.492,0.872,2.62,3.492,0.872,0.872,,,,,1,1,29.0,0,4.0,0.508,0,0,
2022-23,FAIL,4,left,301,De Bruyne,MID,122,267,267,0.72,1.0,3.5448,4.3688,0.824,3.5448,4.3688,0.824,0.824,,,,,1,1,88.0,0,2.0,-2.3688,1,0,
2022-23,FAIL,4,left,81,Raya,GKP,45,270,270,0.85,1.0,3.3496,3.338,-0.0116,3.3496,3.338,-0.0116,-0.0116,,,,,1,1,90.0,0,6.0,2.662,1,0,
2022-23,FAIL,4,left,149,Gilmour,MID,44,1852,0,0.68,1.0,1.7236,1.7236,0.0,1.7236,1.7236,0.0,0.0,,,,,0,1,0.0,1,0.0,-1.7236,0,0,
2022-23,FAIL,5,entered,261,Maddison,MID,79,270,270,0.72,1.0,2.5856,4.028,1.4424,2.5856,4.028,1.4424,1.4424,-0.148,-0.148,1,4.176,1,1,90.0,0,1.0,-3.028,1,0,-3.5455
2022-23,FAIL,5,entered,357,Trippier,DEF,51,360,360,0.72,1.0,2.0768,3.154,1.0772,2.0768,3.154,1.0772,1.0772,-1.022,-1.022,1,4.176,1,1,90.0,0,0.0,-3.154,0,1,-4.5455
2022-23,FAIL,5,entered,249,Evans,DEF,44,360,360,0.72,1.0,2.12,2.4332,0.3132,2.12,2.4332,0.3132,0.3132,-1.7428,-1.7428,1,4.176,1,1,90.0,0,2.0,-0.4332,1,0,-2.5455
