season,e024_gate,gw,n_entrants,delta_full,mean_delta_force,mean_delta_cascade,mean_abs_delta_force,mean_abs_delta_cascade,cascade_gt_force_n,overlap_full_ctrl
2022-23,FAIL,1,8,17.0,17.0,0.0,17.0,0.0,0,7
2022-23,FAIL,2,4,5.0,5.0,0.0,5.0,0.0,0,11
2022-23,FAIL,3,7,3.0,3.0,0.0,3.0,0.0,0,8
2022-23,FAIL,4,5,3.0,3.0,0.0,3.0,0.0,0,10
2022-23,FAIL,5,11,-30.0,-30.0,0.0,30.0,0.0,0,4
2022-23,FAIL,6,9,-8.0,-8.0,0.0,8.0,0.0,0,6
2022-23,FAIL,8,4,2.0,2.0,0.0,2.0,0.0,0,11
2022-23,FAIL,9,3,-12.0,-12.0,0.0,12.0,0.0,0,12
2022-23,FAIL,11,2,0.0,0.0,0.0,0.0,0.0,0,13
2022-23,FAIL,12,5,-23.0,-23.0,0.0,23.0,0.0,0,10
2022-23,FAIL,13,8,-33.0,-33.0,0.0,33.0,0.0,0,7
2022-23,FAIL,14,8,5.0,5.0,0.0,5.0,0.0,0,7
2022-23,FAIL,15,7,-2.0,-2.0,0.0,2.0,0.0,0,8
2022-23,FAIL,16,4,-5.0,-5.0,0.0,5.0,0.0,0,11
2022-23,FAIL,17,4,0.0,0.0,0.0,0.0,0.0,0,11
2022-23,FAIL,18,4,4.0,4.0,0.0,4.0,0.0,0,11
2022-23,FAIL,19,3,0.0,0.0,0.0,0.0,0.0,0,12
2022-23,FAIL,20,6,-3.0,-3.0,0.0,3.0,0.0,0,9
2022-23,FAIL,21,8,3.0,3.0,0.0,3.0,0.0,0,7
2022-23,FAIL,22,3,-1.0,-1.0,0.0,1.0,0.0,0,12
2022-23,FAIL,23,6,-11.0,-11.0,0.0,11.0,0.0,0,9
2022-23,FAIL,24,5,-20.0,-20.0,0.0,20.0,0.0,0,10
2022-23,FAIL,25,2,-12.0,-12.0,0.0,12.0,0.0,0,13
2022-23,FAIL,26,6,-15.0,-15.0,0.0,15.0,0.0,0,9
2022-23,FAIL,27,4,2.0,2.0,0.0,2.0,0.0,0,11
2022-23,FAIL,28,1,0.0,0.0,0.0,0.0,0.0,0,14
2022-23,FAIL,29,2,-4.0,-4.0,0.0,4.0,0.0,0,13
2022-23,FAIL,30,5,1.0,1.0,0.0,1.0,0.0,0,10
2022-23,FAIL,32,2,11.0,11.0,0.0,11.0,0.0,0,13
2022-23,FAIL,33,3,-20.0,-20.0,0.0,20.0,0.0,0,12
2022-23,FAIL,35,5,4.0,4.0,0.0,4.0,0.0,0,10
2022-23,FAIL,36,3,18.0,18.0,0.0,18.0,0.0,0,12
2023-24,PASS,1,5,-3.0,-3.0,0.0,3.0,0.0,0,10
2023-24,PASS,2,7,9.0,9.0,0.0,9.0,0.0,0,8
2023-24,PASS,3,6,14.0,14.0,0.0,14.0,0.0,0,9
2023-24,PASS,4,4,8.0,8.0,0.0,8.0,0.0,0,11
2023-24,PASS,5,9,7.0,7.0,0.0,7.0,0.0,0,6
2023-24,PASS,6,4,12.0,12.0,0.0,12.0,0.0,0,11
2023-24,PASS,7,6,-5.0,-5.0,0.0,5.0,0.0,0,9
2023-24,PASS,8,4,8.0,8.0,0.0,8.0,0.0,0,11
2023-24,PASS,9,7,6.0,6.0,0.0,6.0,0.0,0,8
2023-24,PASS,10,6,-11.0,-11.0,0.0,11.0,0.0,0,9
2023-24,PASS,11,6,14.0,14.0,0.0,14.0,0.0,0,9
2023-24,PASS,12,4,-13.0,-13.0,0.0,13.0,0.0,0,11
2023-24,PASS,13,3,2.0,2.0,0.0,2.0,0.0,0,12
2023-24,PASS,14,4,-3.0,-3.0,0.0,3.0,0.0,0,11
2023-24,PASS,15,4,6.0,6.0,0.0,6.0,0.0,0,11
2023-24,PASS,16,2,4.0,4.0,0.0,4.0,0.0,0,13
2023-24,PASS,17,1,0.0,0.0,0.0,0.0,0.0,0,14
2023-24,PASS,18,3,1.0,1.0,0.0,1.0,0.0,0,12
2023-24,PASS,19,5,7.0,7.0,0.0,7.0,0.0,0,10
2023-24,PASS,20,4,5.0,5.0,0.0,5.0,0.0,0,11
2023-24,PASS,21,2,-3.0,-3.0,0.0,3.0,0.0,0,13
2023-24,PASS,23,2,0.0,0.0,0.0,0.0,0.0,0,13
2023-24,PASS,24,6,7.0,7.0,0.0,7.0,0.0,0,9
2023-24,PASS,29,1,0.0,0.0,0.0,0.0,0.0,0,14
2023-24,PASS,31,1,0.0,0.0,0.0,0.0,0.0,0,14
2024-25,PASS,1,5,8.0,8.0,0.0,8.0,0.0,0,10
2024-25,PASS,2,5,8.0,8.0,0.0,8.0,0.0,0,10
2024-25,PASS,3,5,-10.0,-10.0,0.0,10.0,0.0,0,10
2024-25,PASS,4,4,-8.0,-8.0,0.0,8.0,0.0,0,11
2024-25,PASS,5,6,11.0,11.0,0.0,11.0,0.0,0,9
2024-25,PASS,6,6,20.0,20.0,0.0,20.0,0.0,0,9
2024-25,PASS,7,5,-1.0,-1.0,0.0,1.0,0.0,0,10
2024-25,PASS,8,5,2.0,2.0,0.0,2.0,0.0,0,10
2024-25,PASS,9,2,10.0,10.0,0.0,10.0,0.0,0,13
2024-25,PASS,10,6,0.0,0.0,0.0,0.0,0.0,0,9
2024-25,PASS,11,3,-15.0,-15.0,0.0,15.0,0.0,0,12
2024-25,PASS,12,2,6.0,6.0,0.0,6.0,0.0,0,13
2024-25,PASS,13,4,0.0,0.0,0.0,0.0,0.0,0,11
2024-25,PASS,14,6,15.0,15.0,0.0,15.0,0.0,0,9
2024-25,PASS,15,3,20.0,20.0,0.0,20.0,0.0,0,12
2024-25,PASS,16,5,-11.0,-11.0,0.0,11.0,0.0,0,10
2024-25,PASS,17,3,-1.0,-1.0,0.0,1.0,0.0,0,12
2024-25,PASS,18,2,1.0,1.0,0.0,1.0,0.0,0,13
2024-25,PASS,19,4,9.0,9.0,0.0,9.0,0.0,0,11
2024-25,PASS,20,2,-2.0,-2.0,0.0,2.0,0.0,0,13
2024-25,PASS,21,5,0.0,0.0,0.0,0.0,0.0,0,10
2024-25,PASS,22,4,-13.0,-13.0,0.0,13.0,0.0,0,11
2024-25,PASS,23,1,-1.0,-1.0,0.0,1.0,0.0,0,14
2024-25,PASS,24,4,-3.0,-3.0,0.0,3.0,0.0,0,11
2024-25,PASS,25,1,0.0,0.0,0.0,0.0,0.0,0,14
2024-25,PASS,26,4,17.0,17.0,0.0,17.0,0.0,0,11
2024-25,PASS,28,5,-6.0,-6.0,0.0,6.0,0.0,0,10
2024-25,PASS,29,3,2.0,2.0,0.0,2.0,0.0,0,12
2024-25,PASS,30,5,1.0,1.0,0.0,1.0,0.0,0,10
2024-25,PASS,34,3,2.0,2.0,0.0,2.0,0.0,0,12
2025-26,FAIL,1,6,-3.0,-3.0,0.0,3.0,0.0,0,9
2025-26,FAIL,2,6,2.0,2.0,0.0,2.0,0.0,0,9
2025-26,FAIL,3,4,-3.0,-3.0,0.0,3.0,0.0,0,11
2025-26,FAIL,4,4,6.0,6.0,0.0,6.0,0.0,0,11
2025-26,FAIL,5,5,-5.0,-5.0,0.0,5.0,0.0,0,10
2025-26,FAIL,6,4,-6.0,-6.0,0.0,6.0,0.0,0,11
2025-26,FAIL,7,6,-4.0,-4.0,0.0,4.0,0.0,0,9
2025-26,FAIL,8,4,5.0,5.0,0.0,5.0,0.0,0,11
2025-26,FAIL,9,4,3.0,3.0,0.0,3.0,0.0,0,11
2025-26,FAIL,10,4,-8.0,-8.0,0.0,8.0,0.0,0,11
2025-26,FAIL,11,4,24.0,24.0,0.0,24.0,0.0,0,11
2025-26,FAIL,12,4,1.0,1.0,0.0,1.0,0.0,0,11
2025-26,FAIL,13,3,-12.0,-12.0,0.0,12.0,0.0,0,12
2025-26,FAIL,14,5,0.0,0.0,0.0,0.0,0.0,0,10
2025-26,FAIL,15,6,4.0,4.0,0.0,4.0,0.0,0,9
2025-26,FAIL,16,4,-2.0,-2.0,0.0,2.0,0.0,0,11
2025-26,FAIL,17,4,5.0,5.0,0.0,5.0,0.0,0,11
2025-26,FAIL,18,4,-7.0,-7.0,0.0,7.0,0.0,0,11
2025-26,FAIL,19,4,-6.0,-6.0,0.0,6.0,0.0,0,11
2025-26,FAIL,20,5,10.0,10.0,0.0,10.0,0.0,0,10
2025-26,FAIL,21,1,-15.0,-15.0,0.0,15.0,0.0,0,14
2025-26,FAIL,22,3,-1.0,-1.0,0.0,1.0,0.0,0,12
2025-26,FAIL,25,3,-3.0,-3.0,0.0,3.0,0.0,0,12
2025-26,FAIL,26,1,1.0,1.0,0.0,1.0,0.0,0,14
2025-26,FAIL,28,3,-1.0,-1.0,0.0,1.0,0.0,0,12
2025-26,FAIL,30,4,0.0,0.0,0.0,0.0,0.0,0,11
2025-26,FAIL,31,1,1.0,1.0,0.0,1.0,0.0,0,14
2025-26,FAIL,32,4,-2.0,-2.0,0.0,2.0,0.0,0,11
