season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_pair,delta_ilp,delta_full,delta_reeq,abs_reeq_gt_pair,g_treat,g_ctrl,ctrl_cap,pair_cap,full_cap,entrant_pts,leaver_pts,dpts_swap
2022-23,FAIL,1,DEF,256,Ricardo,306,Cancelo,-7.0,17.0,17.0,24.0,1,4.6675,1.5844,43.0,36.0,60.0,0.0,7.0,-7.0
2022-23,FAIL,1,DEF,196,Branthwaite,306,Cancelo,-7.0,17.0,17.0,24.0,1,4.7417,1.5875,43.0,36.0,60.0,0.0,7.0,-7.0
2022-23,FAIL,1,DEF,139,Chilwell,306,Cancelo,2.0,17.0,17.0,15.0,1,2.8131,0.6825,43.0,45.0,60.0,9.0,7.0,2.0
2022-23,FAIL,1,MID,261,Maddison,428,Son,0.0,17.0,17.0,17.0,1,3.7407,1.012,43.0,43.0,60.0,5.0,5.0,0.0
2022-23,FAIL,1,MID,261,Maddison,13,Saka,-1.0,17.0,17.0,18.0,1,2.1662,0.202,43.0,42.0,60.0,5.0,6.0,-1.0
2022-23,FAIL,1,MID,303,Mahrez,428,Son,-8.0,17.0,17.0,25.0,1,3.7114,1.2496,43.0,35.0,60.0,1.0,5.0,-4.0
2022-23,FAIL,1,MID,303,Mahrez,13,Saka,-5.0,17.0,17.0,22.0,1,2.1369,0.4396,43.0,38.0,60.0,1.0,6.0,-5.0
2022-23,FAIL,1,MID,446,Kulusevski,428,Son,16.0,17.0,17.0,1.0,0,3.5347,1.1204,43.0,59.0,60.0,13.0,5.0,8.0
2022-23,FAIL,1,MID,446,Kulusevski,13,Saka,7.0,17.0,17.0,10.0,1,1.9602,0.3105,43.0,50.0,60.0,13.0,6.0,7.0
2022-23,FAIL,1,FWD,242,Gelhardt,356,Wilson,-5.0,17.0,17.0,22.0,1,3.904,1.3351,43.0,38.0,60.0,1.0,6.0,-5.0
2022-23,FAIL,1,FWD,242,Gelhardt,345,Martial,1.0,17.0,17.0,16.0,1,3.2778,1.2355,43.0,44.0,60.0,1.0,0.0,1.0
2022-23,FAIL,2,DEF,595,Zanka,329,Varane,2.0,5.0,5.0,3.0,1,2.1484,0.1641,26.0,28.0,31.0,0.0,1.0,-1.0
2022-23,FAIL,2,DEF,595,Zanka,482,Semedo,2.0,5.0,5.0,3.0,1,2.2181,0.2339,26.0,28.0,31.0,0.0,1.0,-1.0
2022-23,FAIL,2,FWD,596,Ferguson,454,Richarlison,3.0,5.0,5.0,2.0,0,2.5211,0.5282,26.0,29.0,31.0,0.0,1.0,-1.0
2022-23,FAIL,3,MID,261,Maddison,465,Bowen,6.0,3.0,3.0,-3.0,0,1.2519,0.1781,17.0,23.0,20.0,7.0,2.0,5.0
2022-23,FAIL,3,MID,261,Maddison,283,Salah,0.0,3.0,3.0,3.0,1,1.4796,0.5445,17.0,17.0,20.0,7.0,8.0,-1.0
2022-23,FAIL,3,MID,303,Mahrez,465,Bowen,-1.0,3.0,3.0,4.0,1,0.9323,0.264,17.0,16.0,20.0,0.0,2.0,-2.0
2022-23,FAIL,3,MID,303,Mahrez,283,Salah,-7.0,3.0,3.0,10.0,1,1.16,0.6304,17.0,10.0,20.0,0.0,8.0,-8.0
2022-23,FAIL,3,DEF,595,Zanka,439,Tanganga,1.0,3.0,3.0,2.0,1,1.1796,0.0082,17.0,18.0,20.0,0.0,0.0,0.0
2022-23,FAIL,3,DEF,595,Zanka,180,Keane,1.0,3.0,3.0,2.0,1,1.2195,0.0483,17.0,18.0,20.0,0.0,0.0,0.0
2022-23,FAIL,3,DEF,343,B.Williams,439,Tanganga,1.0,3.0,3.0,2.0,1,1.1997,0.0029,17.0,18.0,20.0,0.0,0.0,0.0
2022-23,FAIL,3,DEF,343,B.Williams,180,Keane,1.0,3.0,3.0,2.0,1,1.2397,0.0431,17.0,18.0,20.0,0.0,0.0,0.0
2022-23,FAIL,3,FWD,701,Weghorst,585,Dennis,2.0,3.0,3.0,1.0,0,2.3046,1.108,17.0,19.0,20.0,0.0,0.0,0.0
2022-23,FAIL,3,FWD,701,Weghorst,110,Maupay,2.0,3.0,3.0,1.0,0,2.0726,0.876,17.0,19.0,20.0,0.0,0.0,0.0
2022-23,FAIL,4,GKP,426,Forster,81,Raya,-4.0,3.0,3.0,7.0,1,0.1267,0.0671,37.0,33.0,40.0,0.0,6.0,-6.0
2022-23,FAIL,4,MID,465,Bowen,301,De Bruyne,3.0,3.0,3.0,0.0,0,0.7646,0.8536,37.0,40.0,40.0,3.0,2.0,1.0
2022-23,FAIL,4,MID,314,Foden,301,De Bruyne,4.0,3.0,3.0,-1.0,0,0.7914,0.7572,37.0,41.0,40.0,4.0,2.0,2.0
2022-23,FAIL,4,MID,446,Kulusevski,301,De Bruyne,6.0,3.0,3.0,-3.0,0,0.7428,0.9912,37.0,43.0,40.0,6.0,2.0,4.0
2022-23,FAIL,5,MID,261,Maddison,301,De Bruyne,1.0,-30.0,-30.0,-31.0,1,5.7088,0.8181,69.0,70.0,39.0,1.0,1.0,0.0
2022-23,FAIL,5,MID,303,Mahrez,301,De Bruyne,-2.0,-30.0,-30.0,-28.0,1,4.6152,0.7318,69.0,67.0,39.0,4.0,1.0,3.0
2022-23,FAIL,5,MID,465,Bowen,301,De Bruyne,2.0,-30.0,-30.0,-32.0,1,5.8503,0.6963,69.0,71.0,39.0,2.0,1.0,1.0
2022-23,FAIL,5,DEF,249,Evans,257,Amartey,3.0,-30.0,-30.0,-33.0,1,5.396,0.2644,69.0,72.0,39.0,2.0,0.0,2.0
2022-23,FAIL,5,DEF,249,Evans,258,Castagne,3.0,-30.0,-30.0,-33.0,1,5.4096,0.2605,69.0,72.0,39.0,2.0,0.0,2.0
2022-23,FAIL,5,DEF,249,Evans,235,Struijk,-1.0,-30.0,-30.0,-29.0,1,5.518,0.2362,69.0,68.0,39.0,2.0,4.0,-2.0
2022-23,FAIL,5,DEF,249,Evans,57,Smith,-3.0,-30.0,-30.0,-27.0,1,5.4184,0.2045,69.0,66.0,39.0,2.0,6.0,-4.0
2022-23,FAIL,5,DEF,249,Evans,156,Ward,3.0,-30.0,-30.0,-33.0,1,5.4008,0.2597,69.0,72.0,39.0,2.0,2.0,0.0
2022-23,FAIL,5,DEF,463,Coufal,257,Amartey,3.0,-30.0,-30.0,-33.0,1,5.4246,0.2004,69.0,72.0,39.0,2.0,0.0,2.0
2022-23,FAIL,5,DEF,463,Coufal,258,Castagne,3.0,-30.0,-30.0,-33.0,1,5.4381,0.1964,69.0,72.0,39.0,2.0,0.0,2.0
2022-23,FAIL,5,DEF,463,Coufal,235,Struijk,-1.0,-30.0,-30.0,-29.0,1,5.5466,0.1721,69.0,68.0,39.0,2.0,4.0,-2.0
2022-23,FAIL,5,DEF,463,Coufal,57,Smith,-3.0,-30.0,-30.0,-27.0,1,5.4469,0.1405,69.0,66.0,39.0,2.0,6.0,-4.0
2022-23,FAIL,5,DEF,463,Coufal,156,Ward,3.0,-30.0,-30.0,-33.0,1,5.4293,0.1956,69.0,72.0,39.0,2.0,2.0,0.0
2022-23,FAIL,5,FWD,279,Firmino,288,Diogo Jota,10.0,-30.0,-30.0,-40.0,1,5.1611,0.6459,69.0,79.0,39.0,9.0,0.0,9.0
2022-23,FAIL,5,FWD,279,Firmino,318,Haaland,-7.0,-30.0,-30.0,-23.0,1,5.6275,1.1123,69.0,62.0,39.0,9.0,17.0,-8.0
