season,e024_gate,gw,portfolio_bad,portfolio_good,delta_cap,delta_u_pred,budget_opp_cost,replacement_value,positional_scarcity,bench_mass_delta,n_squad_changes,squad_overlap,g_treat,near_tie_frac,mean_vs_leaver_pts,n_swap_pairs
2022-23,FAIL,1,0,1,17.0,11.8108,-0.2273,1.0729,0.0881,2.2524,8,0.4667,2.9191,0.3182,1.3636,22
2022-23,FAIL,2,0,1,5.0,6.6064,2.6667,0.7985,-0.1073,-3.838,4,0.7333,1.9929,0.3333,0.3333,6
2022-23,FAIL,3,0,1,3.0,6.196,-1.4118,0.4657,-0.0349,-0.35,7,0.5333,1.1966,0.2353,0.0588,17
2022-23,FAIL,4,0,1,3.0,7.6476,0.6364,0.7232,0.0017,1.1524,5,0.6667,0.0698,0.3636,1.4545,11
2022-23,FAIL,5,1,0,-30.0,11.322,1.814,0.1993,-0.0553,-1.14,11,0.2667,5.5786,0.5116,-1.8605,43
2022-23,FAIL,6,1,0,-8.0,8.2484,0,0.207,-0.0806,-1.2696,9,0.4,3.8047,0.4815,-0.3333,27
2022-23,FAIL,8,0,1,2.0,5.6436,-1.1667,0.0188,-0.0149,0.206,4,0.7333,0.0399,0.8333,0.8333,6
2022-23,FAIL,9,1,0,-12.0,6.6437,0.8,-0.0701,-0.0285,0.2208,3,0.8,0.5741,0.8,3.6,5
2022-23,FAIL,10,0,1,6.0,3.4423,0.0,0.0,0.0,0.3444,0,1.0,0.0,0.0,,0
2022-23,FAIL,11,0,1,0.0,3.9928,-10,-0.0608,-0.0073,0.4264,2,0.8667,0.1215,1,1.0,2
2022-23,FAIL,12,1,0,-23.0,5.1,0.9231,-0.2013,-0.0199,0.2708,5,0.6667,1.2284,0.6154,-2.3846,13
2022-23,FAIL,13,1,0,-33.0,4.4164,2.0556,-0.0273,-0.0084,1.4404,8,0.4667,1.6764,0.4444,-2.2222,18
2022-23,FAIL,14,0,1,5.0,5.4116,7,0.1087,-0.0388,-0.9976,8,0.4667,1.8882,0.4444,-2.4444,18
2022-23,FAIL,15,1,0,-2.0,3.9976,-0.2353,0.2055,-0.0223,0.7268,7,0.5333,1.154,0.7059,-1.3529,17
2022-23,FAIL,16,1,0,-5.0,3.5728,-3,0.4729,0.053,1.6212,4,0.7333,0.8271,0,1.3333,6
2022-23,FAIL,17,0,1,0.0,2.584,0.25,-0.0961,-0.0391,0.132,4,0.7333,0.924,0.75,-1.25,8
