season,e024_gate,gw,delta_cap,sum_delta_mc,sum_delta_u,n_swap_pairs,portfolio_bad
2022-23,FAIL,1,17.0,-4.5443,-5.164,11,0
2022-23,FAIL,2,5.0,-0.9089,-5.9912,3,0
2022-23,FAIL,3,3.0,-2.0733,-2.754,10,0
2022-23,FAIL,4,3.0,-2.1464,-2.694,4,0
2022-23,FAIL,5,-30.0,-0.4502,-4.5524,19,1
2022-23,FAIL,6,-8.0,-1.6484,-6.9272,10,1
2022-23,FAIL,8,2.0,0.0076,0.0984,4,0
2022-23,FAIL,9,-12.0,1.1432,1.6172,5,1
2022-23,FAIL,11,0.0,0.1215,0.2624,2,0
2022-23,FAIL,12,-23.0,2.0644,2.5736,7,1
2022-23,FAIL,13,-33.0,-0.5804,-0.6596,5,1
2022-23,FAIL,14,5.0,1.4003,0.426,12,0
2022-23,FAIL,15,-2.0,0.4029,0.4088,10,1
2022-23,FAIL,16,-5.0,0.6723,0.764,4,1
2022-23,FAIL,17,0.0,1.8932,2.1776,7,0
2022-23,FAIL,18,4.0,0.8559,1.004,4,0
2022-23,FAIL,19,0.0,-0.077,-0.642,1,0
2022-23,FAIL,20,-3.0,-2.1218,-3.178,4,1
2022-23,FAIL,21,3.0,-0.4668,-0.5304,7,0
2022-23,FAIL,22,-1.0,0.4096,0.6672,3,1
2022-23,FAIL,23,-11.0,-6.6027,-8.5764,8,1
2022-23,FAIL,24,-20.0,0.6677,0.7588,3,1
2022-23,FAIL,25,-12.0,-2.1362,-2.7084,1,1
2022-23,FAIL,26,-15.0,-0.2044,-0.7404,2,1
2022-23,FAIL,27,2.0,-0.5397,0.1688,4,0
2022-23,FAIL,28,0.0,0.0025,0.0212,1,0
2022-23,FAIL,29,-4.0,0.4997,0.9496,2,1
2022-23,FAIL,30,1.0,0.188,0.244,4,0
2022-23,FAIL,32,11.0,-0.0197,-0.164,1,0
2022-23,FAIL,33,-20.0,-0.0644,-0.1944,3,1
2022-23,FAIL,35,4.0,0.0,0.0,0,0
2022-23,FAIL,36,18.0,-4.5399,-5.6184,2,0
2023-24,PASS,1,-3.0,1.9245,2.4744,6,1
2023-24,PASS,2,9.0,-2.0775,-4.8536,3,0
2023-24,PASS,3,14.0,-2.0229,-5.468,6,0
2023-24,PASS,4,8.0,-0.0179,-0.1492,2,0
2023-24,PASS,5,7.0,-0.1478,0.0956,8,0
2023-24,PASS,6,12.0,-1.6594,-2.8136,3,0
2023-24,PASS,7,-5.0,0.4662,0.9896,5,1
2023-24,PASS,8,8.0,0.2073,-0.1956,3,0
2023-24,PASS,9,6.0,-3.309,-3.9696,5,0
2023-24,PASS,10,-11.0,-1.4506,-1.6484,2,1
2023-24,PASS,11,14.0,-1.0091,-2.0052,5,0
2023-24,PASS,12,-13.0,-1.0535,-1.0908,3,1
2023-24,PASS,13,2.0,-0.2214,-0.2516,1,0
2023-24,PASS,14,-3.0,-0.2395,-1.996,4,1
2023-24,PASS,15,6.0,0.158,0.1796,2,0
2023-24,PASS,16,4.0,-0.1188,-0.7312,1,0
2023-24,PASS,17,0.0,0.0024,0.0196,1,0
2023-24,PASS,18,1.0,-0.0338,-0.2816,1,0
2023-24,PASS,19,7.0,-0.1218,-0.1892,4,0
2023-24,PASS,20,5.0,-0.8173,-0.9288,3,0
2023-24,PASS,21,-3.0,0.032,0.0364,1,1
2023-24,PASS,23,0.0,0.0804,0.6696,2,0
2023-24,PASS,24,7.0,-0.706,-1.2224,5,0
2023-24,PASS,29,0.0,0.0017,0.014,1,0
2023-24,PASS,31,0.0,0.0013,0.0112,1,0
2024-25,PASS,1,8.0,-1.6219,-1.7664,6,0
2024-25,PASS,2,8.0,-1.4334,-4.9024,4,0
2024-25,PASS,3,-10.0,-1.6495,-1.8744,4,1
2024-25,PASS,4,-8.0,-0.1265,-0.2916,2,1
2024-25,PASS,5,11.0,-0.0579,-0.0872,5,0
2024-25,PASS,6,20.0,0.4308,0.4816,7,0
2024-25,PASS,7,-1.0,-0.6818,-1.238,6,1
2024-25,PASS,8,2.0,0.8976,1.02,5,0
2024-25,PASS,9,10.0,-0.3156,-0.6772,2,0
2024-25,PASS,10,0.0,0.3278,0.3424,4,0
2024-25,PASS,11,-15.0,-0.1232,-0.9656,3,1
2024-25,PASS,12,6.0,0.0292,0.0332,1,0
2024-25,PASS,13,0.0,-0.5139,-0.5964,3,0
2024-25,PASS,14,15.0,-1.4738,-3.362,5,0
2024-25,PASS,15,20.0,-1.217,-3.3904,2,0
2024-25,PASS,16,-11.0,-0.1195,-2.1108,3,1
2024-25,PASS,17,-1.0,-0.4116,-2.6244,6,1
2024-25,PASS,18,1.0,0.5618,0.6384,1,0
2024-25,PASS,19,9.0,-0.5876,-0.98,1,0
2024-25,PASS,20,-2.0,0.2475,0.2812,1,1
2024-25,PASS,21,0.0,-0.0542,-0.0616,1,0
2024-25,PASS,22,-13.0,-0.423,-0.7484,3,1
2024-25,PASS,23,-1.0,0.0338,0.0384,1,1
2024-25,PASS,24,-3.0,-6.4619,-8.834,5,1
2024-25,PASS,25,0.0,0.0096,0.08,1,0
2024-25,PASS,26,17.0,0.2249,0.2556,1,0
2024-25,PASS,28,-6.0,-1.7049,-4.0212,2,1
2024-25,PASS,29,2.0,0.3406,0.414,2,0
2024-25,PASS,30,1.0,-1.2907,-3.1048,5,0
2024-25,PASS,34,2.0,0.0007,0.0008,1,0
2025-26,FAIL,1,-3.0,-2.7261,-3.4968,10,1
2025-26,FAIL,2,2.0,-1.8664,-3.2208,5,0
2025-26,FAIL,3,-3.0,-0.3784,-0.43,1,1
2025-26,FAIL,4,6.0,-0.2547,-1.3476,3,0
2025-26,FAIL,5,-5.0,-0.7347,-1.0294,3,1
2025-26,FAIL,6,-6.0,0.2747,1.0652,5,1
2025-26,FAIL,7,-4.0,-0.0288,-0.9444,5,1
2025-26,FAIL,8,5.0,-0.3633,-0.4128,3,0
2025-26,FAIL,9,3.0,-0.8098,-3.916,3,0
2025-26,FAIL,10,-8.0,1.0743,1.2208,3,1
2025-26,FAIL,11,24.0,-0.1626,-0.8052,4,0
2025-26,FAIL,12,1.0,-0.0729,-0.126,3,0
2025-26,FAIL,13,-12.0,-0.2557,-0.6972,1,1
2025-26,FAIL,14,0.0,-0.0201,-0.0228,2,0
2025-26,FAIL,15,4.0,-0.2551,-0.977,7,0
2025-26,FAIL,16,-2.0,0.0609,0.1196,4,1
2025-26,FAIL,17,5.0,-0.4656,-2.5928,4,0
2025-26,FAIL,18,-7.0,-0.2149,-0.5316,3,1
2025-26,FAIL,19,-6.0,-0.243,-0.434,2,1
2025-26,FAIL,20,10.0,-0.1919,-0.2112,5,0
2025-26,FAIL,21,-15.0,0.0576,0.138,1,1
2025-26,FAIL,22,-1.0,-0.2364,-0.8152,2,1
2025-26,FAIL,25,-3.0,0.3073,0.3492,1,1
2025-26,FAIL,26,1.0,0.0482,0.0548,1,0
2025-26,FAIL,28,-1.0,-0.0517,-0.4312,2,1
2025-26,FAIL,30,0.0,-0.8061,-2.8668,4,0
2025-26,FAIL,31,1.0,0.0253,0.0288,1,0
2025-26,FAIL,32,-2.0,-0.8007,-4.4812,6,1
