season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_mc,delta_u,dpts,both60,tie_pts,mc_pref_enter,u_pref_enter,actual_pref_enter,ctrl_mu_gap,gap_bucket,v_ctrl,v_swap
2022-23,FAIL,1,DEF,256,Ricardo,306,Cancelo,-1.7484,-1.9868,-7.0,0,0,0,0,0,1.8004,large,36.073,34.3246
2022-23,FAIL,1,DEF,196,Branthwaite,306,Cancelo,-1.8227,-2.0712,-7.0,0,0,0,0,0,1.804,large,36.073,34.2503
2022-23,FAIL,1,DEF,139,Chilwell,306,Cancelo,0.106,0.1204,2.0,1,0,1,1,1,0.7756,large,36.073,36.1789
2022-23,FAIL,1,MID,261,Maddison,428,Son,-0.8216,-0.9336,0.0,1,1,0,0,0,1.15,large,36.073,35.2514
2022-23,FAIL,1,MID,261,Maddison,13,Saka,0.7529,0.8556,-1.0,1,0,1,1,0,0.2296,near,36.073,36.8259
2022-23,FAIL,1,MID,303,Mahrez,428,Son,-0.7924,-0.9004,-4.0,0,0,0,0,0,1.42,large,36.073,35.2806
2022-23,FAIL,1,MID,303,Mahrez,13,Saka,0.7821,0.8888,-5.0,0,0,1,1,0,0.4996,mid,36.073,36.8551
2022-23,FAIL,1,MID,446,Kulusevski,428,Son,-0.6156,-0.6996,8.0,1,0,0,0,1,1.2732,large,36.073,35.4573
2022-23,FAIL,1,MID,446,Kulusevski,13,Saka,0.9588,1.0896,7.0,1,0,1,1,1,0.3528,mid,36.073,37.0318
2022-23,FAIL,1,FWD,242,Gelhardt,356,Wilson,-0.9849,-1.1192,-5.0,0,0,0,0,0,1.5172,large,36.073,35.0881
2022-23,FAIL,1,FWD,242,Gelhardt,345,Martial,-0.3587,-0.4076,1.0,0,0,0,0,1,1.404,large,36.073,35.7143
2022-23,FAIL,2,DEF,595,Zanka,329,Varane,-0.1555,-1.2956,-1.0,0,0,0,0,0,1.3672,large,39.7565,39.601
2022-23,FAIL,2,DEF,595,Zanka,482,Semedo,-0.2253,-1.8772,-1.0,0,0,0,0,0,1.9488,large,39.7565,39.5312
2022-23,FAIL,2,FWD,596,Ferguson,454,Richarlison,-0.5282,-2.8184,-1.0,0,0,0,0,0,2.8184,large,39.7565,39.2283
2022-23,FAIL,3,MID,261,Maddison,465,Bowen,-0.0553,-0.0628,5.0,1,0,0,0,1,0.2024,near,37.3749,37.3196
2022-23,FAIL,3,MID,261,Maddison,283,Salah,-0.283,-0.3216,-1.0,1,0,0,0,0,0.6188,mid,37.3749,37.0919
2022-23,FAIL,3,MID,303,Mahrez,465,Bowen,0.2644,0.3004,-2.0,0,0,1,1,0,0.3,mid,37.3749,37.6393
2022-23,FAIL,3,MID,303,Mahrez,283,Salah,0.0366,0.0416,-8.0,0,0,1,1,0,0.7164,mid,37.3749,37.4115
2022-23,FAIL,3,DEF,595,Zanka,439,Tanganga,0.017,0.142,0.0,0,1,1,1,0,0.068,near,37.3749,37.392
2022-23,FAIL,3,DEF,595,Zanka,180,Keane,-0.0229,-0.1908,0.0,0,1,0,0,0,0.4024,mid,37.3749,37.352
2022-23,FAIL,3,DEF,343,B.Williams,439,Tanganga,-0.0031,-0.026,0.0,0,1,0,0,0,0.0244,near,37.3749,37.3718
2022-23,FAIL,3,DEF,343,B.Williams,180,Keane,-0.0431,-0.3588,0.0,0,1,0,0,0,0.3588,mid,37.3749,37.3319
2022-23,FAIL,3,FWD,701,Weghorst,585,Dennis,-1.108,-1.2708,0.0,0,1,0,0,0,1.2708,large,37.3749,36.2669
2022-23,FAIL,3,FWD,701,Weghorst,110,Maupay,-0.876,-1.0072,0.0,0,1,0,0,0,1.0072,large,37.3749,36.4989
2022-23,FAIL,4,GKP,426,Forster,81,Raya,-0.0569,-0.3196,-6.0,0,0,0,0,0,0.3312,mid,38.9941,38.9372
2022-23,FAIL,4,MID,465,Bowen,301,De Bruyne,-0.6948,-0.7896,1.0,1,0,0,0,1,0.97,large,38.9941,38.2993
2022-23,FAIL,4,MID,314,Foden,301,De Bruyne,-0.7216,-0.82,2.0,1,0,0,0,1,0.8604,large,38.9941,38.2725
2022-23,FAIL,4,MID,446,Kulusevski,301,De Bruyne,-0.673,-0.7648,4.0,1,0,0,0,1,1.1264,large,38.9941,38.3211
2022-23,FAIL,5,MID,261,Maddison,301,De Bruyne,-0.1302,-0.148,0.0,0,1,0,0,0,0.8284,large,31.969,31.8388
2022-23,FAIL,5,MID,303,Mahrez,301,De Bruyne,0.9634,1.0948,3.0,0,0,1,1,1,0.7304,mid,31.969,32.9324
2022-23,FAIL,5,MID,465,Bowen,301,De Bruyne,-0.2717,-0.3088,1.0,0,0,0,0,1,0.69,mid,31.969,31.6973
2022-23,FAIL,5,DEF,249,Evans,257,Amartey,0.1825,0.3052,2.0,0,0,1,1,1,0.2276,near,31.969,32.1516
2022-23,FAIL,5,DEF,249,Evans,258,Castagne,0.169,0.192,2.0,0,0,1,1,1,0.1948,near,31.969,32.138
2022-23,FAIL,5,DEF,249,Evans,235,Struijk,0.0605,0.0688,-2.0,1,0,1,1,0,0.1672,near,31.969,32.0296
2022-23,FAIL,5,DEF,249,Evans,57,Smith,0.1602,0.182,-4.0,1,0,1,1,0,0.1312,near,31.969,32.1292
2022-23,FAIL,5,DEF,249,Evans,156,Ward,0.1778,0.266,0.0,1,1,1,1,0,0.188,near,31.969,32.1469
2022-23,FAIL,5,DEF,463,Coufal,257,Amartey,0.154,0.2728,2.0,0,0,1,1,1,0.1548,near,31.969,32.1231
2022-23,FAIL,5,DEF,463,Coufal,258,Castagne,0.1404,0.1596,2.0,0,0,1,1,1,0.122,near,31.969,32.1095
2022-23,FAIL,5,DEF,463,Coufal,235,Struijk,0.032,0.0364,-2.0,1,0,1,1,0,0.0944,near,31.969,32.0011
2022-23,FAIL,5,DEF,463,Coufal,57,Smith,0.1316,0.1496,-4.0,1,0,1,1,0,0.0584,near,31.969,32.1007
2022-23,FAIL,5,DEF,463,Coufal,156,Ward,0.1493,0.2336,0.0,1,1,1,1,0,0.1152,near,31.969,32.1184
2022-23,FAIL,5,FWD,279,Firmino,288,Diogo Jota,0.4175,0.4744,9.0,0,0,1,1,1,0.6328,mid,31.969,32.3865
2022-23,FAIL,5,FWD,279,Firmino,318,Haaland,-0.0489,-0.0556,-8.0,1,0,0,0,0,1.1628,large,31.969,31.9201
2022-23,FAIL,5,FWD,697,Sadi,288,Diogo Jota,-0.9614,-2.5472,0.0,0,1,0,0,0,2.5472,large,31.969,31.0076
2022-23,FAIL,5,FWD,697,Sadi,210,Mitrović,-0.5182,-2.0436,-9.0,0,0,0,0,0,2.0436,large,31.969,31.4508
2022-23,FAIL,5,FWD,697,Sadi,318,Haaland,-1.4278,-3.0772,-17.0,0,0,0,0,0,3.0772,large,31.969,30.5412
2022-23,FAIL,5,FWD,255,Vardy,318,Haaland,0.1697,0.1928,-15.0,1,0,1,1,0,1.0148,large,31.969,32.1387
2022-23,FAIL,6,FWD,356,Wilson,288,Diogo Jota,0.44,0.5,-1.0,0,0,1,1,0,0.2308,near,33.0226,33.4626
2022-23,FAIL,6,FWD,356,Wilson,427,Kane,-0.2168,-0.2464,-9.0,0,0,0,0,0,0.642,mid,33.0226,32.8058
2022-23,FAIL,6,FWD,145,Havertz,288,Diogo Jota,0.345,0.392,5.0,0,0,1,1,1,0.2044,near,33.0226,33.3676
2022-23,FAIL,6,FWD,145,Havertz,427,Kane,-0.3119,-0.3544,-3.0,0,0,0,0,0,0.6156,mid,33.0226,32.7108
2022-23,FAIL,6,FWD,380,Lyle Taylor,288,Diogo Jota,-0.535,-2.368,-1.0,0,0,0,0,0,2.368,large,33.0226,32.4877
2022-23,FAIL,6,FWD,380,Lyle Taylor,427,Kane,-1.1918,-3.1144,-9.0,0,0,0,0,0,2.7792,large,33.0226,31.8308
2022-23,FAIL,6,FWD,380,Lyle Taylor,210,Mitrović,-0.4033,-2.2184,-5.0,0,0,0,0,0,2.2184,large,33.0226,32.6193
2022-23,FAIL,6,DEF,435,Sánchez,106,Dunk,0.0285,0.0324,-1.0,0,0,1,1,0,0.3384,mid,33.0226,33.0511
2022-23,FAIL,6,DEF,435,Sánchez,235,Struijk,0.1023,0.2568,0.0,0,1,1,1,0,0.0716,near,33.0226,33.1249
2022-23,FAIL,6,DEF,435,Sánchez,461,Zouma,0.0946,0.1932,-1.0,0,0,1,1,0,0.0716,near,33.0226,33.1172
2022-23,FAIL,8,DEF,16,Gabriel,445,Emerson Royal,0.0242,0.1584,5.0,0,0,1,1,1,0.0316,near,31.9636,31.9878
2022-23,FAIL,8,DEF,16,Gabriel,526,Mee,0.0155,0.086,5.0,1,0,1,1,1,0.094,near,31.9636,31.9791
2022-23,FAIL,8,MID,468,Soucek,480,Neves,-0.0367,-0.1844,1.0,1,0,0,0,1,0.1268,near,31.9636,31.9269
2022-23,FAIL,8,GKP,182,Pickford,31,Martínez,0.0046,0.0384,-6.0,0,0,1,1,0,0.022,near,31.9636,31.9682
2022-23,FAIL,9,DEF,357,Trippier,209,Tosin,0.5616,0.7256,7.0,1,0,1,1,1,0.1356,near,31.3371,31.8987
2022-23,FAIL,9,DEF,357,Trippier,484,Kilman,0.5581,0.6964,6.0,1,0,1,1,1,0.114,near,31.3371,31.8952
2022-23,FAIL,9,DEF,39,Mings,209,Tosin,0.0109,0.0908,6.0,1,0,1,1,1,0.0728,near,31.3371,31.348
2022-23,FAIL,9,DEF,39,Mings,484,Kilman,0.0074,0.0616,5.0,1,0,1,1,1,0.0512,near,31.3371,31.3445
2022-23,FAIL,9,FWD,262,Iheanacho,356,Wilson,0.0051,0.0428,-6.0,0,0,1,1,0,0.7408,mid,31.3371,31.3422
2022-23,FAIL,11,FWD,40,Watkins,617,Aubameyang,0.1042,0.1184,1.0,0,0,1,1,1,0.1168,near,30.254,30.3582
2022-23,FAIL,11,DEF,538,Young,209,Tosin,0.0173,0.144,1.0,0,0,1,1,1,0.0216,near,30.254,30.2713
2022-23,FAIL,12,MID,261,Maddison,333,Fernandes,0.6418,0.7684,-11.0,0,0,1,1,0,0.0788,near,31.5897,32.2316
2022-23,FAIL,12,MID,264,Barnes,680,Gakpo,0.4308,0.4896,8.0,0,0,1,1,1,0.4424,mid,31.5897,32.0206
2022-23,FAIL,12,MID,264,Barnes,333,Fernandes,0.5964,0.7168,-3.0,1,0,1,1,0,0.2116,near,31.5897,32.1862
2022-23,FAIL,12,MID,465,Bowen,333,Fernandes,0.3247,0.408,-11.0,1,0,1,1,0,0.1256,near,31.5897,31.9144
2022-23,FAIL,12,DEF,366,Schär,377,Botman,0.051,0.1132,-2.0,1,0,1,1,0,0.04,near,31.5897,31.6407
2022-23,FAIL,12,DEF,84,Ajer,342,Dalot,0.006,0.0068,-6.0,0,0,1,1,0,0.4872,mid,31.5897,31.5957
2022-23,FAIL,12,DEF,84,Ajer,377,Botman,0.0137,0.0708,-7.0,0,0,1,1,0,0.2812,mid,31.5897,31.6034
2022-23,FAIL,13,FWD,288,Diogo Jota,617,Aubameyang,0.3946,0.4484,-2.0,0,0,1,1,0,0.3784,mid,30.853,31.2476
2022-23,FAIL,13,FWD,288,Diogo Jota,318,Haaland,-0.1478,-0.168,-13.0,0,0,0,0,0,0.9948,large,30.853,30.7052
2022-23,FAIL,13,FWD,166,Edouard,617,Aubameyang,-0.3189,-0.3624,0.0,1,1,0,0,0,0.8816,large,30.853,30.5341
2022-23,FAIL,13,FWD,166,Edouard,318,Haaland,-0.8613,-0.9788,-11.0,1,0,0,0,0,1.498,large,30.853,29.9917
