season,e024_gate,gw,v_a_ctrl,v_a_treat,delta_v_a,v_b_ctrl,v_b_treat,delta_v_b,cap_ctrl,cap_treat,delta_cap,portfolio_bad,portfolio_good,g_treat
2022-23,FAIL,1,36.4624,48.2732,11.8108,29.0362,38.9921,9.9559,43.0,60.0,17.0,0,1,2.9191
2022-23,FAIL,2,45.4632,52.0696,6.6064,37.2812,41.7494,4.4681,26.0,31.0,5.0,0,1,1.9929
2022-23,FAIL,3,41.7056,47.9016,6.196,33.4849,38.5715,5.0866,17.0,20.0,3.0,0,1,1.1966
2022-23,FAIL,4,41.25,48.8976,7.6476,32.9747,39.0639,6.0892,37.0,40.0,3.0,0,1,0.0698
2022-23,FAIL,5,35.4772,46.7992,11.322,29.2266,37.5476,8.3211,69.0,39.0,-30.0,1,0,5.5786
2022-23,FAIL,6,36.9816,45.23,8.2484,30.5025,36.8273,6.3248,47.0,39.0,-8.0,1,0,3.8047
2022-23,FAIL,8,33.4628,39.1064,5.6436,27.5308,32.0034,4.4726,14.0,16.0,2.0,0,1,0.0399
2022-23,FAIL,9,32.6844,39.3281,6.6437,27.1208,31.9112,4.7904,68.0,56.0,-12.0,1,0,0.5741
2022-23,FAIL,10,34.06,37.5023,3.4423,28.1106,30.7299,2.6194,36.0,42.0,6.0,0,1,0.0
2022-23,FAIL,11,32.8792,36.872,3.9928,27.1018,30.3755,3.2737,22.0,22.0,0.0,0,1,0.1215
2022-23,FAIL,12,34.3792,39.4792,5.1,28.2787,32.8182,4.5395,67.0,44.0,-23.0,1,0,1.2284
2022-23,FAIL,13,34.8688,39.2852,4.4164,28.6673,32.5294,3.8622,58.0,25.0,-33.0,1,0,1.6764
2022-23,FAIL,14,35.7088,41.1204,5.4116,29.2885,33.7782,4.4897,48.0,53.0,5.0,0,1,1.8882
2022-23,FAIL,15,34.5496,38.5472,3.9976,28.4418,31.7604,3.3186,40.0,38.0,-2.0,1,0,1.154
2022-23,FAIL,16,35.7316,39.3044,3.5728,29.0968,32.429,3.3323,38.0,33.0,-5.0,1,0,0.8271
2022-23,FAIL,17,34.3352,36.9192,2.584,28.2589,30.5391,2.2803,56.0,56.0,0.0,0,1,0.924
2022-23,FAIL,18,35.7712,38.2304,2.4592,29.3679,31.5378,2.17,37.0,41.0,4.0,0,1,1.138
2022-23,FAIL,19,51.6436,53.0768,1.4332,40.5574,41.8096,1.2522,66.0,66.0,0.0,0,1,0.4323
2022-23,FAIL,20,64.8532,68.3248,3.4716,53.1833,55.9618,2.7785,62.0,59.0,-3.0,1,0,0.1999
2022-23,FAIL,21,36.96,41.1352,4.1752,30.2594,33.3105,3.0511,69.0,72.0,3.0,0,1,0.4854
2022-23,FAIL,22,52.1868,54.8556,2.6688,42.0129,44.3388,2.3259,81.0,80.0,-1.0,1,0,0.2341
2022-23,FAIL,23,57.62,65.026,7.406,46.3592,50.7715,4.4123,90.0,79.0,-11.0,1,0,0.6025
2022-23,FAIL,24,37.4272,39.3364,1.9092,30.8274,32.5528,1.7255,55.0,35.0,-20.0,1,0,1.0177
2022-23,FAIL,25,64.4648,66.9796,2.5148,52.9384,54.6072,1.6688,89.0,77.0,-12.0,1,0,0.6277
2022-23,FAIL,26,39.4724,40.9036,1.4312,32.5592,33.9548,1.3956,68.0,53.0,-15.0,1,0,0.8365
2022-23,FAIL,27,62.5616,63.3356,0.774,50.7729,51.5962,0.8233,75.0,77.0,2.0,0,1,0.1697
2022-23,FAIL,28,37.788,38.3332,0.5452,31.2965,31.78,0.4835,41.0,41.0,0.0,0,1,0.0025
2022-23,FAIL,29,77.758,78.4604,0.7024,64.2874,64.9509,0.6635,81.0,77.0,-4.0,1,0,0.4997
2022-23,FAIL,30,41.3164,41.51,0.1936,34.4087,34.676,0.2672,49.0,50.0,1.0,0,1,0.2672
2022-23,FAIL,31,41.3104,41.768,0.4576,34.1652,34.5896,0.4244,64.0,64.0,0.0,0,1,0.0
2022-23,FAIL,32,42.4416,42.7568,0.3152,35.2787,35.5364,0.2577,57.0,68.0,11.0,0,1,0.2577
2022-23,FAIL,33,41.7688,42.1052,0.3364,34.5411,34.8729,0.3319,94.0,74.0,-20.0,1,0,0.1304
2022-23,FAIL,34,84.8888,86.3064,1.4176,68.6998,69.9473,1.2475,131.0,131.0,0.0,0,1,0.0
2022-23,FAIL,35,46.2084,46.5948,0.3864,37.9342,38.4221,0.4879,54.0,58.0,4.0,0,1,0.4614
2022-23,FAIL,36,67.2644,67.314,0.0496,54.0114,54.0787,0.0673,63.0,81.0,18.0,0,1,0.0426
2022-23,FAIL,37,84.658,84.658,0.0,69.2222,69.2222,0.0,63.0,63.0,0.0,0,1,0.0
2022-23,FAIL,38,45.6952,45.6952,0.0,37.9144,37.9059,-0.0085,38.0,38.0,0.0,0,1,0.0
2023-24,PASS,1,36.21,41.8488,5.6388,29.0835,34.2761,5.1926,47.0,44.0,-3.0,1,0,1.3567
2023-24,PASS,2,41.614,44.2348,2.6208,33.6737,35.8738,2.2,26.0,35.0,9.0,0,1,1.1984
2023-24,PASS,3,38.31,41.8148,3.5048,31.2237,33.9265,2.7028,25.0,39.0,14.0,0,1,1.9425
2023-24,PASS,4,36.22,39.972,3.752,29.4271,32.401,2.974,15.0,23.0,8.0,0,1,0.2961
2023-24,PASS,5,39.3432,43.6572,4.314,32.4418,35.7897,3.3479,34.0,41.0,7.0,0,1,1.7429
2023-24,PASS,6,43.1684,44.744,1.5756,34.7808,36.5687,1.7879,47.0,59.0,12.0,0,1,0.5845
2023-24,PASS,7,49.5356,51.464,1.9284,40.0379,41.8576,1.8196,64.0,59.0,-5.0,1,0,0.7246
2023-24,PASS,8,43.66,46.0708,2.4108,35.8593,37.6241,1.7648,59.0,67.0,8.0,0,1,0.6504
2023-24,PASS,9,45.1516,48.0764,2.9248,36.3472,38.8772,2.53,97.0,103.0,6.0,0,1,1.047
2023-24,PASS,10,45.498,46.6864,1.1884,36.4146,37.7102,1.2956,68.0,57.0,-11.0,1,0,0.1637
2023-24,PASS,11,46.5036,48.398,1.8944,37.6939,39.3128,1.6189,21.0,35.0,14.0,0,1,0.5703
2023-24,PASS,12,45.636,47.0272,1.3912,36.6772,37.6988,1.0215,81.0,68.0,-13.0,1,0,0.3267
2023-24,PASS,13,46.5748,47.7012,1.1264,37.7067,38.8406,1.1339,35.0,37.0,2.0,0,1,0.2953
2023-24,PASS,14,47.5008,48.2268,0.726,38.3548,38.9156,0.5608,55.0,52.0,-3.0,1,0,0.2816
2023-24,PASS,15,45.302,46.7456,1.4436,36.7919,38.2203,1.4284,39.0,45.0,6.0,0,1,0.4519
2023-24,PASS,16,45.6452,46.9188,1.2736,37.1866,38.242,1.0553,69.0,73.0,4.0,0,1,0.2512
2023-24,PASS,17,47.1472,48.2072,1.06,37.9159,38.7134,0.7975,48.0,48.0,0.0,0,1,0.0024
2023-24,PASS,18,46.3408,47.602,1.2612,37.4463,38.3977,0.9514,50.0,51.0,1.0,0,1,0.0701
2023-24,PASS,19,44.1144,44.6592,0.5448,36.3293,36.7638,0.4345,26.0,33.0,7.0,0,1,0.2815
2023-24,PASS,20,47.09,47.5896,0.4996,38.118,38.7703,0.6524,84.0,89.0,5.0,0,1,0.1481
2023-24,PASS,21,46.0112,46.3148,0.3036,37.3633,37.6302,0.267,29.0,26.0,-3.0,1,0,0.0412
2023-24,PASS,22,48.3912,49.0812,0.69,39.0776,39.6749,0.5973,45.0,45.0,0.0,0,1,-0.0
2023-24,PASS,23,44.7548,45.0476,0.2928,36.7508,37.0574,0.3066,28.0,28.0,0.0,0,1,0.0804
2023-24,PASS,24,48.5756,49.0208,0.4452,39.2885,39.7403,0.4518,36.0,43.0,7.0,0,1,0.632
2023-24,PASS,25,86.6988,87.742,1.0432,68.8275,69.8838,1.0564,59.0,59.0,0.0,0,1,0.0
2023-24,PASS,26,47.7816,47.8688,0.0872,39.4256,39.4702,0.0446,72.0,72.0,0.0,0,1,0.0
2023-24,PASS,27,49.7596,50.0308,0.2712,40.6384,40.759,0.1206,58.0,58.0,0.0,0,1,0.0
2023-24,PASS,28,67.08,67.0943,0.0143,53.1241,53.1322,0.0081,46.0,46.0,0.0,0,1,0.0
2023-24,PASS,29,43.2284,43.2284,0.0,35.8148,35.8165,0.0017,31.0,31.0,0.0,0,1,0.0017
2023-24,PASS,30,50.5716,50.5716,0.0,41.6929,41.7037,0.0108,47.0,47.0,0.0,0,1,0.0
2023-24,PASS,31,52.744,52.8488,0.1048,42.42,42.5047,0.0847,63.0,63.0,0.0,0,1,0.0013
2023-24,PASS,32,50.5964,50.616,0.0196,41.4645,41.4843,0.0198,58.0,58.0,0.0,0,1,0.0
2023-24,PASS,33,56.3748,56.4484,0.0736,44.8864,44.9516,0.0651,70.0,70.0,0.0,0,1,0.0
2023-24,PASS,34,94.916,95.0816,0.1656,76.6782,76.824,0.1457,114.0,114.0,0.0,0,1,0.0
2023-24,PASS,35,80.7384,80.7384,0.0,62.6998,62.7005,0.0007,76.0,76.0,0.0,0,1,0.0
2023-24,PASS,36,56.4484,56.4972,0.0488,45.3036,45.3267,0.0231,77.0,77.0,0.0,0,1,0.0
2023-24,PASS,37,105.58,105.58,0.0,86.3339,86.335,0.0011,86.0,86.0,0.0,0,1,0.0
2023-24,PASS,38,57.52,57.5948,0.0748,46.3326,46.3973,0.0647,55.0,55.0,0.0,0,1,0.0
2024-25,PASS,1,37.5372,45.4304,7.8932,29.9473,35.8624,5.9152,43.0,51.0,8.0,0,1,0.9289
2024-25,PASS,2,44.9396,47.9724,3.0328,36.3384,38.7888,2.4504,48.0,56.0,8.0,0,1,0.7449
2024-25,PASS,3,40.8,44.4832,3.6832,32.9633,35.6897,2.7265,52.0,42.0,-10.0,1,0,0.7655
2024-25,PASS,4,34.5204,36.7952,2.2748,28.0412,30.0861,2.0448,13.0,5.0,-8.0,1,0,1.6497
2024-25,PASS,5,40.1052,45.9564,5.8512,32.2429,37.3149,5.072,51.0,62.0,11.0,0,1,1.501
2024-25,PASS,6,42.412,46.4824,4.0704,34.6536,37.8148,3.1612,55.0,75.0,20.0,0,1,0.9622
2024-25,PASS,7,43.8276,47.1108,3.2832,35.3884,37.9645,2.5761,57.0,56.0,-1.0,1,0,0.4442
2024-25,PASS,8,44.238,48.3824,4.1444,35.5881,39.2592,3.6711,46.0,48.0,2.0,0,1,1.3651
2024-25,PASS,9,44.7584,48.0048,3.2464,36.2728,38.7631,2.4904,69.0,79.0,10.0,0,1,0.0736
2024-25,PASS,10,43.8468,48.2716,4.4248,35.2626,38.8009,3.5383,48.0,48.0,0.0,0,1,0.9616
2024-25,PASS,11,45.2728,48.6452,3.3724,36.4812,39.1288,2.6477,66.0,51.0,-15.0,1,0,0.7522
