season,e024_gate,gw,cap_ctrl_roll,cap_treat_roll,delta_cap_roll,cap_ctrl_lock,cap_treat_lock,delta_cap_lock
2022-23,FAIL,1,43.0,60.0,17.0,43.0,60.0,17.0
2022-23,FAIL,2,26.0,31.0,5.0,17.0,26.0,9.0
2022-23,FAIL,3,17.0,20.0,3.0,29.0,23.0,-6.0
2022-23,FAIL,4,37.0,40.0,3.0,44.0,48.0,4.0
2022-23,FAIL,5,69.0,39.0,-30.0,20.0,23.0,3.0
2022-23,FAIL,6,47.0,39.0,-8.0,26.0,30.0,4.0
2022-23,FAIL,8,14.0,16.0,2.0,39.0,17.0,-22.0
2022-23,FAIL,9,68.0,56.0,-12.0,40.0,44.0,4.0
2022-23,FAIL,10,36.0,42.0,6.0,41.0,28.0,-13.0
2022-23,FAIL,11,22.0,22.0,0.0,28.0,21.0,-7.0
2022-23,FAIL,12,67.0,44.0,-23.0,23.0,22.0,-1.0
2022-23,FAIL,13,58.0,25.0,-33.0,27.0,40.0,13.0
2022-23,FAIL,14,48.0,53.0,5.0,62.0,33.0,-29.0
2022-23,FAIL,15,40.0,38.0,-2.0,18.0,28.0,10.0
2022-23,FAIL,16,38.0,33.0,-5.0,25.0,29.0,4.0
2022-23,FAIL,17,56.0,56.0,0.0,34.0,25.0,-9.0
2022-23,FAIL,18,37.0,41.0,4.0,32.0,32.0,0.0
2022-23,FAIL,19,66.0,66.0,0.0,29.0,21.0,-8.0
2022-23,FAIL,20,62.0,59.0,-3.0,29.0,62.0,33.0
2022-23,FAIL,21,69.0,72.0,3.0,52.0,48.0,-4.0
2022-23,FAIL,22,81.0,80.0,-1.0,32.0,32.0,0.0
2022-23,FAIL,23,90.0,79.0,-11.0,38.0,63.0,25.0
2022-23,FAIL,24,55.0,35.0,-20.0,49.0,38.0,-11.0
2022-23,FAIL,25,89.0,77.0,-12.0,45.0,36.0,-9.0
2022-23,FAIL,26,68.0,53.0,-15.0,30.0,34.0,4.0
2022-23,FAIL,27,75.0,77.0,2.0,29.0,31.0,2.0
2022-23,FAIL,28,41.0,41.0,0.0,31.0,22.0,-9.0
2022-23,FAIL,29,81.0,77.0,-4.0,41.0,46.0,5.0
2022-23,FAIL,30,49.0,50.0,1.0,40.0,29.0,-11.0
2022-23,FAIL,31,64.0,64.0,0.0,37.0,30.0,-7.0
2022-23,FAIL,32,57.0,68.0,11.0,50.0,35.0,-15.0
2022-23,FAIL,33,94.0,74.0,-20.0,53.0,33.0,-20.0
2022-23,FAIL,34,131.0,131.0,0.0,70.0,66.0,-4.0
2022-23,FAIL,35,54.0,58.0,4.0,39.0,53.0,14.0
2022-23,FAIL,36,63.0,81.0,18.0,83.0,40.0,-43.0
2022-23,FAIL,37,63.0,63.0,0.0,43.0,38.0,-5.0
2022-23,FAIL,38,38.0,38.0,0.0,30.0,24.0,-6.0
2023-24,PASS,1,47.0,44.0,-3.0,47.0,44.0,-3.0
2023-24,PASS,2,26.0,35.0,9.0,24.0,26.0,2.0
2023-24,PASS,3,25.0,39.0,14.0,42.0,51.0,9.0
2023-24,PASS,4,15.0,23.0,8.0,60.0,48.0,-12.0
2023-24,PASS,5,34.0,41.0,7.0,24.0,33.0,9.0
2023-24,PASS,6,47.0,59.0,12.0,63.0,66.0,3.0
2023-24,PASS,7,64.0,59.0,-5.0,46.0,26.0,-20.0
2023-24,PASS,8,59.0,67.0,8.0,24.0,26.0,2.0
2023-24,PASS,9,97.0,103.0,6.0,58.0,64.0,6.0
2023-24,PASS,10,68.0,57.0,-11.0,52.0,65.0,13.0
2023-24,PASS,11,21.0,35.0,14.0,23.0,28.0,5.0
2023-24,PASS,12,81.0,68.0,-13.0,24.0,43.0,19.0
2023-24,PASS,13,35.0,37.0,2.0,39.0,33.0,-6.0
2023-24,PASS,14,55.0,52.0,-3.0,56.0,55.0,-1.0
2023-24,PASS,15,39.0,45.0,6.0,35.0,36.0,1.0
2023-24,PASS,16,69.0,73.0,4.0,55.0,58.0,3.0
2023-24,PASS,17,48.0,48.0,0.0,27.0,25.0,-2.0
2023-24,PASS,18,50.0,51.0,1.0,33.0,26.0,-7.0
2023-24,PASS,19,26.0,33.0,7.0,38.0,39.0,1.0
2023-24,PASS,20,84.0,89.0,5.0,38.0,38.0,0.0
2023-24,PASS,21,29.0,26.0,-3.0,25.0,48.0,23.0
2023-24,PASS,22,45.0,45.0,0.0,36.0,41.0,5.0
2023-24,PASS,23,28.0,28.0,0.0,27.0,40.0,13.0
2023-24,PASS,24,36.0,43.0,7.0,52.0,59.0,7.0
2023-24,PASS,25,59.0,59.0,0.0,47.0,52.0,5.0
2023-24,PASS,26,72.0,72.0,0.0,27.0,33.0,6.0
2023-24,PASS,27,58.0,58.0,0.0,46.0,31.0,-15.0
2023-24,PASS,28,46.0,46.0,0.0,50.0,43.0,-7.0
2023-24,PASS,29,31.0,31.0,0.0,5.0,5.0,0.0
2023-24,PASS,30,47.0,47.0,0.0,38.0,34.0,-4.0
2023-24,PASS,31,63.0,63.0,0.0,33.0,26.0,-7.0
2023-24,PASS,32,58.0,58.0,0.0,43.0,50.0,7.0
2023-24,PASS,33,70.0,70.0,0.0,29.0,27.0,-2.0
2023-24,PASS,34,114.0,114.0,0.0,97.0,120.0,23.0
2023-24,PASS,35,76.0,76.0,0.0,44.0,51.0,7.0
2023-24,PASS,36,77.0,77.0,0.0,37.0,47.0,10.0
2023-24,PASS,37,86.0,86.0,0.0,31.0,42.0,11.0
2023-24,PASS,38,55.0,55.0,0.0,37.0,24.0,-13.0
2024-25,PASS,1,43.0,51.0,8.0,43.0,51.0,8.0
2024-25,PASS,2,48.0,56.0,8.0,75.0,77.0,2.0
2024-25,PASS,3,52.0,42.0,-10.0,44.0,41.0,-3.0
2024-25,PASS,4,13.0,5.0,-8.0,36.0,26.0,-10.0
2024-25,PASS,5,51.0,62.0,11.0,50.0,38.0,-12.0
2024-25,PASS,6,55.0,75.0,20.0,67.0,81.0,14.0
2024-25,PASS,7,57.0,56.0,-1.0,51.0,59.0,8.0
2024-25,PASS,8,46.0,48.0,2.0,28.0,18.0,-10.0
2024-25,PASS,9,69.0,79.0,10.0,40.0,42.0,2.0
2024-25,PASS,10,48.0,48.0,0.0,35.0,32.0,-3.0
2024-25,PASS,11,66.0,51.0,-15.0,39.0,40.0,1.0
2024-25,PASS,12,30.0,36.0,6.0,36.0,40.0,4.0
2024-25,PASS,13,82.0,82.0,0.0,68.0,80.0,12.0
2024-25,PASS,14,65.0,80.0,15.0,50.0,44.0,-6.0
