season,e024_gate,gw,delta_cap,sum_delta_v,sum_delta_u,n_swap_pairs,n_sign_disagree,portfolio_bad
2022-23,FAIL,1,17.0,-13.6988,-12.2264,11,1,0
2022-23,FAIL,2,5.0,0.25,-6.1344,3,1,0
2022-23,FAIL,3,3.0,-5.0884,-4.9692,10,1,0
2022-23,FAIL,4,3.0,-1.4928,-3.288,4,1,0
2022-23,FAIL,5,-30.0,-4.5316,-14.1808,19,5,1
2022-23,FAIL,6,-8.0,0.8868,-9.54,10,6,1
2022-23,FAIL,8,2.0,0.9324,-0.2744,4,1,0
2022-23,FAIL,9,-12.0,-0.0224,-1.1144,5,0,1
2022-23,FAIL,11,0.0,-0.1168,-0.1384,2,0,0
2022-23,FAIL,12,-23.0,6.3652,-1.6668,7,6,1
2022-23,FAIL,13,-33.0,-7.924,-4.0696,5,0,1
2022-23,FAIL,14,5.0,-0.6936,-5.22,12,2,0
2022-23,FAIL,15,-2.0,0.1564,-2.8676,10,3,1
2022-23,FAIL,16,-5.0,0.9184,-2.3632,4,4,1
2022-23,FAIL,17,0.0,2.0152,-1.9424,7,4,0
2022-23,FAIL,18,4.0,-1.192,-1.1784,4,0,0
2022-23,FAIL,19,0.0,0.0,-0.638,1,0,0
2022-23,FAIL,20,-3.0,2.2416,-3.7912,4,1,1
2022-23,FAIL,21,3.0,1.0908,-3.4696,7,5,0
2022-23,FAIL,22,-1.0,-1.0236,-1.0644,3,0,1
2022-23,FAIL,23,-11.0,0.53,-9.3228,8,3,1
2022-23,FAIL,24,-20.0,-1.4952,-0.5456,3,0,1
2022-23,FAIL,25,-12.0,0.838,-2.6992,1,1,1
2022-23,FAIL,26,-15.0,-0.196,-1.5376,2,1,1
2022-23,FAIL,27,2.0,1.7928,-2.396,4,2,0
2022-23,FAIL,28,0.0,0.0,-0.1816,1,0,0
2022-23,FAIL,29,-4.0,0.0,-1.092,2,0,1
2022-23,FAIL,30,1.0,0.7904,-2.0048,4,2,0
2022-23,FAIL,32,11.0,0.0,-0.164,1,0,0
2022-23,FAIL,33,-20.0,-0.144,-0.7604,3,0,1
2022-23,FAIL,35,4.0,0.0,0.0,0,0,0
2022-23,FAIL,36,18.0,0.9136,-5.6184,2,2,0
2023-24,PASS,1,-3.0,-4.424,-2.0728,6,0,1
2023-24,PASS,2,9.0,-3.7972,-6.5616,3,0,0
2023-24,PASS,3,14.0,-4.8044,-7.7316,6,0,0
2023-24,PASS,4,8.0,0.0,-0.3008,2,0,0
2023-24,PASS,5,7.0,-2.4236,-5.9216,8,2,0
2023-24,PASS,6,12.0,-1.4872,-2.9872,3,1,0
2023-24,PASS,7,-5.0,-1.8928,-2.2916,5,2,1
2023-24,PASS,8,8.0,-0.9596,-2.0988,3,0,0
2023-24,PASS,9,6.0,-4.458,-7.0768,5,0,0
2023-24,PASS,10,-11.0,-2.662,-2.162,2,0,1
2023-24,PASS,11,14.0,-0.1588,-3.5416,5,2,0
2023-24,PASS,12,-13.0,-1.628,-2.2456,3,0,1
2023-24,PASS,13,2.0,0.9184,-0.5816,1,1,0
2023-24,PASS,14,-3.0,0.0,-2.0256,4,0,1
2023-24,PASS,15,6.0,-1.156,-1.384,2,0,0
2023-24,PASS,16,4.0,-0.4364,-0.7416,1,0,0
2023-24,PASS,17,0.0,0.0,-0.2632,1,0,0
2023-24,PASS,18,1.0,-0.6544,-0.2876,1,0,0
2023-24,PASS,19,7.0,-0.6204,-1.3448,4,0,0
2023-24,PASS,20,5.0,0.624,-1.376,3,2,0
2023-24,PASS,21,-3.0,-0.1168,-0.1168,1,0,1
2023-24,PASS,23,0.0,-1.098,-0.1172,2,0,0
2023-24,PASS,24,7.0,2.1616,-1.684,5,4,0
2023-24,PASS,29,0.0,0.0,-0.1392,1,0,0
2023-24,PASS,31,0.0,0.0,-0.0408,1,0,0
2024-25,PASS,1,8.0,-5.6616,-4.764,6,0,0
2024-25,PASS,2,8.0,-1.1172,-4.9384,4,0,0
2024-25,PASS,3,-10.0,-4.7264,-5.2264,4,0,1
2024-25,PASS,4,-8.0,-0.7376,-1.03,2,0,1
2024-25,PASS,5,11.0,0.6572,-2.4964,5,2,0
2024-25,PASS,6,20.0,-3.5688,-1.9848,7,1,0
2024-25,PASS,7,-1.0,-1.1504,-2.5816,6,0,1
2024-25,PASS,8,2.0,-1.6804,-3.1776,5,0,0
2024-25,PASS,9,10.0,0.1692,-0.6012,2,1,0
2024-25,PASS,10,0.0,-1.0688,-1.6036,4,1,0
2024-25,PASS,11,-15.0,0.296,-1.4328,3,2,1
2024-25,PASS,12,6.0,-0.296,-0.296,1,0,0
2024-25,PASS,13,0.0,-1.674,-1.5516,3,0,0
2024-25,PASS,14,15.0,-2.5108,-4.4644,5,1,0
2024-25,PASS,15,20.0,-2.0588,-3.332,2,0,0
2024-25,PASS,16,-11.0,-1.7,-3.3724,3,0,1
2024-25,PASS,17,-1.0,-1.2096,-2.542,6,0,1
2024-25,PASS,18,1.0,0.7472,-0.2528,1,1,0
