season,e024_gate,gw,position,entrant_id,entrant_name,leaver_id,leaver_name,delta_v,delta_u,dpts,both60,tie_pts,v_pref_enter,u_pref_enter,actual_pref_enter,sign_disagree,n_feasible,best_y_feasible,regret_entrant,v_ctrl,v_swap,fixture_pairs_ctrl,fixture_pairs_swap
2022-23,FAIL,1,DEF,256,Ricardo,306,Cancelo,-1.2884,-1.8004,-7.0,0,0,0,0,0,0,26,9.0,9.0,30.3616,29.0732,4.0,3.0
2022-23,FAIL,1,DEF,196,Branthwaite,306,Cancelo,-1.2884,-1.804,-7.0,0,0,0,0,0,0,26,9.0,9.0,30.3616,29.0732,4.0,3.0
2022-23,FAIL,1,DEF,139,Chilwell,306,Cancelo,-0.2756,-0.7756,2.0,1,0,0,0,1,0,25,9.0,0.0,30.3616,30.086,4.0,3.0
2022-23,FAIL,1,MID,261,Maddison,428,Son,-1.15,-1.15,0.0,1,1,0,0,0,0,24,13.0,8.0,30.3616,29.2116,4.0,4.0
2022-23,FAIL,1,MID,261,Maddison,13,Saka,0.2704,-0.2296,-1.0,1,0,1,0,0,1,21,13.0,8.0,30.3616,30.632,4.0,3.0
2022-23,FAIL,1,MID,303,Mahrez,428,Son,-2.42,-1.42,-4.0,0,0,0,0,0,0,24,13.0,12.0,30.3616,27.9416,4.0,6.0
2022-23,FAIL,1,MID,303,Mahrez,13,Saka,-0.9996,-0.4996,-5.0,0,0,0,0,0,0,21,13.0,12.0,30.3616,29.362,4.0,5.0
2022-23,FAIL,1,MID,446,Kulusevski,428,Son,-1.2732,-1.2732,8.0,1,0,0,0,1,0,24,13.0,0.0,30.3616,29.0884,4.0,4.0
2022-23,FAIL,1,MID,446,Kulusevski,13,Saka,-0.3528,-0.3528,7.0,1,0,0,0,1,0,21,13.0,0.0,30.3616,30.0088,4.0,4.0
2022-23,FAIL,1,FWD,242,Gelhardt,356,Wilson,-2.5172,-1.5172,-5.0,0,0,0,0,0,0,13,13.0,12.0,30.3616,27.8444,4.0,6.0
2022-23,FAIL,1,FWD,242,Gelhardt,345,Martial,-2.404,-1.404,1.0,0,0,0,0,1,0,10,13.0,12.0,30.3616,27.9576,4.0,6.0
2022-23,FAIL,2,DEF,595,Zanka,329,Varane,0.0,-1.3672,-1.0,0,0,0,0,0,0,14,6.0,6.0,39.292,39.292,3.0,3.0
2022-23,FAIL,2,DEF,595,Zanka,482,Semedo,0.0,-1.9488,-1.0,0,0,0,0,0,0,14,6.0,6.0,39.292,39.292,3.0,3.0
2022-23,FAIL,2,FWD,596,Ferguson,454,Richarlison,0.25,-2.8184,-1.0,0,0,1,0,0,1,22,19.0,19.0,39.292,39.542,3.0,2.0
2022-23,FAIL,3,MID,261,Maddison,465,Bowen,-0.7024,-0.2024,5.0,1,0,0,0,1,0,19,11.0,4.0,33.5316,32.8292,7.0,8.0
2022-23,FAIL,3,MID,261,Maddison,283,Salah,-0.1188,-0.6188,-1.0,1,0,0,0,0,0,23,11.0,4.0,33.5316,33.4128,7.0,6.0
2022-23,FAIL,3,MID,303,Mahrez,465,Bowen,-0.3,-0.3,-2.0,0,0,0,0,0,0,19,11.0,11.0,33.5316,33.2316,7.0,7.0
2022-23,FAIL,3,MID,303,Mahrez,283,Salah,0.2836,-0.7164,-8.0,0,0,1,0,0,1,23,11.0,11.0,33.5316,33.8152,7.0,5.0
2022-23,FAIL,3,DEF,595,Zanka,439,Tanganga,0.0,-0.068,0.0,0,1,0,0,0,0,1,0.0,0.0,33.5316,33.5316,7.0,7.0
2022-23,FAIL,3,DEF,595,Zanka,180,Keane,0.0,-0.4024,0.0,0,1,0,0,0,0,8,1.0,1.0,33.5316,33.5316,7.0,7.0
