season,e024_gate,gw,captain_id,captain_name,u_capt,capt_pts,cap_normal,cap_tc,is_t_star,is_g_star
2022-23,FAIL,1,428,Son,4.1008,5.0,43.0,48.0,0,0
2022-23,FAIL,2,288,Diogo Jota,4.6712,0.0,26.0,26.0,0,0
2022-23,FAIL,3,264,Barnes,4.674,2.0,17.0,19.0,0,0
2022-23,FAIL,4,288,Diogo Jota,4.6956,0.0,37.0,37.0,0,0
2022-23,FAIL,5,318,Haaland,3.56,17.0,69.0,86.0,0,0
2022-23,FAIL,6,81,Raya,3.7696,2.0,47.0,49.0,0,0
2022-23,FAIL,8,81,Raya,3.6556,2.0,14.0,16.0,0,0
2022-23,FAIL,9,81,Raya,3.29,6.0,68.0,74.0,0,0
2022-23,FAIL,10,113,Sánchez,3.5624,2.0,36.0,38.0,0,0
2022-23,FAIL,11,2,Leno,3.466,2.0,22.0,24.0,0,0
2022-23,FAIL,12,81,Raya,3.7216,10.0,67.0,77.0,0,0
2022-23,FAIL,13,478,Sá,3.5908,0.0,58.0,58.0,0,0
2022-23,FAIL,14,81,Raya,3.948,3.0,48.0,51.0,0,0
2022-23,FAIL,15,182,Pickford,3.5588,3.0,40.0,43.0,0,0
2022-23,FAIL,16,2,Leno,3.7956,5.0,38.0,43.0,0,0
2022-23,FAIL,17,81,Raya,3.702,3.0,56.0,59.0,0,0
2022-23,FAIL,18,2,Leno,3.8268,2.0,37.0,39.0,0,0
2022-23,FAIL,19,2,Leno,7.0044,14.0,66.0,80.0,0,0
2022-23,FAIL,20,318,Haaland,6.2404,8.0,62.0,70.0,0,1
2022-23,FAIL,21,2,Leno,3.9028,2.0,69.0,71.0,0,0
2022-23,FAIL,22,335,Rashford,6.1128,20.0,81.0,101.0,0,0
2022-23,FAIL,23,303,Mahrez,6.448,14.0,90.0,104.0,0,0
2022-23,FAIL,24,81,Raya,3.952,3.0,55.0,58.0,0,0
2022-23,FAIL,25,7,Ødegaard,6.2224,11.0,89.0,100.0,0,0
2022-23,FAIL,26,81,Raya,3.8576,2.0,68.0,70.0,0,0
2022-23,FAIL,27,81,Raya,6.9644,9.0,75.0,84.0,0,0
2022-23,FAIL,28,81,Raya,3.7984,2.0,41.0,43.0,0,0
2022-23,FAIL,29,355,Dubravka,7.8176,0.0,81.0,81.0,0,0
2022-23,FAIL,30,335,Rashford,3.8148,6.0,49.0,55.0,0,0
2022-23,FAIL,31,318,Haaland,4.0272,12.0,64.0,76.0,0,0
2022-23,FAIL,32,283,Salah,4.0956,7.0,57.0,64.0,0,0
2022-23,FAIL,33,318,Haaland,4.0596,14.0,94.0,108.0,0,0
2022-23,FAIL,34,283,Salah,8.5032,18.0,131.0,149.0,1,0
2022-23,FAIL,35,283,Salah,4.6332,10.0,54.0,64.0,0,0
2022-23,FAIL,36,355,Dubravka,7.7048,0.0,63.0,63.0,0,0
2022-23,FAIL,37,318,Haaland,8.2128,6.0,63.0,69.0,0,0
2022-23,FAIL,38,335,Rashford,4.2468,2.0,38.0,40.0,0,0
2023-24,PASS,1,19,Saka,3.824,10.0,47.0,57.0,0,0
2023-24,PASS,2,355,Haaland,4.3136,2.0,26.0,28.0,0,0
2023-24,PASS,3,614,Kaminski,3.9452,2.0,25.0,27.0,0,0
2023-24,PASS,4,117,Toney,3.9648,0.0,15.0,15.0,0,0
2023-24,PASS,5,355,Haaland,3.9528,6.0,34.0,40.0,0,0
2023-24,PASS,6,355,Haaland,4.7536,6.0,47.0,53.0,0,0
