season,e024_gate,gw,u_bench,bench_pts,cap_normal,cap_bb,bench_ids,bench_names,is_t_star,is_g_star
2022-23,FAIL,1,4.6496,3.0,43.0,46.0,182|637|595|653,Pickford|John|Zanka|Hutchinson,0,0
2022-23,FAIL,2,11.5356,4.0,26.0,30.0,518|406|482|329,Hennessey|Elyounoussi|Semedo|Varane,0,0
2022-23,FAIL,3,7.4756,1.0,17.0,18.0,176|503|180|439,Begović|Moutinho|Keane|Tanganga,0,0
2022-23,FAIL,4,6.7236,2.0,37.0,39.0,518|149|595|489,Hennessey|Gilmour|Zanka|Toti,0,0
2022-23,FAIL,5,9.4952,11.0,69.0,80.0,518|235|57|211,Hennessey|Struijk|Smith|Reed,0,0
2022-23,FAIL,6,10.6332,4.0,47.0,51.0,113|235|461|64,Sánchez|Struijk|Zouma|Lerma,0,0
2022-23,FAIL,8,10.8376,12.0,14.0,26.0,31|445|465|189,Martínez|Emerson Royal|Bowen|Gray,0,0
2022-23,FAIL,9,10.448,5.0,68.0,73.0,2|209|484|40,Leno|Tosin|Kilman|Watkins,0,0
2022-23,FAIL,10,10.6056,6.0,36.0,42.0,182|199|468|407,Pickford|Tarkowski|Soucek|Ward-Prowse,0,0
2022-23,FAIL,11,10.1512,11.0,22.0,33.0,238|85|209|468,Meslier|Henry|Tosin|Soucek,0,0
2022-23,FAIL,12,10.8332,19.0,67.0,86.0,2|116|288|374,Leno|Mac Allister|Diogo Jota|Bruno Guimarães,0,0
2022-23,FAIL,13,9.522,11.0,58.0,69.0,518|589|467|211,Hennessey|Matheus|Rice|Reed,0,0
2022-23,FAIL,14,11.158,32.0,48.0,80.0,2|335|369|66,Leno|Rashford|Almirón|Solanke,0,0
2022-23,FAIL,15,9.7492,11.0,40.0,51.0,518|66|6|593,Hennessey|Solanke|Partey|Casemiro,0,0
2022-23,FAIL,16,8.2756,5.0,38.0,43.0,518|66|558|380,Hennessey|Solanke|Bueno|Lyle Taylor,0,0
2022-23,FAIL,17,10.8472,13.0,56.0,69.0,2|614|30|690,Leno|Willian|Ings|João Félix,0,0
2022-23,FAIL,18,10.4732,9.0,37.0,46.0,518|558|62|66,Hennessey|Bueno|Moore|Solanke,0,0
2022-23,FAIL,19,10.624,7.0,66.0,73.0,81|46|595|62,Raya|Douglas Luiz|Zanka|Moore,0,0
2022-23,FAIL,20,13.3668,16.0,62.0,78.0,426|628|92|11,Forster|Aurier|Pinnock|Nketiah,0,1
2022-23,FAIL,21,9.7424,6.0,69.0,75.0,518|73|558|619,Hennessey|Kelly|Bueno|Gnonto,0,0
2022-23,FAIL,22,12.2316,17.0,81.0,98.0,133|628|699|448,Arrizabalaga|Aurier|Mudryk|Perišić,0,0
2022-23,FAIL,23,11.0656,10.0,90.0,100.0,133|470|619|73,Arrizabalaga|Diop|Gnonto|Kelly,0,0
2022-23,FAIL,24,11.41,12.0,55.0,67.0,133|341|586|619,Arrizabalaga|Wan-Bissaka|Estupiñán|Gnonto,0,0
2022-23,FAIL,25,14.0424,22.0,89.0,111.0,478|318|445|210,Sá|Haaland|Emerson Royal|Mitrović,0,0
2022-23,FAIL,26,10.1516,9.0,68.0,77.0,518|410|602|619,Hennessey|Bednarek|Renan Lodi|Gnonto,0,0
2022-23,FAIL,27,15.3944,32.0,75.0,107.0,422|357|318|427,Bazunu|Trippier|Haaland|Kane,0,0
2022-23,FAIL,28,11.5472,12.0,41.0,53.0,133|493|704|233,Arrizabalaga|Gibbs-White|Sarabia|Harrison,0,0
2022-23,FAIL,29,22.832,27.0,81.0,108.0,133|233|342|222,Arrizabalaga|Harrison|Dalot|Ayling,1,0
2022-23,FAIL,30,11.7276,12.0,49.0,61.0,548|85|92|66,Iversen|Henry|Pinnock|Solanke,0,0
2022-23,FAIL,31,11.3,3.0,64.0,67.0,426|116|199|410,Forster|Mac Allister|Tarkowski|Bednarek,0,0
2022-23,FAIL,32,12.7852,9.0,57.0,66.0,81|169|85|233,Raya|Eze|Henry|Harrison,0,0
2022-23,FAIL,33,11.308,9.0,94.0,103.0,133|222|461|365,Arrizabalaga|Ayling|Zouma|Murphy,0,0
2022-23,FAIL,34,12.3372,5.0,131.0,136.0,548|461|463|237,Iversen|Zouma|Coufal|Greenwood,0,0
2022-23,FAIL,35,11.2336,2.0,54.0,56.0,518|66|461|180,Hennessey|Solanke|Zouma|Keane,0,0
2022-23,FAIL,36,13.3248,8.0,63.0,71.0,81|342|145|180,Raya|Dalot|Havertz|Keane,0,0
2022-23,FAIL,37,16.2536,10.0,63.0,73.0,355|145|366|733,Dubravka|Havertz|Schär|Pedro Porro,0,0
