season,gw,deadline_utc,last_pre_snapshot_utc,lag_hours,pre_deadline_ok
2022-23,1,2022-08-05T17:30:00+00:00,2022-08-05T12:49:00+00:00,4.68,True
2022-23,2,2022-08-13T10:00:00+00:00,2022-08-13T06:27:00+00:00,3.55,True
2022-23,3,2022-08-20T10:00:00+00:00,2022-08-20T06:28:00+00:00,3.53,True
2022-23,4,2022-08-27T10:00:00+00:00,2022-08-27T06:28:00+00:00,3.53,True
2022-23,5,2022-08-30T17:00:00+00:00,2022-08-30T12:52:00+00:00,4.13,True
2022-23,6,2022-09-03T10:00:00+00:00,2022-09-03T06:28:00+00:00,3.53,True
2022-23,7,2022-09-10T10:00:00+00:00,2022-09-10T06:33:00+00:00,3.45,True
2022-23,8,2022-09-16T17:30:00+00:00,2022-09-16T12:49:00+00:00,4.68,True
2022-23,9,2022-10-01T10:00:00+00:00,2022-10-01T06:41:00+00:00,3.32,True
2022-23,10,2022-10-08T12:30:00+00:00,2022-10-08T06:35:00+00:00,5.92,True
2022-23,11,2022-10-14T17:30:00+00:00,2022-10-14T12:58:00+00:00,4.53,True
2022-23,12,2022-10-18T17:00:00+00:00,2022-10-18T13:00:00+00:00,4.0,True
2022-23,13,2022-10-22T10:00:00+00:00,2022-10-22T06:36:00+00:00,3.4,True
2022-23,14,2022-10-29T10:00:00+00:00,2022-10-29T06:30:00+00:00,3.5,True
2022-23,15,2022-11-05T13:30:00+00:00,2022-11-05T12:41:00+00:00,0.82,True
2022-23,16,2022-11-12T11:00:00+00:00,2022-11-12T06:29:00+00:00,4.52,True
2022-23,17,2022-12-26T11:00:00+00:00,2022-12-26T06:24:00+00:00,4.6,True
2022-23,18,2022-12-30T18:15:00+00:00,2022-12-30T12:34:00+00:00,5.68,True
2022-23,19,2023-01-02T16:00:00+00:00,2023-01-02T12:37:00+00:00,3.38,True
2022-23,20,2023-01-13T18:30:00+00:00,2023-01-13T18:23:00+00:00,0.12,True
2022-23,21,2023-01-21T11:00:00+00:00,2023-01-21T06:23:00+00:00,4.62,True
2022-23,22,2023-02-03T18:30:00+00:00,2023-02-03T18:24:00+00:00,0.1,True
2022-23,23,2023-02-11T11:00:00+00:00,2023-02-11T06:23:00+00:00,4.62,True
2022-23,24,2023-02-18T11:00:00+00:00,2023-02-18T06:23:00+00:00,4.62,True
2022-23,25,2023-02-24T18:30:00+00:00,2023-02-24T18:25:00+00:00,0.08,True
2022-23,26,2023-03-04T11:00:00+00:00,2023-03-04T06:24:00+00:00,4.6,True
2022-23,27,2023-03-11T11:00:00+00:00,2023-03-11T06:23:00+00:00,4.62,True
2022-23,28,2023-03-17T18:30:00+00:00,2023-03-17T18:23:00+00:00,0.12,True
2022-23,29,2023-04-01T10:00:00+00:00,2023-04-01T06:21:00+00:00,3.65,True
2022-23,30,2023-04-08T10:00:00+00:00,2023-04-08T06:21:00+00:00,3.65,True
2022-23,31,2023-04-15T10:00:00+00:00,2023-04-15T06:21:00+00:00,3.65,True
2022-23,32,2023-04-21T17:30:00+00:00,2023-04-21T12:34:00+00:00,4.93,True
2022-23,33,2023-04-25T17:00:00+00:00,2023-04-25T12:35:00+00:00,4.42,True
2022-23,34,2023-04-29T10:00:00+00:00,2023-04-29T06:21:00+00:00,3.65,True
2022-23,35,2023-05-06T12:30:00+00:00,2023-05-06T06:21:00+00:00,6.15,True
2022-23,36,2023-05-13T10:00:00+00:00,2023-05-13T06:21:00+00:00,3.65,True
2022-23,37,2023-05-20T10:00:00+00:00,2023-05-20T06:21:00+00:00,3.65,True
2022-23,38,2023-05-28T14:00:00+00:00,2023-05-28T12:31:00+00:00,1.48,True
2023-24,1,2023-08-11T17:30:00+00:00,2023-08-11T12:31:00+00:00,4.98,True
2023-24,2,2023-08-18T17:15:00+00:00,2023-08-18T12:31:00+00:00,4.73,True
2023-24,3,2023-08-25T17:30:00+00:00,2023-08-25T12:32:00+00:00,4.97,True
