season,gw,deadline_utc,snapshot_utc,n_elements,ep_next_set,ep_this_set,form_set,n_teams,has_fixtures_in_bootstrap,n_teams_strength_diff_vs_vaastav,ok
2022-23,1,2022-08-05T17:30:00+00:00,2022-08-05T12:49:00+00:00,558,558,0,558,20,0,20,True
2022-23,5,2022-08-30T17:00:00+00:00,2022-08-30T12:52:00+00:00,603,603,603,603,20,0,20,True
2022-23,10,2022-10-08T12:30:00+00:00,2022-10-08T06:35:00+00:00,638,638,638,638,20,0,20,True
2022-23,15,2022-11-05T13:30:00+00:00,2022-11-05T12:41:00+00:00,656,656,656,656,20,0,20,True
2022-23,20,2023-01-13T18:30:00+00:00,2023-01-13T18:23:00+00:00,694,694,694,694,20,0,20,True
2022-23,25,2023-02-24T18:30:00+00:00,2023-02-24T18:25:00+00:00,746,746,746,746,20,0,0,True
2022-23,30,2023-04-08T10:00:00+00:00,2023-04-08T06:21:00+00:00,754,754,754,754,20,0,0,True
2022-23,35,2023-05-06T12:30:00+00:00,2023-05-06T06:21:00+00:00,762,762,762,762,20,0,0,True
2022-23,38,2023-05-28T14:00:00+00:00,2023-05-28T12:31:00+00:00,775,775,775,775,20,0,0,True
2023-24,1,2023-08-11T17:30:00+00:00,2023-08-11T12:31:00+00:00,641,641,0,641,20,0,20,True
2023-24,5,2023-09-16T10:00:00+00:00,2023-09-16T06:20:00+00:00,714,714,714,714,20,0,20,True
2023-24,10,2023-10-27T17:30:00+00:00,2023-10-27T12:33:00+00:00,730,730,730,730,20,0,20,True
2023-24,15,2023-12-05T18:00:00+00:00,2023-12-05T12:34:00+00:00,753,753,753,753,20,0,20,True
2023-24,20,2023-12-30T11:00:00+00:00,2023-12-30T06:21:00+00:00,771,771,771,771,20,0,20,True
2023-24,25,2024-02-17T11:00:00+00:00,2024-02-17T06:21:00+00:00,815,815,815,815,20,0,20,True
2023-24,30,2024-03-30T11:00:00+00:00,2024-03-30T06:21:00+00:00,838,838,838,838,20,0,0,True
2023-24,35,2024-04-27T10:00:00+00:00,2024-04-27T06:23:00+00:00,856,856,856,856,20,0,0,True
2023-24,38,2024-05-19T13:30:00+00:00,2024-05-19T12:33:00+00:00,861,861,861,861,20,0,0,True
2024-25,1,2024-08-16T17:30:00+00:00,2024-08-16T12:38:00+00:00,610,610,0,610,20,0,20,True
2024-25,5,2024-09-21T10:00:00+00:00,2024-09-21T06:28:00+00:00,659,659,659,659,20,0,20,True
2024-25,10,2024-11-02T11:00:00+00:00,2024-11-02T06:30:00+00:00,670,670,670,670,20,0,20,True
2024-25,15,2024-12-07T11:00:00+00:00,2024-12-07T06:31:00+00:00,693,693,693,693,20,0,20,True
2024-25,20,2025-01-04T11:00:00+00:00,2025-01-04T06:29:00+00:00,709,709,709,709,20,0,20,True
2024-25,25,2025-02-14T18:30:00+00:00,2025-02-14T18:30:00+00:00,773,773,773,773,20,0,20,True
2024-25,30,2025-04-01T17:15:00+00:00,2025-04-01T12:50:00+00:00,789,789,789,789,20,0,20,True
2024-25,35,2025-05-02T17:30:00+00:00,2025-05-02T12:49:00+00:00,800,800,800,800,20,0,0,True
2024-25,38,2025-05-25T13:30:00+00:00,2025-05-25T12:47:00+00:00,801,801,801,801,20,0,0,True
2025-26,1,2025-08-15T17:30:00+00:00,2025-08-15T12:52:00+00:00,685,685,0,685,20,0,20,True
2025-26,5,2025-09-20T10:00:00+00:00,2025-09-20T06:32:00+00:00,740,740,740,740,20,0,20,True
2025-26,10,2025-11-01T13:30:00+00:00,2025-11-01T12:47:00+00:00,746,746,746,746,20,0,20,True
2025-26,15,2025-12-06T11:00:00+00:00,2025-12-06T06:36:00+00:00,758,758,758,758,20,0,20,True
2025-26,20,2026-01-03T11:00:00+00:00,2026-01-03T06:40:00+00:00,780,780,780,780,20,0,20,True
2025-26,25,2026-02-06T18:30:00+00:00,2026-02-06T13:15:00+00:00,817,817,817,817,20,0,20,True
2025-26,30,2026-03-14T13:30:00+00:00,2026-03-14T13:08:00+00:00,820,820,820,820,20,0,20,True
2025-26,35,2026-05-01T17:30:00+00:00,2026-05-01T13:43:00+00:00,830,830,830,830,20,0,0,True
2025-26,38,2026-05-24T13:30:00+00:00,2026-05-24T08:39:00+00:00,840,840,840,840,20,0,0,True
