season,base_gw,gw,n_teams_strength_changed_vs_gw1_sample,n_teams
2022-23,1,5,0,20
2022-23,1,10,19,20
2022-23,1,15,19,20
2022-23,1,20,20,20
2022-23,1,25,20,20
2022-23,1,30,20,20
2022-23,1,35,20,20
2022-23,1,38,20,20
2023-24,1,5,0,20
2023-24,1,10,0,20
2023-24,1,15,0,20
2023-24,1,20,0,20
2023-24,1,25,20,20
2023-24,1,30,20,20
2023-24,1,35,20,20
2023-24,1,38,20,20
2024-25,1,5,0,20
2024-25,1,10,20,20
2024-25,1,15,20,20
2024-25,1,20,20,20
2024-25,1,25,20,20
2024-25,1,30,20,20
2024-25,1,35,20,20
2024-25,1,38,20,20
2025-26,1,5,0,20
2025-26,1,10,20,20
2025-26,1,15,20,20
2025-26,1,20,20,20
2025-26,1,25,20,20
2025-26,1,30,20,20
2025-26,1,35,20,20
2025-26,1,38,20,20
