season,e024_gate,gw,held_freeze_gw,excluded,exclude_reason,u_blank,u_held,u_fh,cap_normal,cap_fh,delta_cap,held_captain_id,held_captain,blank_captain_id,blank_captain,is_t_star,is_g_star,is_g_star_effective
2025-26,FAIL,1,1,0,,37.1628,37.1628,0.0,53.0,53.0,0.0,381,M.Salah,381,M.Salah,0,0,0
2025-26,FAIL,2,1,0,,42.0756,34.4792,7.5964,27.0,59.0,32.0,381,M.Salah,430,Haaland,0,0,0
2025-26,FAIL,3,1,0,,41.1252,31.1636,9.9616,40.0,28.0,-12.0,381,M.Salah,381,M.Salah,0,0,0
2025-26,FAIL,4,1,0,,40.3504,19.5956,20.7548,48.0,39.0,-9.0,627,Johnstone,499,Isak,0,0,0
2025-26,FAIL,5,1,0,,44.3176,30.7364,13.5812,35.0,56.0,21.0,381,M.Salah,381,M.Salah,0,0,0
2025-26,FAIL,6,1,0,,46.6872,27.9536,18.7336,16.0,50.0,34.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,7,1,0,,46.2448,27.844,18.4008,29.0,62.0,33.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,8,1,0,,46.9708,26.82,20.1508,50.0,72.0,22.0,381,M.Salah,430,Haaland,0,0,0
2025-26,FAIL,9,1,0,,47.3048,30.1528,17.152,41.0,51.0,10.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,10,1,0,,47.6408,31.0948,16.546,44.0,74.0,30.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,11,1,0,,47.7172,28.7548,18.9624,29.0,38.0,9.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,12,1,0,,46.586,30.5972,15.9888,21.0,31.0,10.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,13,1,0,,47.892,31.6468,16.2452,39.0,47.0,8.0,235,Palmer,430,Haaland,0,0,0
2025-26,FAIL,14,1,0,,45.2904,33.3108,11.9796,30.0,51.0,21.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,15,1,0,,46.5072,31.3888,15.1184,64.0,57.0,-7.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,16,1,0,,47.3008,32.9452,14.3556,70.0,81.0,11.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,17,1,0,,46.396,30.6984,15.6976,31.0,78.0,47.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,18,1,0,,46.442,24.8368,21.6052,25.0,29.0,4.0,236,Neto,430,Haaland,0,0,0
2025-26,FAIL,19,1,0,,45.7048,26.7824,18.9224,40.0,59.0,19.0,485,Gordon,430,Haaland,0,0,0
2025-26,FAIL,20,1,0,,46.3124,27.1048,19.2076,21.0,35.0,14.0,485,Gordon,430,Haaland,0,1,1
2025-26,FAIL,21,1,0,,47.9252,29.7992,18.126,38.0,51.0,13.0,485,Gordon,430,Haaland,0,0,0
2025-26,FAIL,22,1,0,,45.7788,31.6168,14.162,52.0,47.0,-5.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,23,1,0,,49.0528,31.0848,17.968,37.0,23.0,-14.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,24,1,0,,47.2328,32.924,14.3088,51.0,78.0,27.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,25,1,0,,49.7216,29.204,20.5176,49.0,59.0,10.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,26,1,0,,67.9576,34.8992,33.0584,41.0,81.0,40.0,749,Mané,21,Rice,0,0,0
2025-26,FAIL,27,1,0,,51.9064,32.5312,19.3752,39.0,34.0,-5.0,449,B.Fernandes,430,Haaland,0,0,0
2025-26,FAIL,28,1,0,,51.57,38.0816,13.4884,45.0,56.0,11.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,29,1,0,,49.5148,33.2296,16.2852,50.0,89.0,39.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,30,1,0,,53.07,38.764,14.306,41.0,68.0,27.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,31,1,0,,49.5244,30.4028,19.1216,46.0,68.0,22.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,32,1,0,,53.0224,38.5304,14.492,38.0,55.0,17.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,33,1,0,,97.2404,51.06,46.1804,45.0,85.0,40.0,235,Palmer,430,Haaland,0,0,0
2025-26,FAIL,34,1,0,,50.9992,24.554,26.4452,32.0,48.0,16.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,35,1,0,,53.2088,36.1452,17.0636,23.0,64.0,41.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,36,1,0,,82.9984,33.5656,49.4328,16.0,66.0,50.0,449,B.Fernandes,430,Haaland,1,0,0
2025-26,FAIL,37,1,0,,54.3704,38.6568,15.7136,39.0,71.0,32.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,38,1,0,,52.7536,35.338,17.4156,64.0,28.0,-36.0,449,B.Fernandes,430,Haaland,0,0,0
