season,e024_gate,gw,held_freeze_gw,excluded,timing_excluded,exclude_reason,u_wc,n_tau,cap_held0,cap_blank,blank_captain_id,blank_captain,held_captain_id,held_captain,is_t_star,is_g_star,is_g_star_effective
2025-26,FAIL,1,1,0,0,,-50.4548,38,53.0,53.0,381,M.Salah,381,M.Salah,0,0,0
2025-26,FAIL,2,1,0,0,,90.132,37,27.0,59.0,430,Haaland,381,M.Salah,0,0,0
2025-26,FAIL,3,1,0,0,,120.3996,36,40.0,28.0,381,M.Salah,381,M.Salah,0,0,0
2025-26,FAIL,4,1,0,0,,352.5204,35,48.0,39.0,499,Isak,627,Johnstone,0,0,0
2025-26,FAIL,5,1,0,0,,173.8916,34,35.0,56.0,381,M.Salah,381,M.Salah,0,0,0
2025-26,FAIL,6,1,0,0,,411.7872,33,16.0,50.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,7,1,0,0,,498.65,32,29.0,62.0,430,Haaland,449,B.Fernandes,1,0,0
2025-26,FAIL,8,1,0,0,,380.6956,31,50.0,72.0,430,Haaland,381,M.Salah,0,0,0
2025-26,FAIL,9,1,0,0,,468.1872,30,41.0,51.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,10,1,0,0,,245.2,29,44.0,74.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,11,1,0,0,,385.7204,28,29.0,38.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,12,1,0,0,,298.7848,27,21.0,31.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,13,1,0,0,,291.612,26,39.0,47.0,430,Haaland,235,Palmer,0,0,0
2025-26,FAIL,14,1,0,0,,381.6608,25,30.0,51.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,15,1,0,0,,191.7352,24,64.0,57.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,16,1,0,0,,371.5088,23,70.0,81.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,17,1,0,0,,180.7956,22,31.0,78.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,18,1,0,0,,271.4112,21,25.0,29.0,430,Haaland,236,Neto,0,0,0
2025-26,FAIL,19,1,0,0,,304.0708,20,40.0,59.0,430,Haaland,485,Gordon,0,0,0
2025-26,FAIL,20,1,0,0,,181.8056,19,21.0,35.0,430,Haaland,485,Gordon,0,1,1
2025-26,FAIL,21,1,0,0,,75.8056,18,38.0,51.0,430,Haaland,485,Gordon,0,0,0
2025-26,FAIL,22,1,0,0,,205.6924,17,52.0,47.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,23,1,0,0,,65.7172,16,37.0,23.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,24,1,0,0,,231.3028,15,51.0,78.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,25,1,0,0,,208.6124,14,49.0,59.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,26,1,0,0,,85.3488,13,41.0,81.0,21,Rice,749,Mané,0,0,0
2025-26,FAIL,27,1,0,0,,79.9432,12,39.0,34.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,28,1,0,0,,9.82,11,45.0,56.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,29,1,0,0,,60.1588,10,50.0,89.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,30,1,0,0,,77.6716,9,41.0,68.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,31,1,0,0,,17.654,8,46.0,68.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,32,1,0,0,,165.9568,7,38.0,55.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,33,1,0,0,,-472.8356,6,45.0,85.0,430,Haaland,235,Palmer,0,0,0
2025-26,FAIL,34,1,0,0,,134.316,5,32.0,48.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,35,1,0,0,,79.7288,4,23.0,64.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,36,1,0,0,,76.746,3,16.0,66.0,430,Haaland,449,B.Fernandes,0,0,0
2025-26,FAIL,37,1,0,0,,30.4028,2,39.0,71.0,449,B.Fernandes,449,B.Fernandes,0,0,0
2025-26,FAIL,38,1,0,0,,17.4156,1,64.0,28.0,430,Haaland,449,B.Fernandes,0,0,0
