season,e024_gate,candidate,gw,class,gap_bucket,n_enter,n_exit,n_pos_touched,xi0_ctrl,xi0_cand,xi0_worse_gw,enter_id,enter_name,enter_pos,enter_ctrl_mu,enter_cand_mu,enter_ctrl_p60,enter_mins,enter_pts,exit_id,exit_name,exit_pos,exit_ctrl_mu,exit_mins,exit_pts,abs_d_ctrl,blank_enter,primary_harm,paired
2022-23,FAIL,v1_adxg,1,BUDGET_FLEX,mid,2,2,1,1,0,0,340,Sancho,MID,2.876,2.9484,0.6759,89.0,2.0,465,Bowen,MID,3.1896,90.0,2.0,0.3136,0,0,1
2022-23,FAIL,v1_adxg,1,BUDGET_FLEX,near,2,2,1,1,0,0,446,Kulusevski,MID,2.8276,3.0056,0.6759,85.0,13.0,264,Barnes,MID,2.6736,0.0,0.0,0.154,0,0,1
2022-23,FAIL,v1_adxg,2,BUDGET_FLEX,mid,2,2,2,2,2,0,12,Smith Rowe,MID,2.9504,3.1848,0.4814,6.0,1.0,13,Saka,MID,3.5288,83.0,2.0,0.5784,0,0,1
2022-23,FAIL,v1_adxg,2,BUDGET_FLEX,near,2,2,2,2,2,0,318,Haaland,FWD,3.5172,4.178,0.6759,73.0,5.0,454,Richarlison,FWD,3.4296,33.0,1.0,0.0876,0,0,1
2022-23,FAIL,v1_adxg,3,BUDGET_FLEX,near,2,2,2,4,4,0,318,Haaland,FWD,3.298,3.772,0.6759,90.0,6.0,427,Kane,FWD,3.4352,90.0,6.0,0.1372,0,0,1
2022-23,FAIL,v1_adxg,3,BUDGET_FLEX,near,2,2,2,4,4,0,465,Bowen,MID,2.9608,2.9916,0.6759,90.0,2.0,333,Fernandes,MID,3.156,90.0,1.0,0.1952,0,0,1
2022-23,FAIL,v1_adxg,5,BUDGET_FLEX,near,5,5,2,3,1,0,10,White,DEF,2.2764,2.416,0.6745,64.0,8.0,258,Castagne,DEF,2.3148,0.0,0.0,0.0384,0,0,1
2022-23,FAIL,v1_adxg,5,BUDGET_FLEX,near,5,5,2,3,1,0,16,Gabriel,DEF,2.3096,2.4468,0.6745,90.0,2.0,156,Ward,DEF,2.308,90.0,2.0,0.0016,0,0,1
2022-23,FAIL,v1_adxg,5,BUDGET_FLEX,mid,5,5,2,3,1,0,285,Alexander-Arnold,DEF,2.6452,3.1624,0.6759,70.0,2.0,257,Amartey,DEF,2.3476,0.0,0.0,0.2976,0,0,1
2022-23,FAIL,v1_adxg,5,BUDGET_FLEX,near,5,5,2,3,1,0,299,Walker,DEF,2.3004,2.6868,0.6745,90.0,6.0,209,Tosin,DEF,2.296,90.0,2.0,0.0044,0,0,1
