season,e024_gate,candidate,gw,role,n_enter,n_exit,n_pos_touched,n_unpaired_enter,n_unpaired_exit,flex_flag,budget_delta,n_squad_changes,cap_ctrl,cap_cand,cap_delta,g_treat,xi0_ctrl,xi0_cand,xi0_worse_gw,enter_id,enter_name,enter_pos,enter_cand_u,enter_cand_mu,enter_ctrl_mu,enter_cost,enter_mins,enter_pts,exit_id,exit_name,exit_pos,exit_cand_u,exit_mins,exit_pts,du_cand,paired,blank_enter,primary_harm,primary_mover_id
2022-23,FAIL,v1_adxg,1,companion,2,2,1,0,0,1,0,3,41.0,54.0,13.0,0.3422,1,0,0,340,Sancho,MID,2.9484,2.9484,2.876,75,89.0,2.0,465,Bowen,MID,2.892,90.0,2.0,0.0564,1,0,0,446
2022-23,FAIL,v1_adxg,1,primary,2,2,1,0,0,1,0,3,41.0,54.0,13.0,0.3422,1,0,0,446,Kulusevski,MID,3.0056,3.0056,2.8276,80,85.0,13.0,264,Barnes,MID,2.6796,0.0,0.0,0.326,1,0,0,446
2022-23,FAIL,v1_adxg,2,companion,2,2,2,0,0,1,10,3,35.0,50.0,15.0,0.2201,2,2,0,12,Smith Rowe,MID,3.1848,3.1848,2.9504,59,6.0,1.0,13,Saka,MID,3.554,83.0,2.0,-0.3692,1,0,0,318
2022-23,FAIL,v1_adxg,2,primary,2,2,2,0,0,1,10,3,35.0,50.0,15.0,0.2201,2,2,0,318,Haaland,FWD,4.178,4.178,3.5172,116,73.0,5.0,454,Richarlison,FWD,3.3584,33.0,1.0,0.8196,1,0,0,318
2022-23,FAIL,v1_adxg,3,primary,2,2,2,0,0,1,-11,5,18.0,19.0,1.0,0.207,4,4,0,318,Haaland,FWD,3.772,3.772,3.298,117,90.0,6.0,427,Kane,FWD,3.6508,90.0,6.0,0.1212,1,0,0,318
2022-23,FAIL,v1_adxg,3,companion,2,2,2,0,0,1,-11,5,18.0,19.0,1.0,0.207,4,4,0,465,Bowen,MID,2.9916,2.9916,2.9608,84,90.0,2.0,333,Fernandes,MID,2.9888,90.0,1.0,0.0028,1,0,0,318
2022-23,FAIL,v1_adxg,5,companion,5,5,2,0,0,1,-4,8,57.0,67.0,10.0,0.8097,3,1,0,10,White,DEF,2.416,2.416,2.2764,45,64.0,8.0,257,Amartey,DEF,2.2844,0.0,0.0,0.1316,1,0,0,285
2022-23,FAIL,v1_adxg,5,companion,5,5,2,0,0,1,-4,8,57.0,67.0,10.0,0.8097,3,1,0,16,Gabriel,DEF,2.4468,2.4468,2.3096,50,90.0,2.0,258,Castagne,DEF,2.242,0.0,0.0,0.2048,1,0,0,285
2022-23,FAIL,v1_adxg,5,primary,5,5,2,0,0,1,-4,8,57.0,67.0,10.0,0.8097,3,1,0,285,Alexander-Arnold,DEF,3.1624,3.1624,2.6452,75,70.0,2.0,156,Ward,DEF,2.196,90.0,2.0,0.9664,1,0,0,285
2022-23,FAIL,v1_adxg,5,companion,5,5,2,0,0,1,-4,8,57.0,67.0,10.0,0.8097,3,1,0,299,Walker,DEF,2.6868,2.6868,2.3004,51,90.0,6.0,209,Tosin,DEF,2.2228,90.0,2.0,0.464,1,0,0,285
2022-23,FAIL,v1_adxg,5,companion,5,5,2,0,0,1,-4,8,57.0,67.0,10.0,0.8097,3,1,0,303,Mahrez,MID,3.1476,3.1476,2.6836,77,35.0,4.0,301,De Bruyne,MID,4.0712,21.0,1.0,-0.9236,1,0,0,285
2022-23,FAIL,v1_adxg,6,primary,2,2,2,1,1,1,-10,5,67.0,66.0,-1.0,0.2036,0,0,0,13,Saka,MID,2.9268,2.9268,2.8748,78,90.0,7.0,609,Antony,MID,2.8116,57.0,6.0,0.1152,1,0,0,13
2022-23,FAIL,v1_adxg,6,companion,2,2,2,1,1,1,-10,5,67.0,66.0,-1.0,0.2036,0,0,0,480,Neves,MID,2.6204,2.6204,2.608,55,90.0,2.0,,,,,,,,0,0,0,13
2022-23,FAIL,v1_adxg,8,companion,2,2,2,1,1,1,-8,2,20.0,25.0,5.0,0.042,0,0,0,16,Gabriel,DEF,2.4868,2.4868,2.3936,51,90.0,6.0,,,,,,,,0,0,0,445
2022-23,FAIL,v1_adxg,8,primary,2,2,2,1,1,1,-8,2,20.0,25.0,5.0,0.042,0,0,0,445,Emerson Royal,DEF,2.5884,2.5884,2.4252,51,35.0,1.0,526,Mee,DEF,2.364,90.0,1.0,0.2244,1,0,0,445
2022-23,FAIL,v1_adxg,9,primary,1,1,1,0,0,0,16,4,62.0,56.0,-6.0,0.2518,1,2,1,312,Dias,DEF,2.6072,2.6072,2.378,60,0.0,0.0,71,Mepham,DEF,2.3568,90.0,6.0,0.2504,1,1,1,312
2022-23,FAIL,v1_adxg,10,primary,2,2,3,1,1,1,40,2,33.0,47.0,14.0,0.0835,2,2,0,288,Diogo Jota,FWD,2.59,2.59,2.4932,89,80.0,5.0,227,Bamford,FWD,2.5028,61.0,2.0,0.0872,1,0,0,288
2022-23,FAIL,v1_adxg,10,companion,2,2,3,1,1,1,40,2,33.0,47.0,14.0,0.0835,2,2,0,609,Antony,MID,2.3964,2.3964,2.39,75,90.0,8.0,,,,,,,,0,0,0,288
