season,e024_gate,candidate,gw,primary_mover_id,n_enter,n_companion,n_blank_companion,xi0_ctrl,xi0_cand,xi0_worse_gw,cap_ctrl,cap_cand,pair_feasible,pair_reason,xi0_pair,cap_pair,pair_xi0_better,pair_cap_better,hold_feasible,n_hold_swaps,xi0_hold,cap_hold,hold_xi0_better,hold_cap_better
2022-23,FAIL,v1_adxg,1,446,2,1,0,1,0,0,41.0,54.0,1,ok,0,54.0,0,0,1,0,0,54.0,0,0
2022-23,FAIL,v1_adxg,2,318,2,1,0,2,2,0,35.0,50.0,1,ok,2,51.0,0,1,1,0,2,50.0,0,0
2022-23,FAIL,v1_adxg,3,318,2,1,0,4,4,0,18.0,19.0,1,ok,4,18.0,0,0,1,0,4,19.0,0,0
2022-23,FAIL,v1_adxg,5,285,5,4,0,3,1,0,57.0,67.0,1,ok,3,50.0,0,0,1,0,1,67.0,0,0
2022-23,FAIL,v1_adxg,6,13,2,1,0,0,0,0,67.0,66.0,1,ok,0,69.0,0,1,1,0,0,66.0,0,0
2022-23,FAIL,v1_adxg,8,445,2,1,0,0,0,0,20.0,25.0,1,ok,0,20.0,0,0,1,0,0,25.0,0,0
2022-23,FAIL,v1_adxg,9,312,1,0,0,1,2,1,62.0,56.0,1,ok,2,56.0,0,0,1,0,2,56.0,0,0
2022-23,FAIL,v1_adxg,10,288,2,1,0,2,2,0,33.0,47.0,1,ok,2,40.0,0,0,1,0,2,47.0,0,0
2022-23,FAIL,v1_adxg,11,16,3,2,0,1,1,0,33.0,59.0,1,ok,1,35.0,0,0,1,0,1,59.0,0,0
2022-23,FAIL,v1_adxg,12,280,4,3,0,1,1,0,67.0,67.0,1,ok,1,72.0,0,1,1,0,1,67.0,0,0
2022-23,FAIL,v1_adxg,13,308,4,3,1,0,2,1,56.0,44.0,1,ok,1,50.0,1,1,1,1,1,46.0,1,1
2022-23,FAIL,v1_adxg,14,286,3,2,0,1,0,0,48.0,54.0,1,ok,1,48.0,0,0,1,0,0,54.0,0,0
2022-23,FAIL,v1_adxg,15,283,2,1,0,1,1,0,41.0,50.0,1,ok,1,58.0,0,1,1,0,1,50.0,0,0
2022-23,FAIL,v1_adxg,16,286,4,3,0,1,1,0,43.0,40.0,1,ok,1,38.0,0,0,1,0,1,40.0,0,0
2022-23,FAIL,v1_adxg,17,680,5,4,1,1,3,1,59.0,58.0,1,ok,2,53.0,1,0,1,1,2,65.0,1,1
2022-23,FAIL,v1_adxg,18,610,2,1,0,0,0,0,41.0,40.0,1,ok,0,41.0,0,1,1,0,0,40.0,0,0
2022-23,FAIL,v1_adxg,19,283,1,0,0,0,0,0,72.0,72.0,0,primary_unpaired,,,,,1,0,0,72.0,0,0
2022-23,FAIL,v1_adxg,20,308,2,1,0,0,0,0,69.0,74.0,1,ok,0,69.0,0,0,1,0,0,74.0,0,0
2022-23,FAIL,v1_adxg,21,357,3,2,0,0,0,0,58.0,77.0,1,ok,0,69.0,0,0,1,0,0,77.0,0,0
2022-23,FAIL,v1_adxg,22,301,1,0,0,0,0,0,75.0,74.0,1,ok,0,74.0,0,0,1,0,0,74.0,0,0
2022-23,FAIL,v1_adxg,23,16,3,2,0,0,0,0,93.0,87.0,1,ok,0,93.0,0,1,1,0,0,87.0,0,0
2022-23,FAIL,v1_adxg,24,128,2,1,0,1,2,1,49.0,45.0,1,ok,2,47.0,0,1,1,0,2,45.0,0,0
2022-23,FAIL,v1_adxg,25,285,2,1,0,0,0,0,81.0,83.0,1,ok,0,91.0,0,1,1,0,0,83.0,0,0
2022-23,FAIL,v1_adxg,26,284,2,1,0,0,0,0,61.0,58.0,1,ok,0,69.0,0,1,1,0,0,58.0,0,0
2022-23,FAIL,v1_adxg,28,690,3,2,0,0,0,0,54.0,57.0,1,ok,0,57.0,0,0,1,0,0,57.0,0,0
2022-23,FAIL,v1_adxg,29,106,1,0,0,1,1,0,80.0,78.0,1,ok,1,78.0,0,0,1,0,1,78.0,0,0
2022-23,FAIL,v1_adxg,30,301,4,3,0,0,0,0,51.0,56.0,1,ok,0,58.0,0,1,1,0,0,56.0,0,0
2022-23,FAIL,v1_adxg,31,285,5,4,0,1,0,0,61.0,76.0,1,ok,0,70.0,0,0,1,0,0,76.0,0,0
2022-23,FAIL,v1_adxg,32,427,2,1,0,0,0,0,72.0,67.0,1,ok,0,76.0,0,1,1,0,0,67.0,0,0
2022-23,FAIL,v1_adxg,33,283,3,2,0,0,0,0,77.0,73.0,1,ok,0,76.0,0,1,1,0,0,73.0,0,0
2022-23,FAIL,v1_adxg,34,280,2,1,1,0,1,1,114.0,91.0,1,ok,0,109.0,1,1,1,1,0,109.0,1,1
2022-23,FAIL,v1_adxg,35,303,3,2,1,0,1,1,64.0,61.0,1,ok,0,61.0,1,0,1,1,0,63.0,1,1
2022-23,FAIL,v1_adxg,36,342,2,1,0,1,1,0,101.0,90.0,1,ok,2,84.0,0,0,1,0,1,90.0,0,0
2022-23,FAIL,v1_adxg,38,355,1,0,0,1,1,0,38.0,33.0,1,ok,1,33.0,0,0,1,0,1,33.0,0,0
2023-24,PASS,v1_adxg,1,349,5,4,1,0,1,1,60.0,50.0,1,ok,0,59.0,1,1,1,1,0,57.0,1,1
2023-24,PASS,v1_adxg,2,19,3,2,0,2,1,0,30.0,36.0,1,ok,2,30.0,0,0,1,0,1,36.0,0,0
2023-24,PASS,v1_adxg,3,355,5,4,1,1,2,1,51.0,65.0,1,ok,1,50.0,1,0,1,1,1,67.0,1,1
2023-24,PASS,v1_adxg,4,664,1,0,0,2,2,0,35.0,38.0,1,ok,2,38.0,0,0,1,0,2,38.0,0,0
2023-24,PASS,v1_adxg,5,195,2,1,0,1,1,0,38.0,45.0,1,ok,1,36.0,0,0,1,0,1,45.0,0,0
2023-24,PASS,v1_adxg,6,275,2,1,0,0,0,0,59.0,70.0,1,ok,0,69.0,0,0,1,0,0,70.0,0,0
2023-24,PASS,v1_adxg,7,307,1,0,0,0,0,0,66.0,51.0,1,ok,0,51.0,0,0,1,0,0,51.0,0,0
2023-24,PASS,v1_adxg,8,516,2,1,0,0,0,0,59.0,59.0,1,ok,0,60.0,0,1,1,0,0,59.0,0,0
2023-24,PASS,v1_adxg,9,506,3,2,0,0,0,0,98.0,94.0,1,ok,0,103.0,0,1,1,0,0,94.0,0,0
2023-24,PASS,v1_adxg,10,29,4,3,1,1,2,1,65.0,66.0,1,ok,1,70.0,1,1,1,1,1,76.0,1,1
2023-24,PASS,v1_adxg,11,506,2,1,0,0,0,0,21.0,21.0,1,ok,0,20.0,0,0,1,0,0,21.0,0,0
2023-24,PASS,v1_adxg,13,373,2,1,0,0,0,0,40.0,40.0,1,ok,0,45.0,0,1,1,0,0,40.0,0,0
2023-24,PASS,v1_adxg,14,344,2,1,0,0,0,0,57.0,49.0,1,ok,0,60.0,0,1,1,0,0,49.0,0,0
2023-24,PASS,v1_adxg,15,19,4,3,0,0,0,0,39.0,34.0,1,ok,0,41.0,0,1,1,0,0,34.0,0,0
2023-24,PASS,v1_adxg,16,134,6,5,0,1,1,0,55.0,59.0,1,ok,1,60.0,0,1,1,0,1,59.0,0,0
2023-24,PASS,v1_adxg,17,343,3,2,0,1,1,0,59.0,57.0,1,ok,1,60.0,0,1,1,0,1,57.0,0,0
2023-24,PASS,v1_adxg,19,290,3,2,0,0,0,0,28.0,33.0,1,ok,0,36.0,0,1,1,0,0,33.0,0,0
2023-24,PASS,v1_adxg,20,353,4,3,0,0,0,0,84.0,93.0,1,ok,0,90.0,0,0,1,0,0,93.0,0,0
2023-24,PASS,v1_adxg,21,343,1,0,0,0,0,0,43.0,43.0,1,ok,0,43.0,0,0,1,0,0,43.0,0,0
2023-24,PASS,v1_adxg,22,353,4,3,0,0,0,0,69.0,78.0,1,ok,0,85.0,0,1,1,0,0,78.0,0,0
2023-24,PASS,v1_adxg,23,60,2,1,0,0,0,0,54.0,70.0,1,ok,0,71.0,0,1,1,0,0,70.0,0,0
2023-24,PASS,v1_adxg,24,290,5,4,0,0,0,0,66.0,80.0,1,ok,0,68.0,0,0,1,0,0,80.0,0,0
2023-24,PASS,v1_adxg,26,373,2,1,0,0,0,0,81.0,69.0,1,ok,0,65.0,0,0,1,0,0,69.0,0,0
2023-24,PASS,v1_adxg,27,313,2,1,0,1,0,0,74.0,82.0,1,ok,1,75.0,0,0,1,0,0,82.0,0,0
2023-24,PASS,v1_adxg,28,14,1,0,0,0,0,0,48.0,49.0,1,ok,0,49.0,0,0,1,0,0,49.0,0,0
2023-24,PASS,v1_adxg,29,34,3,2,0,0,0,0,31.0,20.0,1,ok,0,30.0,0,1,1,0,0,20.0,0,0
