season,e024_gate,candidate,gw,xi0_worse_gw,xi0_ctrl,xi0_cand,xi0_hold,cap_ctrl,cap_cand,cap_hold,oc_xi0_hold,oc_cap_hold,oc_xi0_ctrl,oc_cap_ctrl,pair_feasible,pair_reason,xi0_pair,cap_pair,oc_xi0_pair,oc_cap_pair
2022-23,FAIL,v1_adxg,1,0,1,0,0,41.0,54.0,54.0,0,0.0,-1,-13.0,1,ok,0,54.0,0,0.0
2022-23,FAIL,v1_adxg,2,0,2,2,2,35.0,50.0,50.0,0,0.0,0,-15.0,1,ok,2,51.0,0,1.0
2022-23,FAIL,v1_adxg,3,0,4,4,4,18.0,19.0,19.0,0,0.0,0,-1.0,1,ok,4,18.0,0,-1.0
2022-23,FAIL,v1_adxg,5,0,3,1,1,57.0,67.0,67.0,0,0.0,-2,-10.0,1,ok,3,50.0,-2,-17.0
2022-23,FAIL,v1_adxg,6,0,0,0,0,67.0,66.0,66.0,0,0.0,0,1.0,1,ok,0,69.0,0,3.0
2022-23,FAIL,v1_adxg,8,0,0,0,0,20.0,25.0,25.0,0,0.0,0,-5.0,1,ok,0,20.0,0,-5.0
2022-23,FAIL,v1_adxg,9,1,1,2,2,62.0,56.0,56.0,0,0.0,1,6.0,1,ok,2,56.0,0,0.0
2022-23,FAIL,v1_adxg,10,0,2,2,2,33.0,47.0,47.0,0,0.0,0,-14.0,1,ok,2,40.0,0,-7.0
2022-23,FAIL,v1_adxg,11,0,1,1,1,33.0,59.0,59.0,0,0.0,0,-26.0,1,ok,1,35.0,0,-24.0
2022-23,FAIL,v1_adxg,12,0,1,1,1,67.0,67.0,67.0,0,0.0,0,0.0,1,ok,1,72.0,0,5.0
2022-23,FAIL,v1_adxg,13,1,0,2,1,56.0,44.0,46.0,1,2.0,2,12.0,1,ok,1,50.0,1,6.0
2022-23,FAIL,v1_adxg,14,0,1,0,0,48.0,54.0,54.0,0,0.0,-1,-6.0,1,ok,1,48.0,-1,-6.0
2022-23,FAIL,v1_adxg,15,0,1,1,1,41.0,50.0,50.0,0,0.0,0,-9.0,1,ok,1,58.0,0,8.0
2022-23,FAIL,v1_adxg,16,0,1,1,1,43.0,40.0,40.0,0,0.0,0,3.0,1,ok,1,38.0,0,-2.0
2022-23,FAIL,v1_adxg,17,1,1,3,2,59.0,58.0,65.0,1,7.0,2,1.0,1,ok,2,53.0,1,-5.0
2022-23,FAIL,v1_adxg,18,0,0,0,0,41.0,40.0,40.0,0,0.0,0,1.0,1,ok,0,41.0,0,1.0
