season,e024_gate,candidate,gw,xi0_worse_gw,rule_choice,score_rule,xi0_rule,cap_rule,xi0_ctrl,xi0_cand,xi0_hold,cap_ctrl,cap_cand,cap_hold,score_ctrl,score_cand,score_hold,pair_feasible,pair_reason,xi0_pair,cap_pair,score_pair,n_hold_swaps,n_menu
2022-23,FAIL,v1_adxg,1,0,hold,38.3624,0,54.0,1,0,0,41.0,54.0,54.0,37.98,38.3624,38.3624,1,ok,0,54.0,38.306,0,4
2022-23,FAIL,v1_adxg,2,0,pair,44.3996,2,51.0,2,2,2,35.0,50.0,50.0,43.58,44.0304,44.0304,1,ok,2,51.0,44.3996,0,4
2022-23,FAIL,v1_adxg,3,0,hold,41.6136,4,19.0,4,4,4,18.0,19.0,19.0,41.4896,41.6136,41.6136,1,ok,4,18.0,41.6108,0,4
2022-23,FAIL,v1_adxg,5,0,pair,39.5448,3,50.0,3,1,1,57.0,67.0,67.0,38.5784,39.4216,39.4216,1,ok,3,50.0,39.5448,0,4
2022-23,FAIL,v1_adxg,6,0,hold,38.364,0,66.0,0,0,0,67.0,66.0,66.0,38.2336,38.364,38.364,1,ok,0,69.0,38.3488,0,4
2022-23,FAIL,v1_adxg,8,0,hold,32.922,0,25.0,0,0,0,20.0,25.0,25.0,32.6816,32.922,32.922,1,ok,0,20.0,32.906,0,4
2022-23,FAIL,v1_adxg,9,1,hold,34.3652,2,56.0,1,2,2,62.0,56.0,56.0,34.1148,34.3652,34.3652,1,ok,2,56.0,34.3652,0,4
2022-23,FAIL,v1_adxg,10,0,hold,34.7968,2,47.0,2,2,2,33.0,47.0,47.0,34.7004,34.7968,34.7968,1,ok,2,40.0,34.7876,0,4
2022-23,FAIL,v1_adxg,11,0,hold,33.1612,1,59.0,1,1,1,33.0,59.0,59.0,32.906,33.1612,33.1612,1,ok,1,35.0,33.0176,0,4
2022-23,FAIL,v1_adxg,12,0,hold,34.9016,1,67.0,1,1,1,67.0,67.0,67.0,34.2888,34.9016,34.9016,1,ok,1,72.0,34.5404,0,4
2022-23,FAIL,v1_adxg,13,1,hold,36.086,1,46.0,0,2,1,56.0,44.0,46.0,35.1556,35.7572,36.086,1,ok,1,50.0,35.4328,1,4
2022-23,FAIL,v1_adxg,14,0,pair,36.592,1,48.0,1,0,0,48.0,54.0,54.0,36.0752,36.5756,36.5756,1,ok,1,48.0,36.592,0,4
2022-23,FAIL,v1_adxg,15,0,pair,35.276,1,58.0,1,1,1,41.0,50.0,50.0,34.9744,35.1204,35.1204,1,ok,1,58.0,35.276,0,4
2022-23,FAIL,v1_adxg,16,0,hold,35.8428,1,40.0,1,1,1,43.0,40.0,40.0,35.3784,35.8428,35.8428,1,ok,1,38.0,35.8268,0,4
2022-23,FAIL,v1_adxg,17,1,hold,37.2172,2,65.0,1,3,2,59.0,58.0,65.0,36.8048,37.0628,37.2172,1,ok,2,53.0,36.9572,1,4
