season,e024_gate,candidate,gw,n_enter,n_pos_touched,flex_flag,eligible,xi0_worse_gw,rule_choice,wire_ok,pair_feasible,score_rule,xi0_rule,xi0_cand,xi0_ctrl,cap_rule,cap_cand,cap_ctrl
2022-23,FAIL,v1_adxg,1,2,1,1,1,0,hold,1,1,38.3624,0,0,1,54.0,54.0,41.0
2022-23,FAIL,v1_adxg,2,2,2,1,1,0,pair,1,1,44.3996,2,2,2,51.0,50.0,35.0
2022-23,FAIL,v1_adxg,3,2,2,1,1,0,hold,1,1,41.6136,4,4,4,19.0,19.0,18.0
2022-23,FAIL,v1_adxg,5,5,2,1,1,0,pair,1,1,39.5448,3,1,3,50.0,67.0,57.0
2022-23,FAIL,v1_adxg,6,2,2,1,1,0,hold,1,1,38.364,0,0,0,66.0,66.0,67.0
2022-23,FAIL,v1_adxg,8,2,2,1,1,0,hold,1,1,32.922,0,0,0,25.0,25.0,20.0
2022-23,FAIL,v1_adxg,10,2,3,1,1,0,hold,1,1,34.7968,2,2,2,47.0,47.0,33.0
2022-23,FAIL,v1_adxg,11,3,3,1,1,0,hold,1,1,33.1612,1,1,1,59.0,59.0,33.0
2022-23,FAIL,v1_adxg,12,4,3,1,1,0,hold,1,1,34.9016,1,1,1,67.0,67.0,67.0
2022-23,FAIL,v1_adxg,13,4,3,1,1,1,hold,1,1,36.086,1,2,0,46.0,44.0,56.0
2022-23,FAIL,v1_adxg,14,3,2,1,1,0,pair,1,1,36.592,1,0,1,48.0,54.0,48.0
2022-23,FAIL,v1_adxg,15,2,3,1,1,0,pair,1,1,35.276,1,1,1,58.0,50.0,41.0
2022-23,FAIL,v1_adxg,16,4,3,1,1,0,hold,1,1,35.8428,1,1,1,40.0,40.0,43.0
2022-23,FAIL,v1_adxg,17,5,3,1,1,1,hold,1,1,37.2172,2,3,1,65.0,58.0,59.0
2022-23,FAIL,v1_adxg,18,2,2,1,1,0,pair,1,1,38.196,0,0,0,41.0,40.0,41.0
2022-23,FAIL,v1_adxg,19,1,2,1,1,0,hold,1,0,52.3972,0,0,0,72.0,72.0,72.0
2022-23,FAIL,v1_adxg,20,2,2,1,1,0,pair,1,1,65.472,0,0,0,69.0,74.0,69.0
2022-23,FAIL,v1_adxg,21,3,3,1,1,0,pair,1,1,38.4408,0,0,0,69.0,77.0,58.0
2022-23,FAIL,v1_adxg,23,3,3,1,1,0,hold,1,1,60.53,0,0,0,87.0,87.0,93.0
2022-23,FAIL,v1_adxg,24,2,2,1,1,1,hold,1,1,39.0988,2,2,1,45.0,45.0,49.0
2022-23,FAIL,v1_adxg,25,2,2,1,1,0,pair,1,1,67.6244,0,0,0,91.0,83.0,81.0
2022-23,FAIL,v1_adxg,26,2,2,1,1,0,pair,1,1,40.3024,0,0,0,69.0,58.0,61.0
2022-23,FAIL,v1_adxg,28,3,4,1,1,0,hold,1,1,40.3268,0,0,0,57.0,57.0,54.0
2022-23,FAIL,v1_adxg,30,4,4,1,1,0,hold,1,1,42.5156,0,0,0,56.0,56.0,51.0
2022-23,FAIL,v1_adxg,31,5,4,1,1,0,pair,1,1,42.812,0,0,1,70.0,76.0,61.0
2022-23,FAIL,v1_adxg,32,2,3,1,1,0,pair,1,1,45.8716,0,0,0,76.0,67.0,72.0
2022-23,FAIL,v1_adxg,33,3,2,1,1,0,pair,1,1,43.6012,0,0,0,76.0,73.0,77.0
2022-23,FAIL,v1_adxg,34,2,2,1,1,1,hold,1,1,89.0908,0,1,0,109.0,91.0,114.0
2022-23,FAIL,v1_adxg,35,3,2,1,1,1,cand,1,1,47.9556,1,1,0,61.0,61.0,64.0
2022-23,FAIL,v1_adxg,36,2,3,1,1,0,hold,1,1,66.0572,1,1,1,90.0,90.0,101.0
2023-24,PASS,v1_adxg,1,5,3,1,1,1,cand,1,1,37.534,1,1,0,50.0,50.0,60.0
2023-24,PASS,v1_adxg,2,3,2,1,1,0,pair,1,1,42.3164,2,1,2,30.0,36.0,30.0
2023-24,PASS,v1_adxg,3,5,4,1,1,1,pair,1,1,39.876,1,2,1,50.0,65.0,51.0
2023-24,PASS,v1_adxg,5,2,2,1,1,0,hold,1,1,41.6004,1,1,1,45.0,45.0,38.0
2023-24,PASS,v1_adxg,6,2,3,1,1,0,hold,1,1,45.7564,0,0,0,70.0,70.0,59.0
2023-24,PASS,v1_adxg,8,2,1,1,1,0,pair,1,1,44.3692,0,0,0,60.0,59.0,59.0
2023-24,PASS,v1_adxg,9,3,3,1,1,0,hold,1,1,46.7544,0,0,0,94.0,94.0,98.0
2023-24,PASS,v1_adxg,10,4,3,1,1,1,cand,1,1,46.8928,2,2,1,66.0,66.0,65.0
2023-24,PASS,v1_adxg,11,2,3,1,1,0,pair,1,1,49.0552,0,0,0,20.0,21.0,21.0
2023-24,PASS,v1_adxg,13,2,2,1,1,0,pair,1,1,45.19,0,0,0,45.0,40.0,40.0
2023-24,PASS,v1_adxg,14,2,2,1,1,0,pair,1,1,51.0812,0,0,0,60.0,49.0,57.0
2023-24,PASS,v1_adxg,15,4,3,1,1,0,pair,1,1,47.2116,0,0,0,41.0,34.0,39.0
2023-24,PASS,v1_adxg,16,6,4,1,1,0,hold,1,1,46.1128,1,1,1,59.0,59.0,55.0
2023-24,PASS,v1_adxg,17,3,3,1,1,0,hold,1,1,48.3448,1,1,1,57.0,57.0,59.0
2023-24,PASS,v1_adxg,19,3,2,1,1,0,pair,1,1,46.6848,0,0,0,36.0,33.0,28.0
2023-24,PASS,v1_adxg,20,4,3,1,1,0,hold,1,1,48.1092,0,0,0,93.0,93.0,84.0
2023-24,PASS,v1_adxg,22,4,4,1,1,0,pair,1,1,47.354,0,0,0,85.0,78.0,69.0
2023-24,PASS,v1_adxg,23,2,2,1,1,0,hold,1,1,44.1996,0,0,0,70.0,70.0,54.0
2023-24,PASS,v1_adxg,24,5,4,1,1,0,hold,1,1,50.852,0,0,0,80.0,80.0,66.0
2023-24,PASS,v1_adxg,26,2,2,1,1,0,hold,1,1,51.4404,0,0,0,69.0,69.0,81.0
2023-24,PASS,v1_adxg,27,2,2,1,1,0,hold,1,1,53.2284,0,0,1,82.0,82.0,74.0
2023-24,PASS,v1_adxg,29,3,3,1,1,0,hold,1,1,41.9188,0,0,0,20.0,20.0,31.0
2023-24,PASS,v1_adxg,30,2,2,1,1,1,pair,1,1,52.552,1,1,0,42.0,43.0,49.0
2023-24,PASS,v1_adxg,31,3,3,1,1,0,pair,1,1,58.1664,2,2,2,61.0,48.0,57.0
2023-24,PASS,v1_adxg,32,4,3,1,1,1,cand,1,1,54.6564,2,2,1,52.0,52.0,50.0
2023-24,PASS,v1_adxg,33,3,3,1,1,0,hold,1,1,61.8236,0,0,0,63.0,63.0,81.0
2023-24,PASS,v1_adxg,35,1,2,1,1,0,hold,1,0,81.8432,0,0,0,86.0,86.0,84.0
2023-24,PASS,v1_adxg,36,2,2,1,1,1,hold,1,1,63.1032,1,1,0,95.0,95.0,92.0
2023-24,PASS,v1_adxg,37,2,2,1,1,0,hold,1,1,108.0412,0,0,0,119.0,119.0,95.0
2023-24,PASS,v1_adxg,38,4,3,1,1,0,hold,1,1,64.3248,0,0,0,47.0,47.0,55.0
2024-25,PASS,v1_adxg,1,2,2,1,1,1,pair,1,1,40.2084,2,2,1,55.0,58.0,51.0
2024-25,PASS,v1_adxg,2,4,4,1,1,1,cand,1,1,50.164,3,3,2,77.0,77.0,61.0
2024-25,PASS,v1_adxg,3,2,2,1,1,1,hold,1,1,43.8648,3,3,2,58.0,58.0,54.0
2024-25,PASS,v1_adxg,5,4,3,1,1,0,pair,1,1,42.2344,2,1,2,75.0,77.0,61.0
2024-25,PASS,v1_adxg,6,2,2,1,1,1,pair,1,1,45.5984,1,1,0,54.0,45.0,55.0
2024-25,PASS,v1_adxg,7,5,4,1,1,0,pair,1,1,49.2,1,1,1,58.0,46.0,57.0
2024-25,PASS,v1_adxg,8,3,3,1,1,0,pair,1,1,46.3864,0,0,0,53.0,58.0,47.0
2024-25,PASS,v1_adxg,9,3,2,1,1,0,hold,1,1,47.4412,0,0,0,63.0,63.0,49.0
2024-25,PASS,v1_adxg,10,3,3,1,1,0,hold,1,1,45.7132,0,0,0,59.0,59.0,57.0
2024-25,PASS,v1_adxg,11,3,3,1,1,0,hold,1,1,46.3392,0,0,0,65.0,65.0,64.0
2024-25,PASS,v1_adxg,14,2,2,1,1,0,hold,1,1,48.2512,0,0,1,68.0,68.0,65.0
2024-25,PASS,v1_adxg,15,2,2,1,1,0,hold,1,1,46.1204,0,0,0,60.0,60.0,64.0
2024-25,PASS,v1_adxg,16,4,3,1,1,0,hold,1,1,48.5936,0,0,0,42.0,42.0,47.0
2024-25,PASS,v1_adxg,17,3,2,1,1,0,hold,1,1,45.4324,0,0,0,38.0,38.0,38.0
2024-25,PASS,v1_adxg,19,3,3,1,1,0,hold,1,1,48.494,0,0,1,74.0,74.0,64.0
2024-25,PASS,v1_adxg,20,4,4,1,1,1,cand,1,1,51.2824,1,1,0,82.0,82.0,75.0
2024-25,PASS,v1_adxg,21,5,3,1,1,0,hold,1,1,48.4616,0,0,1,39.0,39.0,47.0
2024-25,PASS,v1_adxg,22,3,3,1,1,0,hold,1,1,49.7692,0,0,0,38.0,38.0,38.0
2024-25,PASS,v1_adxg,23,3,3,1,1,1,cand,1,1,53.5128,1,1,0,65.0,65.0,65.0
2024-25,PASS,v1_adxg,26,3,3,1,1,0,pair,1,1,52.2396,1,1,2,66.0,60.0,65.0
2024-25,PASS,v1_adxg,27,3,3,1,1,0,pair,1,1,56.6464,1,0,1,60.0,72.0,58.0
