scope,season,gw,gate,rank,u,delta_u,distance,jaccard,bank,cost,club_max,minutes_risk,captain,vice,enters,exits,ids,names
historical,2022-23,4,FAIL,1,132.0020,0.0000,0,1.0000,0,1000,3,11,Dennis,Raya,,,13 40 81 110 132 141 180 285 301 303 426 428 448 459 585,Raya;Forster;Chalobah;Dawson;Alexander-Arnold;Perišić;Keane;Son;De Bruyne;Saka;Mahrez;Kovacic;Dennis;Maupay;Watkins
historical,2022-23,4,FAIL,2,131.9683,0.0337,3,0.6667,1,999,2,11,Dennis,Raya,Gilmour;Haaland;Ogbonna,Mahrez;Perišić;Watkins,13 81 110 132 141 149 180 285 301 318 426 428 456 459 585,Raya;Forster;Chalobah;Dawson;Alexander-Arnold;Keane;Ogbonna;Son;De Bruyne;Saka;Kovacic;Gilmour;Dennis;Haaland;Maupay
historical,2022-23,4,FAIL,3,131.9569,0.0451,3,0.6667,1,999,2,11,Dennis,Raya,Haaland;Ogbonna;Soumaré,Mahrez;Perišić;Watkins,13 81 110 132 141 180 269 285 301 318 426 428 456 459 585,Raya;Forster;Chalobah;Dawson;Alexander-Arnold;Keane;Ogbonna;Son;De Bruyne;Saka;Kovacic;Soumaré;Dennis;Haaland;Maupay
historical,2022-23,4,FAIL,4,131.9557,0.0463,1,0.8750,1,999,3,11,Dennis,Raya,Holding,Keane,5 13 40 81 110 132 141 285 301 303 426 428 448 459 585,Raya;Forster;Chalobah;Dawson;Alexander-Arnold;Perišić;Holding;Son;De Bruyne;Saka;Mahrez;Kovacic;Dennis;Maupay;Watkins
historical,2022-23,4,FAIL,5,131.9453,0.0567,1,0.8750,1,999,3,11,Dennis,Raya,Cédric,Keane,1 13 40 81 110 132 141 285 301 303 426 428 448 459 585,Raya;Forster;Chalobah;Dawson;Alexander-Arnold;Perišić;Cédric;Son;De Bruyne;Saka;Mahrez;Kovacic;Dennis;Maupay;Watkins
historical,2022-23,4,FAIL,6,131.9423,0.0597,1,0.8750,0,1000,3,11,Dennis,Raya,Diop,Keane,13 40 81 110 132 141 285 301 303 426 428 448 459 470 585,Raya;Forster;Chalobah;Dawson;Alexander-Arnold;Perišić;Diop;Son;De Bruyne;Saka;Mahrez;Kovacic;Dennis;Maupay;Watkins
historical,2022-23,4,FAIL,7,131.9360,0.0659,3,0.6667,3,997,2,11,Dennis,Raya,Gilmour;Haaland;Holding,Mahrez;Perišić;Watkins,5 13 81 110 132 141 149 180 285 301 318 426 428 459 585,Raya;Forster;Chalobah;Dawson;Alexander-Arnold;Keane;Holding;Son;De Bruyne;Saka;Kovacic;Gilmour;Dennis;Haaland;Maupay
historical,2022-23,4,FAIL,8,131.9257,0.0763,3,0.6667,3,997,2,11,Dennis,Raya,Cédric;Gilmour;Haaland,Mahrez;Perišić;Watkins,1 13 81 110 132 141 149 180 285 301 318 426 428 459 585,Raya;Forster;Chalobah;Dawson;Alexander-Arnold;Keane;Cédric;Son;De Bruyne;Saka;Kovacic;Gilmour;Dennis;Haaland;Maupay
historical,2022-23,4,FAIL,9,131.9247,0.0773,3,0.6667,3,997,2,11,Dennis,Raya,Haaland;Holding;Soumaré,Mahrez;Perišić;Watkins,5 13 81 110 132 141 180 269 285 301 318 426 428 459 585,Raya;Forster;Chalobah;Dawson;Alexander-Arnold;Keane;Holding;Son;De Bruyne;Saka;Kovacic;Soumaré;Dennis;Haaland;Maupay
historical,2022-23,4,FAIL,10,131.9226,0.0793,3,0.6667,2,998,2,11,Dennis,Raya,Diop;Gilmour;Haaland,Mahrez;Perišić;Watkins,13 81 110 132 141 149 180 285 301 318 426 428 459 470 585,Raya;Forster;Chalobah;Dawson;Alexander-Arnold;Keane;Diop;Son;De Bruyne;Saka;Kovacic;Gilmour;Dennis;Haaland;Maupay
historical,2022-23,18,FAIL,1,177.2759,0.0000,0,1.0000,3,997,3,13,Leno,De Bruyne,,,2 7 10 35 297 300 301 302 332 335 427 470 513 519 690,Leno;Olsen;Stones;Shaw;Lenglet;Diop;White;De Bruyne;Rashford;Gündogan;Ødegaard;Eriksen;Darwin;Kane;João Félix
historical,2022-23,18,FAIL,2,173.9134,3.3625,2,0.7647,0,1000,3,13,Leno,De Bruyne,Collins;Guaita,Olsen;White,2 7 152 297 300 301 302 332 335 427 470 513 516 519 690,Leno;Guaita;Stones;Shaw;Lenglet;Diop;Collins;De Bruyne;Rashford;Gündogan;Ødegaard;Eriksen;Darwin;Kane;João Félix
historical,2022-23,18,FAIL,3,173.8983,3.3776,2,0.7647,0,1000,3,13,Leno,De Bruyne,Botman;Guaita,Olsen;White,2 7 152 297 300 301 302 332 335 377 427 470 513 519 690,Leno;Guaita;Stones;Shaw;Lenglet;Diop;Botman;De Bruyne;Rashford;Gündogan;Ødegaard;Eriksen;Darwin;Kane;João Félix
historical,2022-23,18,FAIL,4,177.2427,0.0333,2,0.7647,1,999,3,13,Leno,De Bruyne,Amartey;Guaita,Olsen;White,2 7 152 257 297 300 301 302 332 335 427 470 513 519 690,Leno;Guaita;Stones;Shaw;Lenglet;Diop;Amartey;De Bruyne;Rashford;Gündogan;Ødegaard;Eriksen;Darwin;Kane;João Félix
historical,2022-23,18,FAIL,5,173.9048,3.3711,2,0.7647,0,1000,3,13,Leno,De Bruyne,Collins;Meslier,Olsen;White,2 7 238 297 300 301 302 332 335 427 470 513 516 519 690,Leno;Meslier;Stones;Shaw;Lenglet;Diop;Collins;De Bruyne;Rashford;Gündogan;Ødegaard;Eriksen;Darwin;Kane;João Félix
