scope,season,gw,gate,rank,u,delta_u,distance,jaccard,bank,cost,club_max,minutes_risk,captain,vice,enters,exits,ids,names
live,2026/27,5,live,1,145.6357,0.0000,0,1.0000,2,998,3,13,Cherki,Horníček,,,28 108 145 200 277 398 399 411 429 439 498 533 567 627 647,Martinez;Horníček;Senesi;Mukiele;Lacroix;Fofana;Egan;Cherki;Foden;Barcola;Rashford;Osorio;Haaland;Šeško;Wilson
live,2026/27,5,live,2,145.6085,0.0272,1,0.8750,2,998,3,13,Cherki,Horníček,Khalaili,Fofana,28 108 200 277 398 399 411 429 439 498 533 567 588 627 647,Martinez;Horníček;Senesi;Mukiele;Lacroix;Khalaili;Egan;Cherki;Foden;Barcola;Rashford;Osorio;Haaland;Šeško;Wilson
live,2026/27,5,live,3,145.5865,0.0492,1,0.8750,2,998,3,13,Cherki,Horníček,Mendy,Egan,28 108 145 200 398 399 411 429 439 498 533 567 586 627 647,Martinez;Horníček;Senesi;Mukiele;Lacroix;Fofana;Mendy;Cherki;Foden;Barcola;Rashford;Osorio;Haaland;Šeško;Wilson
live,2026/27,5,live,4,145.5593,0.0764,2,0.7647,2,998,3,13,Cherki,Horníček,Khalaili;Mendy,Egan;Fofana,28 108 200 398 399 411 429 439 498 533 567 586 588 627 647,Martinez;Horníček;Senesi;Mukiele;Lacroix;Khalaili;Mendy;Cherki;Foden;Barcola;Rashford;Osorio;Haaland;Šeško;Wilson
live,2026/27,5,live,5,145.5583,0.0774,1,0.8750,3,997,3,13,Cherki,Horníček,Thomas,Egan,28 108 145 173 200 398 399 411 429 439 498 533 567 627 647,Martinez;Horníček;Senesi;Mukiele;Lacroix;Fofana;Thomas;Cherki;Foden;Barcola;Rashford;Osorio;Haaland;Šeško;Wilson
live,2026/27,5,live,6,146.6416,-1.0059,1,0.8750,2,998,3,13,Cherki,Foden,Suzuki,Horníček,28 108 145 200 277 398 399 411 429 439 498 533 597 627 647,Martinez;Suzuki;Senesi;Mukiele;Lacroix;Fofana;Egan;Cherki;Foden;Barcola;Rashford;Osorio;Haaland;Šeško;Wilson
live,2026/27,5,live,7,145.5311,0.1046,2,0.7647,3,997,3,13,Cherki,Horníček,Khalaili;Thomas,Egan;Fofana,28 108 173 200 398 399 411 429 439 498 533 567 588 627 647,Martinez;Horníček;Senesi;Mukiele;Lacroix;Khalaili;Thomas;Cherki;Foden;Barcola;Rashford;Osorio;Haaland;Šeško;Wilson
live,2026/27,5,live,8,146.6144,-0.9787,2,0.7647,2,998,3,13,Cherki,Foden,Khalaili;Suzuki,Fofana;Horníček,28 108 200 277 398 399 411 429 439 498 533 588 597 627 647,Martinez;Suzuki;Senesi;Mukiele;Lacroix;Khalaili;Egan;Cherki;Foden;Barcola;Rashford;Osorio;Haaland;Šeško;Wilson
live,2026/27,5,live,9,145.5255,0.1102,1,0.8750,3,997,3,13,Cherki,Horníček,O'Shea,Egan,28 108 145 200 304 398 399 411 429 439 498 533 567 627 647,Martinez;Horníček;Senesi;Mukiele;Lacroix;Fofana;O'Shea;Cherki;Foden;Barcola;Rashford;Osorio;Haaland;Šeško;Wilson
live,2026/27,5,live,10,145.5125,0.1232,1,0.8750,2,998,3,13,Cherki,Horníček,Richards,Fofana,28 108 200 202 277 398 399 411 429 439 498 533 567 627 647,Martinez;Horníček;Senesi;Mukiele;Lacroix;Richards;Egan;Cherki;Foden;Barcola;Rashford;Osorio;Haaland;Šeško;Wilson
