season,e024_gate,condition,gw,arm,cap,hits,net,transfers,ft_before,bank_after,captain,seed_gw
2022-23,FAIL,no_hit,1,helper,41.0,0,41.0,0,0,0,Son,1
2022-23,FAIL,no_hit,1,roll,41.0,0,41.0,0,0,0,Son,1
2022-23,FAIL,no_hit,1,naive,41.0,0,41.0,0,0,0,Son,1
2022-23,FAIL,no_hit,2,helper,36.0,0,36.0,1,1,9,Saka,0
2022-23,FAIL,no_hit,2,roll,35.0,0,35.0,0,1,0,Saka,0
2022-23,FAIL,no_hit,2,naive,36.0,0,36.0,1,1,9,Saka,0
2022-23,FAIL,no_hit,3,helper,38.0,0,38.0,1,1,0,Barnes,0
2022-23,FAIL,no_hit,3,roll,38.0,0,38.0,0,2,0,Barnes,0
2022-23,FAIL,no_hit,3,naive,38.0,0,38.0,1,1,0,Barnes,0
2022-23,FAIL,no_hit,4,helper,50.0,0,50.0,1,1,14,Dennis,0
2022-23,FAIL,no_hit,4,roll,53.0,0,53.0,0,2,0,Saka,0
2022-23,FAIL,no_hit,4,naive,50.0,0,50.0,1,1,14,Dennis,0
2022-23,FAIL,no_hit,5,helper,41.0,0,41.0,1,1,18,Saka,0
2022-23,FAIL,no_hit,5,roll,42.0,0,42.0,0,2,0,Saka,0
2022-23,FAIL,no_hit,5,naive,42.0,0,42.0,1,1,8,Saka,0
2022-23,FAIL,no_hit,6,helper,28.0,0,28.0,1,1,13,Son,0
2022-23,FAIL,no_hit,6,roll,23.0,0,23.0,0,2,0,Son,0
2022-23,FAIL,no_hit,6,naive,27.0,0,27.0,1,1,3,Son,0
2022-23,FAIL,no_hit,8,helper,36.0,0,36.0,1,1,46,Collins,0
2022-23,FAIL,no_hit,8,roll,41.0,0,41.0,0,2,0,Ward,0
2022-23,FAIL,no_hit,8,naive,47.0,0,47.0,1,1,2,Raya,0
2022-23,FAIL,no_hit,9,helper,54.0,0,54.0,1,1,46,Meslier,0
2022-23,FAIL,no_hit,9,roll,58.0,0,58.0,0,2,0,Meslier,0
2022-23,FAIL,no_hit,9,naive,42.0,0,42.0,1,1,24,Raya,0
2022-23,FAIL,no_hit,10,helper,65.0,0,65.0,1,1,0,Meslier,0
2022-23,FAIL,no_hit,10,roll,64.0,0,64.0,0,2,0,Meslier,0
2022-23,FAIL,no_hit,10,naive,72.0,0,72.0,1,1,12,Raya,0
2022-23,FAIL,no_hit,11,helper,30.0,0,30.0,1,1,23,Meslier,0
2022-23,FAIL,no_hit,11,roll,35.0,0,35.0,0,2,0,Meslier,0
2022-23,FAIL,no_hit,11,naive,56.0,0,56.0,1,1,41,Raya,0
2022-23,FAIL,no_hit,12,helper,11.0,0,11.0,1,1,27,Meslier,0
2022-23,FAIL,no_hit,12,roll,33.0,0,33.0,0,2,0,Meslier,0
2022-23,FAIL,no_hit,12,naive,35.0,0,35.0,1,1,45,Raya,0
2022-23,FAIL,no_hit,13,helper,39.0,0,39.0,1,1,18,Meslier,0
2022-23,FAIL,no_hit,13,roll,28.0,0,28.0,0,2,0,Meslier,0
2022-23,FAIL,no_hit,13,naive,50.0,0,50.0,1,1,44,Raya,0
2022-23,FAIL,no_hit,14,helper,30.0,0,30.0,1,1,0,Ward,0
2022-23,FAIL,no_hit,14,roll,56.0,0,56.0,0,2,0,Ward,0
2022-23,FAIL,no_hit,14,naive,20.0,0,20.0,1,1,35,Raya,0
2022-23,FAIL,no_hit,15,helper,21.0,0,21.0,1,1,48,Meslier,0
2022-23,FAIL,no_hit,15,roll,32.0,0,32.0,0,2,0,Meslier,0
2022-23,FAIL,no_hit,15,naive,28.0,0,28.0,1,1,27,De Bruyne,0
2022-23,FAIL,no_hit,16,helper,24.0,0,24.0,1,1,2,De Bruyne,0
2022-23,FAIL,no_hit,16,roll,28.0,0,28.0,0,2,0,Meslier,0
2022-23,FAIL,no_hit,16,naive,22.0,0,22.0,1,1,14,De Bruyne,0
2022-23,FAIL,no_hit,17,helper,25.0,0,25.0,1,1,8,Klaesson,0
2022-23,FAIL,no_hit,17,roll,32.0,0,32.0,0,2,0,Ward,0
2022-23,FAIL,no_hit,17,naive,22.0,0,22.0,1,1,21,Raya,0
2022-23,FAIL,no_hit,18,helper,36.0,0,36.0,1,1,4,De Bruyne,0
2022-23,FAIL,no_hit,18,roll,31.0,0,31.0,0,2,0,Ward,0
2022-23,FAIL,no_hit,18,naive,44.0,0,44.0,1,1,7,De Bruyne,0
2022-23,FAIL,no_hit,19,helper,54.0,0,54.0,1,1,0,Leno,0
2022-23,FAIL,no_hit,19,roll,32.0,0,32.0,0,2,0,Ward,0
2022-23,FAIL,no_hit,19,naive,34.0,0,34.0,1,1,2,Arrizabalaga,0
2022-23,FAIL,no_hit,20,helper,59.0,0,59.0,1,1,14,De Bruyne,0
2022-23,FAIL,no_hit,20,roll,37.0,0,37.0,0,2,0,Son,0
2022-23,FAIL,no_hit,20,naive,54.0,0,54.0,1,1,11,De Bruyne,0
2022-23,FAIL,no_hit,21,helper,39.0,0,39.0,1,1,6,Leno,0
2022-23,FAIL,no_hit,21,roll,52.0,0,52.0,0,2,0,Ward,0
2022-23,FAIL,no_hit,21,naive,81.0,0,81.0,1,1,1,Arrizabalaga,0
2022-23,FAIL,no_hit,22,helper,67.0,0,67.0,1,1,6,Rashford,0
2022-23,FAIL,no_hit,22,roll,39.0,0,39.0,0,2,0,Meslier,0
2022-23,FAIL,no_hit,22,naive,69.0,0,69.0,1,1,1,Rashford,0
2022-23,FAIL,no_hit,23,helper,81.0,0,81.0,1,1,3,Mahrez,0
2022-23,FAIL,no_hit,23,roll,59.0,0,59.0,0,2,0,Saka,0
2022-23,FAIL,no_hit,23,naive,84.0,0,84.0,1,1,0,Mahrez,0
2022-23,FAIL,no_hit,24,helper,67.0,0,67.0,1,1,29,Leno,0
2022-23,FAIL,no_hit,24,roll,45.0,0,45.0,0,2,0,Ward,0
2022-23,FAIL,no_hit,24,naive,34.0,0,34.0,1,1,26,Raya,0
2022-23,FAIL,no_hit,25,helper,48.0,0,48.0,1,1,31,Ødegaard,0
2022-23,FAIL,no_hit,25,roll,60.0,0,60.0,0,2,0,Saka,0
2022-23,FAIL,no_hit,25,naive,48.0,0,48.0,1,1,20,Alisson,0
2022-23,FAIL,no_hit,26,helper,49.0,0,49.0,1,1,2,Ødegaard,0
2022-23,FAIL,no_hit,26,roll,36.0,0,36.0,0,2,0,Saka,0
2022-23,FAIL,no_hit,26,naive,43.0,0,43.0,1,1,12,Arrizabalaga,0
2022-23,FAIL,no_hit,27,helper,47.0,0,47.0,1,1,22,Mac Allister,0
2022-23,FAIL,no_hit,27,roll,33.0,0,33.0,0,2,0,Zaha,0
2022-23,FAIL,no_hit,27,naive,63.0,0,63.0,1,1,8,Toney,0
2022-23,FAIL,no_hit,28,helper,36.0,0,36.0,1,1,20,Raya,0
2022-23,FAIL,no_hit,28,roll,52.0,0,52.0,0,2,0,Saka,0
2022-23,FAIL,no_hit,28,naive,29.0,0,29.0,1,1,15,Raya,0
2022-23,FAIL,no_hit,29,helper,76.0,0,76.0,1,1,9,João Félix,0
2022-23,FAIL,no_hit,29,roll,45.0,0,45.0,0,2,0,Ward,0
2022-23,FAIL,no_hit,29,naive,98.0,0,98.0,1,1,4,Arrizabalaga,0
2022-23,FAIL,no_hit,30,helper,43.0,0,43.0,1,1,13,Rashford,0
2022-23,FAIL,no_hit,30,roll,32.0,0,32.0,0,2,0,Ward,0
2022-23,FAIL,no_hit,30,naive,49.0,0,49.0,1,1,0,Rashford,0
2022-23,FAIL,no_hit,31,helper,57.0,0,57.0,1,1,33,De Bruyne,0
2022-23,FAIL,no_hit,31,roll,27.0,0,27.0,0,2,0,Meslier,0
2022-23,FAIL,no_hit,31,naive,54.0,0,54.0,1,1,0,De Bruyne,0
2022-23,FAIL,no_hit,32,helper,43.0,0,43.0,1,1,25,Salah,0
2022-23,FAIL,no_hit,32,roll,47.0,0,47.0,0,2,0,Alexander-Arnold,0
2022-23,FAIL,no_hit,32,naive,45.0,0,45.0,1,1,1,Raya,0
2022-23,FAIL,no_hit,33,helper,48.0,0,48.0,1,1,5,Salah,0
2022-23,FAIL,no_hit,33,roll,44.0,0,44.0,0,2,0,Saka,0
2022-23,FAIL,no_hit,33,naive,84.0,0,84.0,1,1,1,De Bruyne,0
2022-23,FAIL,no_hit,34,helper,98.0,0,98.0,1,1,11,Salah,0
2022-23,FAIL,no_hit,34,roll,61.0,0,61.0,0,2,0,Alexander-Arnold,0
2022-23,FAIL,no_hit,34,naive,70.0,0,70.0,1,1,0,Rashford,0
2022-23,FAIL,no_hit,35,helper,57.0,0,57.0,1,1,4,Salah,0
2022-23,FAIL,no_hit,35,roll,45.0,0,45.0,0,2,0,Alexander-Arnold,0
2022-23,FAIL,no_hit,35,naive,37.0,0,37.0,1,1,2,Trippier,0
2022-23,FAIL,no_hit,36,helper,74.0,0,74.0,1,1,3,Trippier,0
2022-23,FAIL,no_hit,36,roll,78.0,0,78.0,0,2,0,Wilson,0
2022-23,FAIL,no_hit,36,naive,78.0,0,78.0,1,1,19,Trippier,0
2022-23,FAIL,no_hit,37,helper,71.0,0,71.0,1,1,28,Mac Allister,0
2022-23,FAIL,no_hit,37,roll,52.0,0,52.0,0,2,0,Ferguson,0
2022-23,FAIL,no_hit,37,naive,45.0,0,45.0,1,1,30,Mac Allister,0
2022-23,FAIL,no_hit,38,helper,30.0,0,30.0,1,1,10,Rashford,0
2022-23,FAIL,no_hit,38,roll,27.0,0,27.0,0,2,0,Wilson,0
2022-23,FAIL,no_hit,38,naive,28.0,0,28.0,1,1,29,Ødegaard,0
2022-23,FAIL,hit,1,helper,41.0,0,41.0,0,0,0,Son,1
2022-23,FAIL,hit,1,roll,41.0,0,41.0,0,0,0,Son,1
2022-23,FAIL,hit,1,naive,41.0,0,41.0,0,0,0,Son,1
2022-23,FAIL,hit,2,helper,36.0,0,36.0,1,1,9,Saka,0
2022-23,FAIL,hit,2,roll,35.0,0,35.0,0,1,0,Saka,0
2022-23,FAIL,hit,2,naive,36.0,0,36.0,1,1,9,Saka,0
2022-23,FAIL,hit,3,helper,38.0,0,38.0,1,1,0,Barnes,0
2022-23,FAIL,hit,3,roll,38.0,0,38.0,0,2,0,Barnes,0
2022-23,FAIL,hit,3,naive,38.0,0,38.0,1,1,0,Barnes,0
2022-23,FAIL,hit,4,helper,50.0,0,50.0,1,1,14,Dennis,0
2022-23,FAIL,hit,4,roll,53.0,0,53.0,0,2,0,Saka,0
2022-23,FAIL,hit,4,naive,50.0,0,50.0,1,1,14,Dennis,0
2022-23,FAIL,hit,5,helper,41.0,0,41.0,1,1,18,Saka,0
2022-23,FAIL,hit,5,roll,42.0,0,42.0,0,2,0,Saka,0
2022-23,FAIL,hit,5,naive,42.0,0,42.0,1,1,8,Saka,0
2022-23,FAIL,hit,6,helper,28.0,0,28.0,1,1,13,Son,0
2022-23,FAIL,hit,6,roll,23.0,0,23.0,0,2,0,Son,0
2022-23,FAIL,hit,6,naive,27.0,0,27.0,1,1,3,Son,0
2022-23,FAIL,hit,8,helper,36.0,0,36.0,1,1,46,Collins,0
2022-23,FAIL,hit,8,roll,41.0,0,41.0,0,2,0,Ward,0
2022-23,FAIL,hit,8,naive,47.0,0,47.0,1,1,2,Raya,0
2022-23,FAIL,hit,9,helper,54.0,0,54.0,1,1,46,Meslier,0
2022-23,FAIL,hit,9,roll,58.0,0,58.0,0,2,0,Meslier,0
2022-23,FAIL,hit,9,naive,42.0,0,42.0,1,1,24,Raya,0
2022-23,FAIL,hit,10,helper,65.0,0,65.0,1,1,0,Meslier,0
2022-23,FAIL,hit,10,roll,64.0,0,64.0,0,2,0,Meslier,0
2022-23,FAIL,hit,10,naive,72.0,0,72.0,1,1,12,Raya,0
2022-23,FAIL,hit,11,helper,30.0,0,30.0,1,1,23,Meslier,0
2022-23,FAIL,hit,11,roll,35.0,0,35.0,0,2,0,Meslier,0
2022-23,FAIL,hit,11,naive,56.0,0,56.0,1,1,41,Raya,0
2022-23,FAIL,hit,12,helper,11.0,0,11.0,1,1,27,Meslier,0
2022-23,FAIL,hit,12,roll,33.0,0,33.0,0,2,0,Meslier,0
2022-23,FAIL,hit,12,naive,35.0,0,35.0,1,1,45,Raya,0
2022-23,FAIL,hit,13,helper,39.0,0,39.0,1,1,18,Meslier,0
2022-23,FAIL,hit,13,roll,28.0,0,28.0,0,2,0,Meslier,0
2022-23,FAIL,hit,13,naive,50.0,0,50.0,1,1,44,Raya,0
2022-23,FAIL,hit,14,helper,30.0,0,30.0,1,1,0,Ward,0
2022-23,FAIL,hit,14,roll,56.0,0,56.0,0,2,0,Ward,0
2022-23,FAIL,hit,14,naive,20.0,0,20.0,1,1,35,Raya,0
2022-23,FAIL,hit,15,helper,21.0,0,21.0,1,1,48,Meslier,0
2022-23,FAIL,hit,15,roll,32.0,0,32.0,0,2,0,Meslier,0
2022-23,FAIL,hit,15,naive,28.0,0,28.0,1,1,27,De Bruyne,0
2022-23,FAIL,hit,16,helper,24.0,0,24.0,1,1,2,De Bruyne,0
2022-23,FAIL,hit,16,roll,28.0,0,28.0,0,2,0,Meslier,0
2022-23,FAIL,hit,16,naive,22.0,0,22.0,1,1,14,De Bruyne,0
2022-23,FAIL,hit,17,helper,25.0,0,25.0,1,1,8,Klaesson,0
2022-23,FAIL,hit,17,roll,32.0,0,32.0,0,2,0,Ward,0
2022-23,FAIL,hit,17,naive,22.0,0,22.0,1,1,21,Raya,0
2022-23,FAIL,hit,18,helper,36.0,0,36.0,1,1,4,De Bruyne,0
2022-23,FAIL,hit,18,roll,31.0,0,31.0,0,2,0,Ward,0
2022-23,FAIL,hit,18,naive,44.0,0,44.0,1,1,7,De Bruyne,0
