season,e024_gate,condition,arm,n_gw,sum_cap,sum_hits,sum_net,sum_transfers,delta_vs_roll,delta_vs_naive
2022-23,FAIL,hit,helper,37,1711.0,20,1691.0,41,138.0,-88.0
2022-23,FAIL,hit,roll,37,1573.0,0,1573.0,0,,
2022-23,FAIL,hit,naive,37,1799.0,0,1799.0,36,,
2022-23,FAIL,no_hit,helper,37,1749.0,0,1749.0,36,176.0,-50.0
2022-23,FAIL,no_hit,roll,37,1573.0,0,1573.0,0,,
2022-23,FAIL,no_hit,naive,37,1799.0,0,1799.0,36,,
2023-24,PASS,hit,helper,38,2089.0,20,2069.0,42,429.0,86.0
2023-24,PASS,hit,roll,38,1660.0,0,1660.0,0,,
2023-24,PASS,hit,naive,38,2003.0,0,2003.0,37,,
2023-24,PASS,no_hit,helper,38,2066.0,0,2066.0,37,406.0,63.0
2023-24,PASS,no_hit,roll,38,1660.0,0,1660.0,0,,
2023-24,PASS,no_hit,naive,38,2003.0,0,2003.0,37,,
2024-25,PASS,hit,helper,38,2117.0,8,2109.0,39,363.0,54.0
2024-25,PASS,hit,roll,38,1754.0,0,1754.0,0,,
2024-25,PASS,hit,naive,38,2063.0,0,2063.0,37,,
2024-25,PASS,no_hit,helper,38,2074.0,0,2074.0,37,320.0,11.0
2024-25,PASS,no_hit,roll,38,1754.0,0,1754.0,0,,
2024-25,PASS,no_hit,naive,38,2063.0,0,2063.0,37,,
2025-26,FAIL,hit,helper,38,1968.0,12,1956.0,40,469.0,66.0
2025-26,FAIL,hit,roll,38,1499.0,0,1499.0,0,,
2025-26,FAIL,hit,naive,38,1902.0,0,1902.0,37,,
2025-26,FAIL,no_hit,helper,38,1948.0,0,1948.0,37,449.0,46.0
2025-26,FAIL,no_hit,roll,38,1499.0,0,1499.0,0,,
2025-26,FAIL,no_hit,naive,38,1902.0,0,1902.0,37,,
