season,gw,player_id,web_name,mu0,ep_next,mu1,blended,identity_reason
2022-23,1,3,Xhaka,0.6996,2.0,1.15474,1,
2022-23,1,4,Elneny,0.4472,1.5,0.81568,1,
2022-23,1,5,Holding,0.4424,2.3,1.09256,1,
2022-23,1,6,Partey,0.6716,2.0,1.13654,1,
2022-23,1,7,Ødegaard,1.6008,2.8,2.02052,1,
2022-23,1,8,Tierney,0.552,2.1,1.0938,1,
2022-23,1,9,Pépé,1.42,2.5,1.798,1,
2022-23,1,10,White,0.4668,2.3,1.10842,1,
2022-23,1,11,Nketiah,2.1476,2.7,2.34094,1,
2022-23,1,12,Smith Rowe,1.1576,2.0,1.45244,1,
2022-23,1,13,Saka,3.1804,3.2,3.18726,1,
2022-23,1,14,Tomiyasu,0.4048,1.8,0.89312,1,
2022-23,1,15,Ramsdale,2.622,3.6,2.9643,1,
2022-23,1,16,Gabriel,0.7224,2.8,1.44956,1,
2022-23,1,17,Tavares,0.0,0.0,0.0,1,
2022-23,1,19,Martinelli,1.5484,2.7,1.95146,1,
2022-23,1,20,Pablo Marí,0.4912,2.3,1.12428,1,
2022-23,1,22,Torreira,0.4616,1.5,0.82504,1,
2022-23,1,23,Nelson,0.6768,2.0,1.13992,1,
2022-23,1,24,Turner,0.1824,1.5,0.64356,1,
2022-23,1,25,Fábio Vieira,1.2312,2.0,1.50028,1,
2022-23,1,26,Saliba,0.4424,2.3,1.09256,1,
2022-23,1,27,Marquinhos,0.6624,2.0,1.13056,1,
2022-23,1,28,Jesus,2.3124,3.1,2.58806,1,
2022-23,1,111,Trossard,1.5516,1.8,1.63854,1,
2022-23,1,130,Jorginho,1.5088,2.7,1.92572,1,
2022-23,1,313,Zinchenko,0.7004,2.8,1.43526,1,
2022-23,1,29,Coutinho,2.5268,2.9,2.65742,1,
2022-23,1,31,Martínez,2.5344,3.6,2.90736,1,
2022-23,1,32,Chambers,0.504,2.3,1.1326,1,
2022-23,1,33,Digne,0.6944,2.8,1.43136,1,
2022-23,1,34,Traoré,0.7272,2.0,1.17268,1,
2022-23,1,35,Olsen,0.1524,1.5,0.62406,1,
2022-23,1,36,Sanson,0.4344,1.5,0.80736,1,
2022-23,1,37,McGinn,1.4428,2.5,1.81282,1,
2022-23,1,38,Hause,0.0,0.0,0.0,1,
2022-23,1,39,Mings,0.466,2.3,1.1079,1,
2022-23,1,40,Watkins,2.5532,2.9,2.67458,1,
2022-23,1,41,Nakamba,0.4468,1.5,0.81542,1,
2022-23,1,42,Buendía,1.4924,2.7,1.91506,1,
2022-23,2,3,Xhaka,0.7152,2.1,1.19988,1,
2022-23,2,4,Elneny,1.4604,1.5,1.47426,1,
2022-23,2,5,Holding,0.9224,2.2,1.36956,1,
2022-23,2,6,Partey,0.6904,2.1,1.18376,1,
2022-23,2,7,Ødegaard,1.7164,2.8,2.09566,1,
2022-23,2,8,Tierney,0.7716,2.8,1.48154,1,
2022-23,2,9,Pépé,1.2408,2.5,1.68152,1,
2022-23,2,10,White,0.5636,2.4,1.20634,1,
2022-23,2,11,Nketiah,1.5492,2.7,1.95198,1,
2022-23,2,12,Smith Rowe,2.9504,2.0,2.61776,1,
2022-23,2,13,Saka,3.5288,3.2,3.41372,1,
2022-23,2,14,Tomiyasu,0.6992,1.7,1.04948,1,
2022-23,2,15,Ramsdale,2.786,3.6,3.0709,1,
2022-23,2,16,Gabriel,0.7972,2.8,1.49818,1,
2022-23,2,17,Tavares,0.0,0.0,0.0,1,
2022-23,2,19,Martinelli,1.598,2.7,1.9837,1,
2022-23,2,20,Pablo Marí,0.0,0.0,0.0,1,
2022-23,2,22,Torreira,0.0,0.0,0.0,1,
2022-23,2,23,Nelson,0.0,0.0,0.0,1,
2022-23,2,24,Turner,0.1688,1.5,0.63472,1,
2022-23,2,25,Fábio Vieira,1.2924,2.0,1.54006,1,
2022-23,2,26,Saliba,0.508,2.4,1.1702,1,
2022-23,2,27,Marquinhos,0.7232,2.0,1.17008,1,
2022-23,2,28,Jesus,2.5004,3.1,2.71026,1,
2022-23,2,111,Trossard,1.6884,2.3,1.90246,1,
2022-23,2,130,Jorginho,1.576,2.2,1.7944,1,
2022-23,2,313,Zinchenko,0.7524,2.9,1.50406,1,
2022-23,2,29,Coutinho,2.4996,2.4,2.46474,1,
2022-23,2,31,Martínez,2.6308,3.1,2.79502,1,
2022-23,2,32,Chambers,0.9,1.9,1.25,1,
2022-23,2,33,Digne,0.8016,2.3,1.32604,1,
2022-23,2,34,Traoré,0.7592,1.6,1.05348,1,
2022-23,2,35,Olsen,0.1528,1.0,0.44932,1,
