season,gw,player_id,web_name,mu0,ep_next,mu1,blended,identity_reason
2024-25,1,1,Fábio Vieira,1.1784,2.3,1.57096,1,
2024-25,1,2,G.Jesus,2.3096,3.2,2.62124,1,
2024-25,1,3,Gabriel,1.776,4.2,2.6244,1,
2024-25,1,4,Havertz,2.6284,3.5,2.93346,1,
2024-25,1,5,Hein,0.0,0.0,0.0,1,
2024-25,1,6,J.Timber,1.7072,3.8,2.43968,1,
2024-25,1,7,Jorginho,0.7252,2.6,1.38138,1,
2024-25,1,8,Kiwior,0.8764,3.4,1.75966,1,
2024-25,1,9,Martinelli,2.6512,3.5,2.94828,1,
2024-25,1,12,Nwaneri,0.4496,2.0,0.99224,1,
2024-25,1,13,Ødegaard,3.054,3.9,3.3501,1,
2024-25,1,15,Raya,2.5952,5.0,3.43688,1,
2024-25,1,16,Rice,1.7708,3.3,2.30602,1,
2024-25,1,17,Saka,4.0792,4.3,4.15648,1,
2024-25,1,18,Saliba,1.7592,4.2,2.61348,1,
2024-25,1,20,Thomas,0.702,2.6,1.3663,1,
2024-25,1,21,Tierney,0.0,0.0,0.0,1,
2024-25,1,22,Tomiyasu,0.0,0.0,0.0,1,
2024-25,1,23,Trossard,2.648,3.5,2.9462,1,
2024-25,1,24,White,1.7012,4.6,2.71578,1,
2024-25,1,25,Zinchenko,0.782,3.4,1.6983,1,
2024-25,1,73,Neto,0.1612,2.2,0.87478,1,
2024-25,1,186,Sterling,2.64,1.5,2.241,1,
2024-25,1,578,Calafiori,1.7468,4.2,2.60542,1,
2024-25,1,597,Lewis-Skelly,0.4952,2.0,1.02188,1,
2024-25,1,28,Bailey,1.5524,2.3,1.81406,1,
2024-25,1,29,Barkley,1.4516,2.0,1.64354,1,
2024-25,1,30,Barrenechea,0.6968,1.6,1.01292,1,
2024-25,1,31,Buendia,1.4784,2.0,1.66096,1,
2024-25,1,32,Cash,0.5144,1.9,0.99936,1,
2024-25,1,33,Dendoncker,0.4528,1.0,0.64432,1,
2024-25,1,34,Diaby,0.0,0.0,0.0,1,
2024-25,1,35,Diego Carlos,0.458,1.9,0.9627,1,
2024-25,1,36,Digne,0.5384,1.9,1.01496,1,
2024-25,1,37,Dobbin,0.0,0.0,0.0,1,
2024-25,1,38,Duran,1.41,2.0,1.6165,1,
2024-25,1,39,Gauci,0.1448,1.0,0.44412,1,
2024-25,1,40,Hause,0.4728,1.0,0.65732,1,
2024-25,1,41,Iling Jr,1.4648,2.0,1.65212,1,
2024-25,1,42,Kamara,0.0,0.0,0.0,1,
2024-25,2,1,Fábio Vieira,1.1448,2.3,1.54912,1,
2024-25,2,2,G.Jesus,1.5008,3.2,2.09552,1,
2024-25,2,3,Gabriel,1.5264,4.2,2.46216,1,
2024-25,2,4,Havertz,2.3244,3.5,2.73586,1,
2024-25,2,5,Hein,0.0,0.0,0.0,1,
2024-25,2,6,J.Timber,1.4624,3.8,2.28056,1,
2024-25,2,7,Jorginho,1.4408,2.6,1.84652,1,
2024-25,2,8,Kiwior,1.4924,3.4,2.16006,1,
2024-25,2,9,Martinelli,2.3972,3.5,2.78318,1,
2024-25,2,12,Nwaneri,0.442,2.0,0.9873,1,
2024-25,2,13,Ødegaard,2.6272,3.9,3.07268,1,
2024-25,2,15,Raya,2.6432,5.0,3.46808,1,
2024-25,2,16,Rice,1.5704,3.3,2.17576,1,
2024-25,2,17,Saka,3.4332,4.3,3.73658,1,
2024-25,2,18,Saliba,1.4492,4.2,2.41198,1,
2024-25,2,20,Thomas,0.6296,2.6,1.31924,1,
2024-25,2,21,Tierney,0.0,0.0,0.0,1,
2024-25,2,22,Tomiyasu,0.0,0.0,0.0,1,
2024-25,2,23,Trossard,1.6612,3.4,2.26978,1,
2024-25,2,24,White,1.496,4.6,2.5824,1,
2024-25,2,25,Zinchenko,0.686,3.4,1.6359,1,
2024-25,2,73,Neto,0.204,1.7,0.7276,1,
2024-25,2,186,Sterling,2.9072,2.4,2.72968,1,
2024-25,2,578,Calafiori,1.4644,4.1,2.38686,1,
2024-25,2,597,Lewis-Skelly,0.4276,2.0,0.97794,1,
2024-25,2,28,Bailey,1.7472,1.3,1.59068,1,
2024-25,2,29,Barkley,2.7416,1.0,2.13204,1,
2024-25,2,30,Barrenechea,0.7604,0.6,0.70426,1,
