season,gw,team_id,short_name,sh0,sa0,sh1,sa1,replaced
2022-23,1,1,ARS,1245,1285,1200,1270,1
2022-23,1,2,AVL,1070,1100,1090,1100,1
2022-23,1,3,BOU,1035,1095,1050,1050,1
2022-23,1,4,BRE,1115,1180,1090,1100,1
2022-23,1,5,BHA,1170,1175,1100,1090,1
2022-23,1,6,CHE,1165,1220,1270,1280,1
2022-23,1,7,CRY,1085,1100,1090,1100,1
2022-23,1,8,EVE,1055,1095,1050,1100,1
2022-23,1,9,FUL,1095,1100,1040,1060,1
2022-23,1,10,LEI,1130,1115,1110,1240,1
2022-23,1,11,LEE,1100,1090,1070,1070,1
2022-23,1,12,LIV,1220,1275,1350,1360,1
2022-23,1,13,MCI,1350,1360,1350,1370,1
2022-23,1,14,MUN,1155,1220,1170,1250,1
2022-23,1,15,NEW,1210,1260,1110,1190,1
2022-23,1,16,NFO,1050,1100,1040,1060,1
2022-23,1,17,SOU,1065,1070,1060,1090,1
2022-23,1,18,TOT,1155,1220,1210,1270,1
2022-23,1,19,WHU,1100,1130,1110,1170,1
2022-23,1,20,WOL,1080,1090,1100,1100,1
2022-23,2,1,ARS,1245,1285,1200,1270,1
2022-23,2,2,AVL,1070,1100,1090,1100,1
2022-23,2,3,BOU,1035,1095,1050,1050,1
2022-23,2,4,BRE,1115,1180,1090,1100,1
2022-23,2,5,BHA,1170,1175,1100,1090,1
2022-23,2,6,CHE,1165,1220,1270,1280,1
2022-23,2,7,CRY,1085,1100,1090,1100,1
2022-23,2,8,EVE,1055,1095,1050,1100,1
2022-23,2,9,FUL,1095,1100,1040,1060,1
2022-23,2,10,LEI,1130,1115,1110,1240,1
2022-23,2,11,LEE,1100,1090,1070,1070,1
2022-23,2,12,LIV,1220,1275,1350,1360,1
2022-23,2,13,MCI,1350,1360,1350,1370,1
2022-23,2,14,MUN,1155,1220,1170,1250,1
2022-23,2,15,NEW,1210,1260,1110,1190,1
2022-23,2,16,NFO,1050,1100,1040,1060,1
2022-23,2,17,SOU,1065,1070,1060,1090,1
2022-23,2,18,TOT,1155,1220,1210,1270,1
2022-23,2,19,WHU,1100,1130,1110,1170,1
2022-23,2,20,WOL,1080,1090,1100,1100,1
2022-23,3,1,ARS,1245,1285,1200,1270,1
2022-23,3,2,AVL,1070,1100,1090,1100,1
2022-23,3,3,BOU,1035,1095,1050,1050,1
2022-23,3,4,BRE,1115,1180,1090,1100,1
2022-23,3,5,BHA,1170,1175,1100,1090,1
2022-23,3,6,CHE,1165,1220,1270,1280,1
2022-23,3,7,CRY,1085,1100,1090,1100,1
2022-23,3,8,EVE,1055,1095,1050,1100,1
2022-23,3,9,FUL,1095,1100,1040,1060,1
2022-23,3,10,LEI,1130,1115,1110,1240,1
2022-23,3,11,LEE,1100,1090,1070,1070,1
2022-23,3,12,LIV,1220,1275,1350,1360,1
2022-23,3,13,MCI,1350,1360,1350,1370,1
2022-23,3,14,MUN,1155,1220,1170,1250,1
2022-23,3,15,NEW,1210,1260,1110,1190,1
2022-23,3,16,NFO,1050,1100,1040,1060,1
2022-23,3,17,SOU,1065,1070,1060,1090,1
2022-23,3,18,TOT,1155,1220,1210,1270,1
2022-23,3,19,WHU,1100,1130,1110,1170,1
2022-23,3,20,WOL,1080,1090,1100,1100,1
2022-23,4,1,ARS,1245,1285,1200,1270,1
2022-23,4,2,AVL,1070,1100,1090,1100,1
2022-23,4,3,BOU,1035,1095,1050,1050,1
2022-23,4,4,BRE,1115,1180,1090,1100,1
2022-23,4,5,BHA,1170,1175,1100,1090,1
2022-23,4,6,CHE,1165,1220,1270,1280,1
2022-23,4,7,CRY,1085,1100,1090,1100,1
2022-23,4,8,EVE,1055,1095,1050,1100,1
2022-23,4,9,FUL,1095,1100,1040,1060,1
2022-23,4,10,LEI,1130,1115,1110,1240,1
2022-23,4,11,LEE,1100,1090,1070,1070,1
2022-23,4,12,LIV,1220,1275,1350,1360,1
2022-23,4,13,MCI,1350,1360,1350,1370,1
2022-23,4,14,MUN,1155,1220,1170,1250,1
2022-23,4,15,NEW,1210,1260,1110,1190,1
2022-23,4,16,NFO,1050,1100,1040,1060,1
2022-23,4,17,SOU,1065,1070,1060,1090,1
2022-23,4,18,TOT,1155,1220,1210,1270,1
2022-23,4,19,WHU,1100,1130,1110,1170,1
2022-23,4,20,WOL,1080,1090,1100,1100,1
2022-23,5,1,ARS,1245,1285,1200,1270,1
2022-23,5,2,AVL,1070,1100,1090,1100,1
2022-23,5,3,BOU,1035,1095,1050,1050,1
2022-23,5,4,BRE,1115,1180,1090,1100,1
2022-23,5,5,BHA,1170,1175,1100,1090,1
2022-23,5,6,CHE,1165,1220,1270,1280,1
2022-23,5,7,CRY,1085,1100,1090,1100,1
2022-23,5,8,EVE,1055,1095,1050,1100,1
2022-23,5,9,FUL,1095,1100,1040,1060,1
2022-23,5,10,LEI,1130,1115,1110,1240,1
2022-23,5,11,LEE,1100,1090,1070,1070,1
2022-23,5,12,LIV,1220,1275,1350,1360,1
2022-23,5,13,MCI,1350,1360,1350,1370,1
2022-23,5,14,MUN,1155,1220,1170,1250,1
2022-23,5,15,NEW,1210,1260,1110,1190,1
2022-23,5,16,NFO,1050,1100,1040,1060,1
2022-23,5,17,SOU,1065,1070,1060,1090,1
2022-23,5,18,TOT,1155,1220,1210,1270,1
2022-23,5,19,WHU,1100,1130,1110,1170,1
2022-23,5,20,WOL,1080,1090,1100,1100,1
2022-23,6,1,ARS,1245,1285,1200,1270,1
2022-23,6,2,AVL,1070,1100,1090,1100,1
2022-23,6,3,BOU,1035,1095,1050,1050,1
2022-23,6,4,BRE,1115,1180,1090,1100,1
2022-23,6,5,BHA,1170,1175,1100,1090,1
2022-23,6,6,CHE,1165,1220,1270,1280,1
2022-23,6,7,CRY,1085,1100,1090,1100,1
2022-23,6,8,EVE,1055,1095,1050,1100,1
2022-23,6,9,FUL,1095,1100,1040,1060,1
2022-23,6,10,LEI,1130,1115,1110,1240,1
2022-23,6,11,LEE,1100,1090,1070,1070,1
2022-23,6,12,LIV,1220,1275,1350,1360,1
2022-23,6,13,MCI,1350,1360,1350,1370,1
2022-23,6,14,MUN,1155,1220,1170,1250,1
2022-23,6,15,NEW,1210,1260,1110,1190,1
2022-23,6,16,NFO,1050,1100,1040,1060,1
2022-23,6,17,SOU,1065,1070,1060,1090,1
2022-23,6,18,TOT,1155,1220,1210,1270,1
2022-23,6,19,WHU,1100,1130,1110,1170,1
2022-23,6,20,WOL,1080,1090,1100,1100,1
2022-23,8,1,ARS,1245,1285,1200,1270,1
2022-23,8,2,AVL,1070,1100,1090,1100,1
2022-23,8,3,BOU,1035,1095,1050,1070,1
2022-23,8,4,BRE,1115,1180,1100,1150,1
2022-23,8,5,BHA,1170,1175,1140,1140,1
2022-23,8,6,CHE,1165,1220,1210,1230,1
2022-23,8,7,CRY,1085,1100,1090,1150,1
2022-23,8,8,EVE,1055,1095,1080,1100,1
2022-23,8,9,FUL,1095,1100,1070,1090,1
2022-23,8,10,LEI,1130,1115,1100,1100,1
2022-23,8,11,LEE,1100,1090,1100,1100,1
2022-23,8,12,LIV,1220,1275,1320,1350,1
2022-23,8,13,MCI,1350,1360,1350,1370,1
2022-23,8,14,MUN,1155,1220,1150,1220,1
2022-23,8,15,NEW,1210,1260,1110,1190,1
2022-23,8,16,NFO,1050,1100,1045,1070,1
2022-23,8,17,SOU,1065,1070,1090,1100,1
2022-23,8,18,TOT,1155,1220,1210,1250,1
2022-23,8,19,WHU,1100,1130,1100,1150,1
2022-23,8,20,WOL,1080,1090,1100,1100,1
2022-23,9,1,ARS,1245,1285,1200,1270,1
2022-23,9,2,AVL,1070,1100,1090,1100,1
2022-23,9,3,BOU,1035,1095,1050,1070,1
2022-23,9,4,BRE,1115,1180,1100,1150,1
2022-23,9,5,BHA,1170,1175,1140,1140,1
2022-23,9,6,CHE,1165,1220,1210,1230,1
2022-23,9,7,CRY,1085,1100,1090,1150,1
2022-23,9,8,EVE,1055,1095,1080,1100,1
2022-23,9,9,FUL,1095,1100,1070,1090,1
2022-23,9,10,LEI,1130,1115,1100,1100,1
2022-23,9,11,LEE,1100,1090,1100,1100,1
2022-23,9,12,LIV,1220,1275,1320,1350,1
2022-23,9,13,MCI,1350,1360,1350,1370,1
2022-23,9,14,MUN,1155,1220,1150,1220,1
2022-23,9,15,NEW,1210,1260,1110,1190,1
2022-23,9,16,NFO,1050,1100,1045,1070,1
2022-23,9,17,SOU,1065,1070,1090,1100,1
2022-23,9,18,TOT,1155,1220,1210,1250,1
2022-23,9,19,WHU,1100,1130,1100,1150,1
2022-23,9,20,WOL,1080,1090,1100,1100,1
2022-23,10,1,ARS,1245,1285,1200,1270,1
2022-23,10,2,AVL,1070,1100,1090,1100,1
2022-23,10,3,BOU,1035,1095,1050,1070,1
2022-23,10,4,BRE,1115,1180,1100,1150,1
2022-23,10,5,BHA,1170,1175,1140,1140,1
2022-23,10,6,CHE,1165,1220,1210,1230,1
2022-23,10,7,CRY,1085,1100,1090,1150,1
2022-23,10,8,EVE,1055,1095,1080,1100,1
2022-23,10,9,FUL,1095,1100,1070,1090,1
2022-23,10,10,LEI,1130,1115,1100,1100,1
2022-23,10,11,LEE,1100,1090,1100,1100,1
2022-23,10,12,LIV,1220,1275,1320,1350,1
2022-23,10,13,MCI,1350,1360,1350,1370,1
2022-23,10,14,MUN,1155,1220,1150,1220,1
2022-23,10,15,NEW,1210,1260,1110,1190,1
2022-23,10,16,NFO,1050,1100,1045,1070,1
2022-23,10,17,SOU,1065,1070,1090,1100,1
2022-23,10,18,TOT,1155,1220,1210,1250,1
2022-23,10,19,WHU,1100,1130,1100,1150,1
2022-23,10,20,WOL,1080,1090,1100,1100,1
2022-23,11,1,ARS,1245,1285,1200,1270,1
2022-23,11,2,AVL,1070,1100,1090,1100,1
2022-23,11,3,BOU,1035,1095,1050,1070,1
2022-23,11,4,BRE,1115,1180,1100,1150,1
2022-23,11,5,BHA,1170,1175,1140,1140,1
2022-23,11,6,CHE,1165,1220,1210,1230,1
2022-23,11,7,CRY,1085,1100,1090,1150,1
2022-23,11,8,EVE,1055,1095,1080,1100,1
2022-23,11,9,FUL,1095,1100,1070,1090,1
2022-23,11,10,LEI,1130,1115,1100,1100,1
2022-23,11,11,LEE,1100,1090,1100,1100,1
2022-23,11,12,LIV,1220,1275,1320,1350,1
2022-23,11,13,MCI,1350,1360,1350,1370,1
2022-23,11,14,MUN,1155,1220,1150,1220,1
2022-23,11,15,NEW,1210,1260,1110,1190,1
2022-23,11,16,NFO,1050,1100,1045,1070,1
2022-23,11,17,SOU,1065,1070,1090,1100,1
2022-23,11,18,TOT,1155,1220,1210,1250,1
2022-23,11,19,WHU,1100,1130,1100,1150,1
2022-23,11,20,WOL,1080,1090,1100,1100,1
2022-23,12,1,ARS,1245,1285,1200,1270,1
2022-23,12,2,AVL,1070,1100,1090,1100,1
2022-23,12,3,BOU,1035,1095,1050,1070,1
2022-23,12,4,BRE,1115,1180,1100,1150,1
2022-23,12,5,BHA,1170,1175,1140,1140,1
2022-23,12,6,CHE,1165,1220,1210,1230,1
2022-23,12,7,CRY,1085,1100,1090,1150,1
2022-23,12,8,EVE,1055,1095,1080,1100,1
2022-23,12,9,FUL,1095,1100,1070,1090,1
2022-23,12,10,LEI,1130,1115,1100,1100,1
2022-23,12,11,LEE,1100,1090,1100,1100,1
2022-23,12,12,LIV,1220,1275,1320,1350,1
2022-23,12,13,MCI,1350,1360,1350,1370,1
2022-23,12,14,MUN,1155,1220,1150,1220,1
2022-23,12,15,NEW,1210,1260,1110,1190,1
2022-23,12,16,NFO,1050,1100,1045,1070,1
2022-23,12,17,SOU,1065,1070,1090,1100,1
2022-23,12,18,TOT,1155,1220,1210,1250,1
2022-23,12,19,WHU,1100,1130,1100,1150,1
2022-23,12,20,WOL,1080,1090,1100,1100,1
2022-23,13,1,ARS,1245,1285,1200,1270,1
2022-23,13,2,AVL,1070,1100,1090,1100,1
2022-23,13,3,BOU,1035,1095,1050,1070,1
2022-23,13,4,BRE,1115,1180,1100,1150,1
2022-23,13,5,BHA,1170,1175,1140,1140,1
2022-23,13,6,CHE,1165,1220,1210,1230,1
2022-23,13,7,CRY,1085,1100,1090,1150,1
2022-23,13,8,EVE,1055,1095,1080,1100,1
2022-23,13,9,FUL,1095,1100,1070,1090,1
