season,gw,player_id,web_name,team_id,position,b0,share,club_minutes,group_minutes,n_gws_on_club,group_size,eligible,identity_reason,b1,availability0,p_start,p_sub,p_60
2022-23,1,3,Xhaka,1,MID,0.18,0.0,0,0,0,1,0,live_or_gw1,0.18,1.0,0.18,0.1804,0.181832
2022-23,1,4,Elneny,1,MID,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,5,Holding,1,DEF,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,6,Partey,1,MID,0.18,0.0,0,0,0,1,0,live_or_gw1,0.18,1.0,0.18,0.1804,0.181832
2022-23,1,7,Ødegaard,1,MID,0.45,0.0,0,0,0,1,0,live_or_gw1,0.45,1.0,0.45,0.154,0.43082
2022-23,1,8,Tierney,1,DEF,0.18,0.0,0,0,0,1,0,live_or_gw1,0.18,1.0,0.18,0.1804,0.181832
2022-23,1,9,Pépé,1,MID,0.45,0.0,0,0,0,1,0,live_or_gw1,0.45,1.0,0.45,0.154,0.43082
2022-23,1,10,White,1,DEF,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,11,Nketiah,1,FWD,0.72,0.0,0,0,0,1,0,live_or_gw1,0.72,1.0,0.72,0.0784,0.675872
2022-23,1,12,Smith Rowe,1,MID,0.45,0.0,0,0,0,1,0,live_or_gw1,0.45,1.0,0.45,0.154,0.43082
2022-23,1,13,Saka,1,MID,0.72,0.0,0,0,0,1,0,live_or_gw1,0.72,1.0,0.72,0.0784,0.675872
2022-23,1,14,Tomiyasu,1,DEF,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,15,Ramsdale,1,GKP,0.85,0.0,0,0,0,1,0,live_or_gw1,0.85,1.0,0.85,0.012,0.79146
2022-23,1,16,Gabriel,1,DEF,0.18,0.0,0,0,0,1,0,live_or_gw1,0.18,1.0,0.18,0.1804,0.181832
2022-23,1,17,Tavares,1,DEF,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,19,Martinelli,1,MID,0.45,0.0,0,0,0,1,0,live_or_gw1,0.45,1.0,0.45,0.154,0.43082
2022-23,1,20,Pablo Marí,1,DEF,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,22,Torreira,1,MID,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,23,Nelson,1,MID,0.18,0.0,0,0,0,1,0,live_or_gw1,0.18,1.0,0.18,0.1804,0.181832
2022-23,1,24,Turner,1,GKP,0.04,0.0,0,0,0,1,0,live_or_gw1,0.04,1.0,0.04,0.0384,0.040272
2022-23,1,25,Fábio Vieira,1,MID,0.45,0.0,0,0,0,1,0,live_or_gw1,0.45,1.0,0.45,0.154,0.43082
2022-23,1,26,Saliba,1,DEF,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,27,Marquinhos,1,MID,0.18,0.0,0,0,0,1,0,live_or_gw1,0.18,1.0,0.18,0.1804,0.181832
2022-23,1,28,Jesus,1,FWD,0.72,0.0,0,0,0,1,0,live_or_gw1,0.72,1.0,0.72,0.0784,0.675872
2022-23,1,111,Trossard,1,MID,0.45,0.0,0,0,0,1,0,live_or_gw1,0.45,1.0,0.45,0.154,0.43082
2022-23,1,130,Jorginho,1,MID,0.45,0.0,0,0,0,1,0,live_or_gw1,0.45,1.0,0.45,0.154,0.43082
2022-23,1,313,Zinchenko,1,DEF,0.18,0.0,0,0,0,1,0,live_or_gw1,0.18,1.0,0.18,0.1804,0.181832
2022-23,1,607,Smith,1,MID,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,630,Nwaneri,1,MID,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,631,Sousa,1,DEF,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,655,Hein,1,GKP,0.04,0.0,0,0,0,1,0,live_or_gw1,0.04,1.0,0.04,0.0384,0.040272
2022-23,1,668,Cozier-Duberry,1,MID,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,685,Butler-Oyedeji,1,FWD,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,710,Kiwior,1,DEF,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,751,Walters,1,DEF,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
2022-23,1,767,Bandeira,1,MID,0.1,0.0,0,0,0,1,0,live_or_gw1,0.1,1.0,0.1,0.198,0.10884
